evidence_id,video_id,file_name,timecode,evidence_summary,evidence_role,analysis_status,notes
ev_fv_0016_01,fv_0016,妈妈臀 臀凹陷一个动作饱满臀部.mp4,00:00:00.000-00:00:13.305,6帧均为女性背对镜头坐椅夹球，左侧插图展示臀部前后对比，字幕统一为‘每天坚持这个动作 臀饱满了’,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0017_01,fv_0017,30岁的女性练八爪鱼要多久6.2（4）.mp4,"00:00:00.000,00:00:03.511,00:00:07.022,00:00:10.532,00:00:14.043,00:00:17.554",1.标题提问,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0018_01,fv_0018,40岁女性练八爪鱼需要多久呢.mp4,"00:00, 00:03, 00:06, 00:10, 00:13, 00:16",00:00跪姿准备,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0019_01,fv_0019,40岁女性练出J致的盆底肌需要多久？6.1.mp4,"00:00,00:03,00:07,00:11,00:14,00:18",00:00提问+人群,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0020_01,fv_0020,40岁女性都想拥有灵动蜜桃臀6.15.mp4,"00:00, 00:03.64, 00:07.27, 00:10.91, 00:14.55, 00:18.18",00:00背影点题,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0021_01,fv_0021,40岁的女性修复盆底肌要多久.mp4,"00:00:00.000, 00:00:03.697, 00:00:07.393, 00:00:11.090, 00:00:14.786, 00:00:18.483",帧1：标题提问+人物正面坐姿,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0022_01,fv_0022,40岁的女性修复盆底肌要多久？.mp4,"00:00, 00:03.7, 00:07.4, 00:11.1, 00:14.8, 00:18.5",00:00提问+人群,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0023_01,fv_0023,40岁的女性练出八爪鱼要多久.mp4,"00:00, 00:03, 00:06, 00:10, 00:13, 00:16",00:00标题提问,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0024_01,fv_0024,40岁的女性练出八爪鱼需要多久？.mp4,"00:00,00:03,00:06,00:10,00:13,00:16",00:00设问,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0025_01,fv_0025,40＋的女性修复盆底肌要多久6.15.mp4,"00:00:00.000, 00:00:03.757, 00:00:07.514, 00:00:11.271, 00:00:15.028, 00:00:18.785",左上：坐姿训练+痛点提问,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0026_01,fv_0026,40＋的姐妹练出紧致的盆底肌.mp4,"00:00:00.000,00:00:05.410,00:00:10.820,00:00:16.231,00:00:21.641,00:00:27.051",1.正面坐姿拍击100次,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0027_01,fv_0027,5月15日.mp4,00:00:00.000-00:00:20.039,全片同一场景，人物做臀桥动作,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0028_01,fv_0028,5月16日.mp4,"00:00:00.000, 00:00:05.229, 00:00:10.458, 00:00:15.687, 00:00:20.916, 00:00:26.145",00:00:00：跪姿持球准备,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0029_01,fv_0029,一个动作让你练出紧致的盆底肌.mp4,"00:00:00.000,00:00:05.967,00:00:11.935,00:00:17.902,00:00:23.870,00:00:29.837",0s标题+起始躺姿,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0030_01,fv_0030,一个小球四个动作轻松瘦腰翘臀6.2（2）.mp4,"00:00:00.000,00:00:04.124,00:00:08.248,00:00:12.371,00:00:16.495,00:00:20.619",0s坐小球错误姿势→4s调整后坐姿+字幕效果→8s换椅坐姿→12s左右摆臀动作→16s正面坐球示范→20s臀部对比图+幽默文案,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0031_01,fv_0031,一个小球帮你练出少女腹.mp4,00:00:00.000–00:00:10.077,6帧均显示女性背对镜头坐瑜伽球上做呼吸后仰动作，字幕统一为‘西方回春术’+每日百次+越练越致,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0032_01,fv_0032,一个瑜伽小球告别小肚腩妈妈臀.mp4,00:00:00.000-00:00:15.209,6帧均为女性背对镜头坐瑜伽球上做骨盆卷动，左下角小图对比臀部形态，字幕统一强调适用人群、动作时长与预期效果,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0033_01,fv_0033,一个瑜伽小球告别臀凹陷6.4.mp4,00:00:00.000-00:00:11.122,6帧均为同一女性在室内用瑜伽球做坐姿开胯动作，字幕重复‘每天15分钟瑜伽小球’等效果承诺语,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0034_01,fv_0034,一个瑜伽小球告别跑跳漏氵尴尬6.3（2）.mp4,"00:00,00:04,00:08,00:12,00:16,00:20",00:00表情痛苦配'生了多',opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0035_01,fv_0035,一个瑜伽小球练出灵动的八爪鱼6.1（3）.mp4,"00:00:00,00:00:03,00:00:06,00:00:10,00:00:13,00:00:16",00:00:00正面坐姿+标题,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0036_01,fv_0036,一个瑜伽小球练出灵动的八爪鱼6.8（（3）.mp4,00:00:00.000–00:00:31.904,6帧均显示同一女性用瑜伽球做坐姿动态练习，字幕标注动作名称与改善部位（盆底松弛/产后胯宽），标题反复强调‘一个瑜伽小球练出灵动的八爪鱼’,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0037_01,fv_0037,一个瑜伽小球练出紧致八爪鱼.mp4,00:00:00.000–00:00:23.173,六帧依次展示坐姿+瑜伽球的四类基础动作循环，字幕统一标注动作名与‘每天放松五分钟’,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0038_01,fv_0038,一个瑜伽小球练出美丽的八爪鱼.mp4,00:00:00.000–00:00:15.069,6帧展示同一女性在瑜伽球上完成‘呼气前倾-吸气后坐’循环动作，字幕统一强调每日100次+盆底肌收益,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0039_01,fv_0039,一个瑜伽小球练出美丽的盆底肌6.1（4）.mp4,00:00:00.000-00:00:17.670,0s:标题+坐姿准备,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0040_01,fv_0040,一个瑜伽小球练出美丽的马甲线6.2.mp4,"00:00:00,00:00:02,00:00:04,00:00:06,00:00:09,00:00:11",00:00:00抗衰误区引出,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0041_01,fv_0041,一个瑜伽小球肚子平了臀饱满6.10.mp4,00:00:00.000–00:00:15.580,0s跪姿持球,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0042_01,fv_0042,一个瑜伽小球肚子平了臀饱满了6.17.mp4,"00:00:00,00:00:03,00:00:06,00:00:10,00:00:13,00:00:16",00:00:00背影坐球显臀型,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0043_01,fv_0043,一个瑜伽球练出八爪鱼.mp4,00:00:00.000-00:00:13.142,6帧均含标题‘一个瑜伽球练出八爪鱼’及6个标注部位动作小图,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0044_01,fv_0044,一分钟握力测试多少次才算及格呢 切片.mp4,"00:00:00,00:00:30,00:01:00,00:01:31,00:02:01,00:02:31",00:00:00：提问式字幕+收缩动作,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0045_01,fv_0045,一咳嗽就失控这个动作告别尴尬.mp4,"00:00:00.000,00:00:09.627,00:00:19.254,00:00:28.881,00:00:38.508,00:00:48.135",T0:气球爆破模拟失控,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0046_01,fv_0046,一招动态臀桥收腰收胯收盆底6.4（3）.mp4,"00:00:00,00:00:06.817,00:00:13.635,00:00:20.452,00:00:27.270,00:00:34.087",帧1：仰卧准备位+标题,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0047_01,fv_0047,三个动作帮你唤醒身体好状态.mp4,"00:00:00.000,00:00:03.469,00:00:06.938,00:00:10.407,00:00:13.876,00:00:17.345",0s跪坐压球,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0048_01,fv_0048,不管生了几个就练这几个动作6.15.mp4,"00:00:00.000, 00:00:04.867, 00:00:09.734, 00:00:14.600, 00:00:19.467, 00:00:24.334",0s跪姿手托颈,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0049_01,fv_0049,产后假跨宽这一式越练越J.mp4,"00:00:00.000,00:00:05.327,00:00:10.653,00:00:15.980,00:00:21.306,00:00:26.633",1.点名产后人群+效果承诺,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0050_01,fv_0050,产后小腹下垂练这一式收固盆底.mp4,"00:00:00.000,00:00:14.694,00:00:29.387,00:00:44.081,00:00:58.774,00:01:13.468",1.痛点标题+侧身准备,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0051_01,fv_0051,产后尴尬漏氵一个动作帮你改变.mp4,"00:00:00,00:00:12,00:00:24,00:00:37,00:00:49,00:01:02",T0痛点标题,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0052_01,fv_0052,产后尴尬漏氵只需一个小球帮你.mp4,"00:00:00.000,00:00:03.673,00:00:07.347,00:00:11.020,00:00:14.694,00:00:18.367",T0:坐球+字幕点题,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0053_01,fv_0053,产后扁平臀.mp4,"00:00:00.000,00:00:04.017,00:00:08.034,00:00:12.051,00:00:16.068,00:00:20.085",帧1跪姿夹球起始,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0054_01,fv_0054,产后漏尿尴尬.mp4,"00:00:00,00:00:04.57,00:00:09.14,00:00:13.71,00:00:18.28,00:00:22.85",F1:提臀动作示范,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0055_01,fv_0055,产后漏水不用愁一个小球帮你改变.mp4,"00:00:00,00:00:05,00:00:10,00:00:15,00:00:20,00:00:25",00:00坐姿引出问题,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0056_01,fv_0056,产后盆底高张一个动作帮你改善.mp4,"00:00:00.000,00:00:04.310,00:00:08.619,00:00:12.929,00:00:17.238,00:00:21.548",0s标题定调,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0057_01,fv_0057,产后膨出脱垂只需一个动作搞定.mp4,"00:00:00,00:00:14,00:00:29,00:00:44,00:00:59,00:01:14",00:00:00侧身准备,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0058_01,fv_0058,产后臀凹陷一个动作帮你改变.mp4,00:00:00.000-00:00:12.980,六帧均显示女性仰卧屈膝夹球做臀桥，字幕统一强调‘骨盆核心收紧’与呼吸节奏，动作从起始位→顶峰→回落循环,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0059_01,fv_0059,产后骨盆外翻一个动作告别困扰.mp4,"00:00:00,00:00:08,00:00:16,00:00:24,00:00:33,00:00:41",六帧均为同一女性坐姿演示抱膝动作，字幕依次为：痛点标题→‘首先’→‘在这个姿势下’→‘用盆底肌带动’→‘放在手肘处’→‘左右各1分钟’,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0060_01,fv_0060,产后骨盆外翻一个动作帮你回正6.11.mp4,"00:00:00,00:00:14.995,00:00:29.991,00:00:44.986,00:00:59.982,00:01:14.977",六帧均展示同一女性盘坐演示骨盆调整动作，字幕依次为痛点陈述、动作要领、节奏引导、收放指令,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0061_01,fv_0061,会跳舞的臀你想拥有吗？.mp4,00:00:00.000-00:00:10.634,0s：坐姿侧视+‘想要拥有完美臀’,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0062_01,fv_0062,会跳舞的蜜桃臀你想要拥有吗？6.11.mp4,00:00:00.000-00:00:10.634,0s背坐显臀线,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0063_01,fv_0063,停水停电这个动作帮你改变.mp4,"00:00:00.000,00:00:12.660,00:00:25.319,00:00:37.979,00:00:50.638,00:01:03.298",00:00:00：痛点提问,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0064_01,fv_0064,前壁膨出一个小球帮你改变.mp4,"00:00:00,00:00:08,00:00:17,00:00:26,00:00:35,00:00:44",1.指天示意+字幕‘都跟我做’,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0065_01,fv_0065,口子闭合不上一个小球告别困扰.mp4,"00:00:00,00:00:09.636,00:00:19.272,00:00:28.909,00:00:38.545,00:00:48.181",0s：嘴微张示意问题,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0066_01,fv_0066,只练这几个动作拥有八爪鱼般抓握力6.15.mp4,"00:00:00.000, 00:00:03.330, 00:00:06.659, 00:00:09.989, 00:00:13.318, 00:00:16.648",0s坐姿引题,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0067_01,fv_0067,只需一个动作小腹凸出不见了.mp4,"00:00:00,00:00:08,00:00:17,00:00:25,00:00:34,00:00:42",00:00:00坐姿小腹微凸,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0068_01,fv_0068,只需一个动作收腰收胯收盆底.mp4,"00:00, 00:06, 00:12, 00:19, 00:25, 00:32",00:00误用腹部发力图示,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0069_01,fv_0069,只需一个动作改善悬垂腹内压力6.15.mp4,"00:00:00,00:00:02.52,00:00:05.04,00:00:07.56,00:00:10.09,00:00:12.61",F1悬垂腹特写+标题,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0070_01,fv_0070,只需一个动作盆底肌越练越紧.mp4,"00:00:00,00:00:05.656,00:00:11.313,00:00:16.969,00:00:22.626,00:00:28.282",1.标题+持球坐姿,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0071_01,fv_0071,只需一个动作盆盆松练出少女腹.mp4,00:00:00.000-00:00:10.170,六帧均匀采样显示同一跪姿呼吸动作循环：吸气向后坐→吐气向后顶→手臂上举→回落，字幕统一强调‘回春术’每日100次及紧致效果,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0072_01,fv_0072,只需一个动作练出会动的蜜桃臀6.12.mp4,00:00:00.000–00:00:11.819,6帧均为女性坐姿抬臂动作循环，叠加‘灵动画八爪鱼美臀训练’标题及三阶段骨盆图解文字,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0073_01,fv_0073,只需一个动作肚子平了臀翘了.mp4,00:00:00.000-00:00:10.356,六帧均为同一女性坐姿用小球做盆底肌训练，字幕统一宣传15分钟训练对40+女性腹臀改善效果,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0074_01,fv_0074,只需一个动作腰细了盆底J致了6.12.mp4,"00:00:00.000,00:00:02.364,00:00:04.728,00:00:07.091,00:00:09.455,00:00:11.819",全片统一跪姿推掌动作,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0075_01,fv_0075,只需一个动作腰细了臀部翘了.mp4,00:00:00.000–00:00:12.701,6帧均为同一位女性跪姿用盆底球训练，字幕统一宣传40+女性每日15分钟可改善腰臀线条,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0076_01,fv_0076,只需一个动作腿细了胯缩小了.mp4,00:00:00.000-00:00:36.641,0s:标题钩子,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0077_01,fv_0077,只需一个动作臀饱满了腰细了6.11.mp4,00:00:00.000-00:00:10.356,6帧均为同女性坐姿练臀，配臀腰对比图、文字‘每天5分钟瑜伽小球’‘40+女性都在练习’,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0078_01,fv_0078,只需一个动作臀饱满盆底肌J致了6.12.mp4,00:00:00.000-00:00:13.816,6帧均为女性盘坐演示同一动作，叠加‘盆底肌练习’标题与三月进度图,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0079_01,fv_0079,只需一个小球内脏下垂不见了.mp4,00:00:00.000-00:00:42.934,0s:标题钩子+起始姿势,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0080_01,fv_0080,只需一个小球告别跑跳漏水困扰.mp4,"00:00:00,00:00:05,00:00:11,00:00:17,00:00:22,00:00:28",00:00:00标题痛点,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0081_01,fv_0081,只需一个小球拯救妈妈臀臀凹陷.mp4,"00:00:00.000,00:00:05.930,00:00:11.861,00:00:17.791,00:00:23.722,00:00:29.652",T0:标题+跪姿准备,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0082_01,fv_0082,只需一个小球练出紧致的盆底肌.mp4,00:00:00.000–00:00:38.777,0s:标题+桥式起始,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0083_01,fv_0083,只需一个小球腰细了臀部翘了.mp4,00:00:00.000-00:00:12.655,6帧均为同一女性坐姿用小球训练，字幕统一：高位女性练盆底、每天5分钟、核心有力、腰平腹细臀翘、40+女性去练,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0084_01,fv_0084,只需一个小球让盆底肌越练越紧.mp4,00:00:00.000-00:00:38.289,0s持球坐姿预告,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0085_01,fv_0085,只需一个小球跑跳尴尬没有了.mp4,"00:00:00.000, 00:00:04.421, 00:00:08.842, 00:00:13.263, 00:00:17.684, 00:00:22.105",0s：前后摆动100次,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0086_01,fv_0086,只需一个瑜伽小球就能锻炼盆底肌6.16.mp4,00:00:00.000-00:00:19.435,6帧均为同一女性坐姿演示盆底肌收缩动作，配合‘紧致/下垂/4指’等字幕提示，动作幅度微调循环，无场景/服装/道具变化,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0087_01,fv_0087,只需一个瑜伽小球轻松养出好体态6.1（5）.mp4,"00:00, 00:03.67, 00:07.34, 00:11.01, 00:14.68, 00:18.34",00:00背坐椅球,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0088_01,fv_0088,只需一个瑜伽小球髋灵活了臀翘了6.8.mp4,"00:00:00,00:00:02,00:00:04,00:00:07,00:00:09,00:00:11",00:00:00背坐球+标题,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0089_01,fv_0089,只需三个动作帮你瘦臀瘦肚子.mp4,"00:00:00.000, 00:00:03.850, 00:00:07.700, 00:00:11.549, 00:00:15.399, 00:00:19.249",0s:臀腹对比图+标题,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0090_01,fv_0090,只需三个动作臀饱满腰背挺拔6.15.mp4,"00:00:00.000,00:00:03.274,00:00:06.548,00:00:09.822,00:00:13.096,00:00:16.370",1.仰卧抬臀起始+标题,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0091_01,fv_0091,只需三个动作让P底紧致Q弹.mp4,00:00:00.000-00:00:16.138,六帧均含统一字幕‘一个小球三个动作’及效果描述,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0092_01,fv_0092,只需两个动作肚子平了臀翘了.mp4,00:00:00.000-00:00:16.045,6帧均为同一女性跪坐瑜伽球演示盆底肌训练动作，字幕统一强调高频练习与效果，左下角始终展示‘练习前/后’对比图,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0093_01,fv_0093,只需四个动作告别松弛漏水尴尬.mp4,"00:00:00,00:00:04,00:00:08,00:00:12,00:00:16,00:00:20",F1:侧坐椅+盆底肌松弛字幕+解剖图,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0094_01,fv_0094,只需四个动作臀翘了小肚子平了.mp4,00:00:00.000-00:00:16.974,六帧均为同一女性坐椅夹球演示，顶部三帧为腰臀对比图+文字钩子，底部三帧为动作连续微调,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0095_01,fv_0095,四个动作修复盆底肌.mp4,"00:00:00.000,00:00:06.515,00:00:13.031,00:00:19.546,00:00:26.062,00:00:32.577",T0:抱拳桥动作+文字,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0096_01,fv_0096,四个动作告别跑跳漏水的问题6.1（2）.mp4,"00:00:00,00:00:05,00:00:10,00:00:15,00:00:20,00:00:25",00:00背坐球上问‘生了多少个’,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0097_01,fv_0097,女性再懒也要练这四个动作6.5.mp4,00:00:00.000–00:00:15.952,0s:动作一深蹲式,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0098_01,fv_0098,宝妈必看.mp4,"00:00:00,00:00:07,00:00:15,00:00:22,00:00:30,00:00:38",00:00:00警告勿划走,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0099_01,fv_0099,小肚子凸出.mp4,00:00:00.000-00:00:23.614,F1：腹部特写+标题字幕,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0100_01,fv_0100,小腹凸出 妈妈臀就练这几个动作6.15.mp4,"00:00:00.000, 00:00:04.760, 00:00:09.520, 00:00:14.280, 00:00:19.040, 00:00:23.800",左上：坐姿提臀,opening/middle/ending/support,success,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0101_01,fv_0101,小腹突出.mp4,pending,pending,opening/middle/ending/support,pending_not_analyzed,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0102_01,fv_0102,居家四个动作告别坠胀漏氵烦恼6.8（2）.mp4,pending,pending,opening/middle/ending/support,pending_not_analyzed,关键帧抽样证据，不代表逐帧审美通过
ev_fv_0103_01,fv_0103,悬垂腹.mp4,pending,pending,opening/middle/ending/support,pending_not_analyzed,关键帧抽样证据，不代表逐帧审美通过
