video_id,file_name,source_path,duration_seconds,resolution,aspect_ratio,analysis_status,video_type_primary,video_type_secondary,structure_formula,opening_type,opening_0_3s_function,opening_reason,middle_delivery_type,middle_delivery_evidence,ending_closure_type,ending_next_action,source_integrity_score,visual_speech_continuity_score,emotion_continuity_score,editing_flow_score,jump_cut_risk,why_complete_or_incomplete,how_to_make_complete,how_middle_avoids_jump,usable_as_reference,manual_review_items,evidence_timecodes,evidence_frame_summaries,notes
fv_0011,产后漏尿能自己好吗.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/产后漏尿能自己好吗.mp4,117.725,1080x1920,9:16,success,body_care_knowledge,problem_solution,痛点可视化 + 解决方案 + 效果对比 + 行动指令,问题直击式开场,点出产后漏尿普遍性与隐忧,首帧字幕‘恢复难度会增加’制造紧迫感,分点归因+动作引导,4:00-6:00帧列腹压/盆底肌问题，同步手势强调修复必要性,价值升华+行动号召,引导关注私密健康基础训练,5,5,5,5,low,结构闭环：问题→归因→解法→行动，无断点,无需补充，当前已完整,统一场景+连贯手势+字幕递进，维持认知流,yes,业务事实待确认：漏尿自愈可能性、腹直肌修复有效性,"00:00:00, 00:00:23, 00:00:47, 00:01:10, 00:01:34, 00:01:57",00:00:00痛点引入；00:00:23阶段描述；00:00:47症状强化；00:01:10问题归类（腹压/松弛等）；00:01:34提出修复需求；00:01:57总结基本性与行动暗示,涉及健康效果承诺，业务事实待确认
fv_0012,你的小肚子凸可能不是胖.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/你的小肚子凸可能不是胖.mp4,55.519,1080x1920,9:16,success,movement_correction,body_care_knowledge,错误动作 + 正确动作 + 原因解释,痛点可视化 + 单动作演示,用体态问题引发观众代入与关注,标题‘小肚子凸可能不是胖’+首帧站姿暗示常见误区,分步动作对比教学,6帧均展示同一动作不同阶段/计数，字幕强调‘左右交替进行’与组数，无场景切换,动作收束 + 数字强化,引导重复练习形成习惯,5,5,5,5,low,完整呈现单一动作的多轮执行，结构闭环,,固定机位+统一背景+连续计数+字幕节奏同步动作,yes,业务事实待确认：小肚子凸与非肥胖关联性,"00:00:00.000,00:00:11.104,00:00:22.208,00:00:33.311,00:00:44.415,00:00:55.519",6帧均为同一女性在室内做弓步交替动作，字幕提示‘左右交替进行 10次一组做3组’，叠加数字1/4/5/8/9指示进度；无换装、换景、说话口型变化,业务事实待确认：小肚子凸是否真非肥胖所致；视频聚焦动作纠正，未提及其他病因或医疗建议
fv_0013,先减肥还是先改善漏尿.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/先减肥还是先改善漏尿.mp4,60.534,1080x1920,9:16,success,body_care_knowledge,problem_solution,痛点问题 + 原因解释 + 方法交付,问题设问式开场,抛出二选一冲突性健康问题,标题与首帧字幕直接点题‘漏尿和减肥哪个更急迫’，制造认知张力,分层递进式讲解,00:00:12-00:00:48：依次展开漏尿普遍性、影响、依据、优先解决逻辑，无场景切换，纯口播+字幕强化,结论重申+行动引导,强调‘先解决漏尿的问题’并呼吁依据科学决策,5,5,5,5,low,结构完整：问题提出→现象说明→影响分析→决策依据→明确建议,无需补充，当前60.5s已闭环,统一书架背景+固定机位+字幕同步推进逻辑链，无跳切干扰,yes,业务事实待确认：漏尿与减肥的医学优先级关系,"00:00:00,00:00:12,00:00:24,00:00:36,00:00:48,00:01:00",00:00:00提问冲突；00:00:12定义漏尿；00:00:24指出现象普遍；00:00:36谈影响；00:00:48强调依据；00:01:00给出明确结论,内容涉及女性健康干预顺序，业务事实待确认
fv_0014,别再疯狂练收紧可能越练越漏尿.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/别再疯狂练收紧可能越练越漏尿.mp4,43.769,1080x1920,9:16,success,body_care_knowledge,pitfall_warning,痛点问题 + 原因解释 + 方法交付,结果前置式开场,用‘我还漏尿’直击用户隐性痛点,首帧字幕‘我还漏尿’制造强共鸣与危机感,原理讲解+动作引导递进,00:00:17.5 ‘它应该是收放自如的’→00:00:26.3 ‘盆底肌不是单纯的紧’→00:00:35.0 ‘首先我们要放松’，逻辑递进清晰,行动指令收尾,引导观众尝试放松动作并持续练习,5,5,5,5,low,结构完整：问题→认知纠偏→方法步骤→行动号召,无需补充，已闭环,字幕与手势同步推进逻辑链，无场景跳变,yes,业务事实待确认：漏尿与收紧训练的因果关系需医学依据,"00:00:00,00:00:08.754,00:00:17.508,00:00:26.261,00:00:35.015,00:00:43.769",00:00:00‘我还漏尿’点题；00:00:08.754提时间成本；00:00:17.5强调‘收放自如’；00:00:26.261纠正‘不是单纯紧’；00:00:35.015提出‘先放松’；00:00:43.769落脚‘不知怎样去做’促行动,内容涉及健康效果承诺，业务事实待确认
fv_0015,单纯练凯格尔能改善漏尿吗.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/单纯练凯格尔能改善漏尿吗.mp4,184.134,1080x1920,9:16,success,body_care_knowledge,problem_solution,痛点问题 + 原因解释 + 方法交付,直接提问式开场,点出普遍现象引发共鸣,首帧字幕‘很多的女生其实漏尿’直击目标人群隐性痛点,分步讲解+动作引导,00:00:36-00:02:27依次呈现问题归因、方法名称（凯格尔）、轻运动建议，画面稳定无跳切,行动召唤收尾,引导观众尝试单动作并坚持,5,5,5,5,low,结构完整：问题→归因→方法→行动建议闭环,无需补充，当前已完整,同一场景+连续坐姿+手势递进，保持视觉连贯,yes,业务事实待确认：凯格尔对漏尿改善效果需临床依据支撑,"00:00:00,00:00:36,00:01:13,00:01:50,00:02:27,00:03:04",00:00:00痛点陈述；00:00:36追问现状；00:01:13引出方法；00:01:50建议轻运动；00:02:27条件假设；00:03:04行动号召,业务事实待确认：漏尿改善效果与凯格尔关联性需医学背书
fv_0016,妈妈臀 臀凹陷一个动作饱满臀部.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/妈妈臀 臀凹陷一个动作饱满臀部.mp4,13.305,1080x1920,9:16,success,body_care_knowledge,sports_teaching,人群点名 + 痛点放大 + 单动作演示 + 坚持建议,结果前置+痛点标签,用对比图+文字强化‘妈妈臀’问题与解决方案,首帧即展示臀凹陷前后对比图与‘每天坚持这个动作’指令,单动作循环演示+字幕强化,6帧均为同一坐姿夹球动作，字幕重复‘每天坚持这个动作 臀饱满了’，无场景/动作变化,结果重申+行动固化,暗示持续练习即可达成图示效果,3,5,3,5,low,内容完整但缺乏错误示范/原理说明，属简化版教学,补充错误姿势对比或解剖简图说明发力肌群,固定机位+重复动作+统一字幕维持节奏连贯,pending_review,臀部形态改善效果承诺需业务事实待确认,00:00:00.000-00:00:13.305,6帧均为女性背对镜头坐椅夹球，左侧插图展示臀部前后对比，字幕统一为‘每天坚持这个动作 臀饱满了’,效果承诺类表述需标注业务事实待确认
fv_0017,30岁的女性练八爪鱼要多久6.2（4）.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/30岁的女性练八爪鱼要多久6.2（4）.mp4,17.554,1080x1920,9:16,success,sports_teaching,movement_correction,人群点名 + 低门槛动作 + 坚持建议,标题提问式开场,点明目标人群与核心问题,首帧字幕直接呈现‘30岁的女性练八爪鱼要多久’，锁定受众与痛点,分步动作演示+节奏提示,00:00:03.511-00:00:14.043展示坐姿调整、呼吸配合、重复练习等连续动作，字幕强调‘快的一周慢的两周’‘只需要一个’‘跟着视频动作练习起来’,结果承诺+行动召唤,引导私信获取指导（‘可以找我’）,5,5,5,5,low,6帧覆盖完整教学闭环：问题→方法→节奏→执行→结果→入口,,动作连贯、字幕递进、场景不变，无镜头跳变,yes,‘练八爪鱼’术语业务事实待确认；效果周期承诺需合规复核,"00:00:00.000,00:00:03.511,00:00:07.022,00:00:10.532,00:00:14.043,00:00:17.554",1.标题提问；2.动作演示+快慢周期对比；3.强调盆底肌训练；4.简化门槛‘只需要一个’；5.号召跟练；6.私信入口,‘八爪鱼’为非标准运动术语，业务事实待确认；‘一周/两周’效果周期属效果承诺，需合规审查
fv_0018,40岁女性练八爪鱼需要多久呢.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40岁女性练八爪鱼需要多久呢.mp4,16.881,1080x1920,9:16,success,sports_teaching,body_care_knowledge,人群点名 + 低门槛动作 + 坚持建议,问题设问+画面演示,用‘八爪鱼’视觉钩子引发好奇与代入,首帧即展示目标动作形态，配合标题设问建立身份关联,分步动作演示+字幕解释因果,00:03-00:13连续三组不同体位练习，字幕解释‘盆底肌’‘高龄女性’等关键词,结果强化+行动暗示,暗示持续练习可改善体态/功能,5,5,3,5,low,6帧覆盖引入-演示-收束完整链路，无明显断点,无需补充，结构已闭环,统一场景+同人同装+字幕递进逻辑衔接,yes,‘八爪鱼’效果承诺需业务事实待确认,"00:00, 00:03, 00:06, 00:10, 00:13, 00:16",00:00跪姿准备；00:03加图示‘一周慢两周’；00:06仰卧抬腿；00:10侧卧动作；00:13平躺解释；00:16坐姿收尾,涉及盆底肌训练效果表述，业务事实待确认
fv_0019,40岁女性练出J致的盆底肌需要多久？6.1.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40岁女性练出J致的盆底肌需要多久？6.1.mp4,18.506,1080x1920,9:16,success,body_care_knowledge,knowledge_explainer,痛点问题 + 原因解释 + 方法交付,标题提问+人群点名,建立身份认同与问题紧迫感,首帧即展示‘40岁女性’+‘盆底肌修复需多久’核心问题,图文穿插式分步解释,00:07-00:18持续用解剖图/文字框解释机制、时长、效果，动作配合演示,价值收束+行动暗示,引导坚持练习获取可逆效果,5,5,5,5,low,结构闭环：问题→机制→方案→结果预期完整,,每帧字幕递进逻辑链，画面动作与图文同步推进,yes,‘练出J致’‘还能找回’等效果承诺需业务事实待确认,"00:00,00:03,00:07,00:11,00:14,00:18",00:00提问+人群；00:03演示坐姿+时间答案；00:07对比年龄差异；00:11追问原因；00:14解释原理；00:18强调可逆性,涉及盆底肌效果描述，业务事实待确认
fv_0020,40岁女性都想拥有灵动蜜桃臀6.15.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40岁女性都想拥有灵动蜜桃臀6.15.mp4,18.181,1080x1920,9:16,success,body_care_knowledge,movement_correction,人群点名 + 痛点放大 + 单动作演示 + 坚持建议,结果前置+痛点共鸣,用标题与背影姿态建立目标感与代入感,首帧字幕‘40岁女性都想拥有灵动蜜桃臀’直击目标人群核心诉求,动作分解+原理穿插,00:07-00:14展示坐姿提臀动作，叠加‘打卡盆底肌’‘不分行龄’等解释性字幕,价值升华+体态关联,暗示持续练习可改善整体身型体态,5,5,5,5,low,6帧覆盖引入-演示-深化-收尾完整链路，无断裂,无需补充，结构已闭环,动作连贯递进（坐姿→微蹲→维持），字幕逻辑衔接紧密,yes,‘蜜桃臀’效果承诺需业务事实待确认,"00:00, 00:03.64, 00:07.27, 00:10.91, 00:14.55, 00:18.18",00:00背影点题；00:03.64侧后方动作初现；00:07.27强调‘不分年龄’；00:10.91提问式引导；00:14.55特写卷纸示意训练工具；00:18.18正面坐姿收束,涉及身体形态效果承诺，业务事实待确认
fv_0021,40岁的女性修复盆底肌要多久.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40岁的女性修复盆底肌要多久.mp4,18.483,1080x1920,9:16,success,body_care_knowledge,knowledge_explainer,痛点问题 + 原因解释 + 方法交付,标题提问式开场,点名人群+抛出核心疑问,首帧字幕直接呈现‘40岁的女性修复盆底肌要多久？’锁定目标受众与核心问题,分层释疑+动作示意,00:03.697-00:14.786：依次展示‘快7天半个月’‘跟年龄大小基本没关系’‘为什么精致已婚女人…’等字幕，配合坐姿演示与图示，递进解释影响因素与原理,行动引导收尾,暗示可进一步获取方法或咨询,5,5,5,5,low,6帧覆盖完整逻辑链：问题→常见误解→关键变量→人群适配→行动暗示,无需补充，结构闭环,字幕递进+人物姿态微调（正面→侧背）维持视觉连贯性,yes,修复时长承诺、效果关联性需业务事实待确认,"00:00:00.000, 00:00:03.697, 00:00:07.393, 00:00:11.090, 00:00:14.786, 00:00:18.483",帧1：标题提问+人物正面坐姿；帧2：给出时间范围‘快7天半个月’；帧3：否定年龄相关性；帧4：聚焦‘精致已婚女人’群体；帧5：解释普遍认知；帧6：转向背部视角+工具图示暗示解决方案,涉及健康干预时长与效果承诺，业务事实待确认
fv_0022,40岁的女性修复盆底肌要多久？.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40岁的女性修复盆底肌要多久？.mp4,18.506,1080x1920,9:16,success,body_care_knowledge,knowledge_explainer,痛点问题 + 原因解释 + 方法交付,问题直给+人群点名,建立身份认同与问题紧迫感,首帧字幕‘40岁女人修复盆底肌要多久’直接点题并锚定目标人群,分层释因+动作暗示,00:07-00:18依次呈现年龄无关性、已婚女性痛点、锻炼普适性、效果感知点，辅以解剖图示与坐姿演示,价值收束+轻行动引导,暗示‘开始练习’即可获得包裹感等反馈,5,5,3,5,low,结构闭环：问题→归因→方法暗示→价值收束，无明显断点,可补充具体动作名称或频次建议以强化方法交付,统一场景+固定机位+字幕递进+图示衔接，维持认知连贯,yes,业务事实待确认：修复时长、包裹感等效果描述需医学依据,"00:00, 00:03.7, 00:07.4, 00:11.1, 00:14.8, 00:18.5",00:00提问+人群；00:03.7时间承诺；00:07.4年龄无关；00:11.1已婚痛点；00:14.8经验共识；00:18.5效果感知,涉及健康效果承诺，业务事实待确认
fv_0023,40岁的女性练出八爪鱼要多久.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/AI需要的成片/已发/40岁的女性练出八爪鱼要多久.mp4,16.811,1080x1920,9:16,success,body_care_knowledge,sports_teaching,人群点名 + 痛点放大 + 单动作演示 + 坚持建议,标题提问式开场,用年龄+身体目标制造身份代入与好奇,首帧字幕‘40岁的女性练出八爪鱼要多久’直击目标人群痛点,动作演示+图文解释交替推进,00:03-00:16持续展示同一动作变体，配合盆底肌解剖图与‘快一周慢两周’等进度提示,结果归因+去年龄化安抚,暗示坚持即可达成，未设明确CTA,5,5,3,5,low,结构闭环：问题→演示→解释→鼓励；无明显缺失段落,可补充具体训练频次/时长数据增强可信度,动作连贯递进，字幕与图示同步更新，维持认知流,yes,‘八爪鱼’为非医学术语，效果承诺需业务事实待确认,"00:00, 00:03, 00:06, 00:10, 00:13, 00:16",00:00标题提问；00:03起四足跪姿垫膝练习；00:06加文字‘和年龄无关’；00:10出现盆底肌图示；00:13强调‘练过盆底肌’；00:16总结‘还会有八爪鱼般’,‘八爪鱼’指代盆底肌收紧形态，属网络用语，业务事实待确认
