formula_id,old_structure_formula,current_sample_count,editor_usable_score_avg,live_screening_transfer_score_avg,main_problem,recommended_action,new_formula_name,why,example_video_ids,manual_review_required
new_011,new_candidate,30,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,痛点/结果可视化 + 工具辅助动作 + 低压行动,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0033；cfv_0034；cfv_0035；cfv_0042；cfv_0043；cfv_0053；cfv_0056；cfv_0065；cfv_0066；cfv_0080；cfv_0081；cfv_0082,yes
new_012,new_candidate,17,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,痛点/人群点名 + 单动作循环演示 + 坚持建议,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0030；cfv_0048；cfv_0096；cfv_0107；cfv_0109；cfv_0111；cfv_0112；cfv_0113；cfv_0117；cfv_0152；cfv_0153；cfv_0154,yes
new_013,new_candidate,11,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,痛点/人群点名 + 工具辅助动作 + 坚持建议,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0010；cfv_0032；cfv_0036；cfv_0037；cfv_0038；cfv_0039；cfv_0040；cfv_0041；cfv_0044；cfv_0119；cfv_0124,yes
new_014,new_candidate,9,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,人群/年龄点名 + 单动作循环演示 + 坚持建议,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0001；cfv_0016；cfv_0050；cfv_0051；cfv_0061；cfv_0098；cfv_0101；cfv_0146；cfv_0147,yes
new_015,new_candidate,9,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,问题问答 + 原因解释 + 方法边界（盆底松弛无力）,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0002；cfv_0018；cfv_0019；cfv_0020；cfv_0022；cfv_0023；cfv_0024；cfv_0025；cfv_0026,yes
new_016,new_candidate,7,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,人群/年龄点名 + 动作证据待视觉复核 + 坚持建议,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0021；cfv_0054；cfv_0055；cfv_0099；cfv_0134；cfv_0148；cfv_0150,yes
new_017,new_candidate,2,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,问题问答 + 原因解释 + 方法边界（漏尿漏水尴尬）,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0011；cfv_0013,yes
new_018,new_candidate,2,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,误区/错误先抛 + 正确动作对比 + 原因解释（漏尿漏水尴尬）,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0014；cfv_0015,yes
new_019,new_candidate,2,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,人群/年龄点名 + 图解/解剖辅助说明 + 坚持建议,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0027；cfv_0149,yes
new_020,new_candidate,2,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,问题问答 + 原因解释 + 方法边界（泛身体状态/待视觉复核）,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0045；cfv_0162,yes
new_021,new_candidate,2,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,问题问答 + 原因解释 + 方法边界（膨出脱垂/下垂）,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0159；cfv_0166,yes
new_022,new_candidate,1,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,误区/错误先抛 + 正确动作对比 + 原因解释（盆底松弛无力）,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0009,yes
new_023,new_candidate,1,pending_visual_review,pending_visual_review,这是当前素材标题/元数据触发的新候选结构，尚未通过关键帧视觉确认。,new,痛点/结果可视化 + 图解/解剖辅助说明 + 低压行动,用于提醒剪辑师本轮保留素材的真实主题更偏动作证据和直播筛选，而不是复用旧前100条标签。,cfv_0145,yes
