trace_id,source_file_id,source_path,copied_or_extracted_path,action_id,problem_id,bridge_id,evidence_type,evidence_summary,review_gate
TRACE0011,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_open_explain,,BRIDGE002,copy_full,source_label_or_keyword_family,visual_review_required; customer_review_if_used_in_live_script
TRACE0012,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_screen_point_or_highlight,,BRIDGE003,copy_full,source_label_or_keyword_family,visual_review_required; ocr_review_required
TRACE0013,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_screen_point_or_highlight,,BRIDGE003,copy_full,source_label_or_keyword_family,visual_review_required; ocr_review_required
TRACE0014,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_screen_point_or_highlight,,BRIDGE003,copy_full,source_label_or_keyword_family,visual_review_required; ocr_review_required
TRACE0015,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_screen_point_or_highlight,,BRIDGE003,copy_full,source_label_or_keyword_family,visual_review_required; ocr_review_required
TRACE0016,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_step_count_or_page_turn,,BRIDGE004,copy_full,source_label_or_keyword_family,visual_review_required; professional_review_if_exercise_method
TRACE0017,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_step_count_or_page_turn,,BRIDGE004,copy_full,source_label_or_keyword_family,visual_review_required; professional_review_if_exercise_method
TRACE0018,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_emphasis_warning_pause,,BRIDGE005,copy_full,source_label_or_keyword_family,professional_review_required; compliance_review_required
TRACE0019,SRC00058,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00058_722f8b0c7b_07_动作标签库_action_label_library.md,presenter_emphasis_warning_pause,,BRIDGE005,copy_full,source_label_or_keyword_family,professional_review_required; compliance_review_required
TRACE0020,SRC00060,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00060_02ffc4db92_09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment_extract.csv,presenter_neutral_idle,course_knowledge_explain;presentation_delivery,BRIDGE001,extract_rows,动作标签库与触发规则存在该标签；多处桥接建议仍要求人工复核。,visual_review_required
TRACE0021,SRC00060,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00060_02ffc4db92_09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment_extract.csv,presenter_screen_point_or_highlight,courseware_attention;visual_focus_bridge,BRIDGE003,extract_rows,动作标签库含 hand_point_screen、highlight_focus、eye_to_slide、mouse_pointer_move。,visual_review_required; ocr_review_required
TRACE0022,SRC00060,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00060_02ffc4db92_09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment_extract.csv,unknown_or_unusable_visual_action,manual_review_queue;visual_review_blocker,BRIDGE014,extract_rows,动作时间轴、三线对照和逐句 JSONL 中大量 low_confidence、no_face、scene_no_presenter、OCR unavailable 类状态。,visual_review_required
TRACE0023,SRC00060,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00060_02ffc4db92_09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment_extract.csv,unknown_or_unusable_visual_action,,BRIDGE014,extract_rows,source_label_or_keyword_family,visual_review_required
TRACE0024,SRC00063,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/12_数字人动作触发规则_avatar_action_trigger_rules.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00063_9fb41ca283_12_数字人动作触发规则_avatar_action_trigger_rules.csv,presenter_neutral_idle,course_knowledge_explain;presentation_delivery,BRIDGE001,copy_full,动作标签库与触发规则存在该标签；多处桥接建议仍要求人工复核。,visual_review_required
TRACE0025,SRC00063,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/12_数字人动作触发规则_avatar_action_trigger_rules.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00063_9fb41ca283_12_数字人动作触发规则_avatar_action_trigger_rules.csv,presenter_open_explain,presentation_delivery;question_answer_bridge,BRIDGE002,copy_full,动作标签库列出 hand_open_explain；触发规则把 question_prompt 映射到该动作但 confidence=low。,visual_review_required; customer_review_if_used_in_live_script
TRACE0026,SRC00063,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/12_数字人动作触发规则_avatar_action_trigger_rules.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00063_9fb41ca283_12_数字人动作触发规则_avatar_action_trigger_rules.csv,presenter_emphasis_warning_pause,objection_response;risk_boundary,BRIDGE005,copy_full,动作标签库含 serious_emphasis、pause_thinking；触发规则把 warning_reminder 映射为 serious_emphasis 但 confidence=low。,professional_review_required; compliance_review_required
TRACE0027,SRC00063,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/12_数字人动作触发规则_avatar_action_trigger_rules.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00063_9fb41ca283_12_数字人动作触发规则_avatar_action_trigger_rules.csv,presenter_open_explain,,BRIDGE002,copy_full,source_label_or_keyword_family,visual_review_required; customer_review_if_used_in_live_script
TRACE0028,SRC00063,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/12_数字人动作触发规则_avatar_action_trigger_rules.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00063_9fb41ca283_12_数字人动作触发规则_avatar_action_trigger_rules.csv,presenter_emphasis_warning_pause,,BRIDGE005,copy_full,source_label_or_keyword_family,professional_review_required; compliance_review_required
TRACE0029,SRC00087,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00087_fff649f4d9_live_project_bridge_fields_extract.csv,presenter_emphasis_warning_pause,objection_response;risk_boundary,BRIDGE005,extract_rows,动作标签库含 serious_emphasis、pause_thinking；触发规则把 warning_reminder 映射为 serious_emphasis 但 confidence=low。,professional_review_required; compliance_review_required
TRACE0030,SRC00087,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00087_fff649f4d9_live_project_bridge_fields_extract.csv,course_position_method_reference,high_sensitive_intimate_instruction;posture_selection_problem,BRIDGE008,extract_rows,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],compliance_review_required; customer_review_required; professional_review_required
TRACE0031,SRC00087,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00087_fff649f4d9_live_project_bridge_fields_extract.csv,course_body_position_technique_reference,body_position_technique_sensitive;relationship_intimacy_method,BRIDGE009,extract_rows,课程文本与问答中存在该类主题；本知识库不展开源内具体操作细节。,compliance_review_required; customer_review_required; professional_review_required
TRACE0032,SRC00087,神经数字人课程解析交付包_neural_avatar_course_analysis_pack/data/live_project_bridge_fields.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00087_fff649f4d9_live_project_bridge_fields_extract.csv,course_relationship_problem_reference,qa_objection_response;relationship_communication,BRIDGE012,extract_rows,[已脱敏_仅保留高层词族:adult_intimacy_risk; 原文细节未复制; review_gate=professional_review_required],customer_review_if_business_claim; compliance_review_if_sensitive
TRACE0033,SRC00341,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/06_讲师动作时间轴_presenter_action_timeline.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00341_2ca69b3bde_06_讲师动作时间轴_presenter_action_timeline_extract.csv,unknown_or_unusable_visual_action,manual_review_queue;visual_review_blocker,BRIDGE014,extract_rows,动作时间轴、三线对照和逐句 JSONL 中大量 low_confidence、no_face、scene_no_presenter、OCR unavailable 类状态。,visual_review_required
TRACE0034,SRC00341,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/06_讲师动作时间轴_presenter_action_timeline.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00341_2ca69b3bde_06_讲师动作时间轴_presenter_action_timeline_extract.csv,unknown_or_unusable_visual_action,,BRIDGE014,extract_rows,source_label_or_keyword_family,visual_review_required
TRACE0035,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_neutral_idle,course_knowledge_explain;presentation_delivery,BRIDGE001,copy_full,动作标签库与触发规则存在该标签；多处桥接建议仍要求人工复核。,visual_review_required
TRACE0036,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_open_explain,presentation_delivery;question_answer_bridge,BRIDGE002,copy_full,动作标签库列出 hand_open_explain；触发规则把 question_prompt 映射到该动作但 confidence=low。,visual_review_required; customer_review_if_used_in_live_script
TRACE0037,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_screen_point_or_highlight,courseware_attention;visual_focus_bridge,BRIDGE003,copy_full,动作标签库含 hand_point_screen、highlight_focus、eye_to_slide、mouse_pointer_move。,visual_review_required; ocr_review_required
TRACE0038,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_step_count_or_page_turn,course_step_explain;method_sequence,BRIDGE004,copy_full,动作标签库含 hand_counting 与 page_turn。,visual_review_required; professional_review_if_exercise_method
TRACE0039,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_emphasis_warning_pause,objection_response;risk_boundary,BRIDGE005,copy_full,动作标签库含 serious_emphasis、pause_thinking；触发规则把 warning_reminder 映射为 serious_emphasis 但 confidence=low。,professional_review_required; compliance_review_required
TRACE0040,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_neutral_idle,,BRIDGE001,copy_full,source_label_or_keyword_family,visual_review_required
TRACE0041,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_neutral_idle,,BRIDGE001,copy_full,source_label_or_keyword_family,visual_review_required
TRACE0042,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_open_explain,,BRIDGE002,copy_full,source_label_or_keyword_family,visual_review_required; customer_review_if_used_in_live_script
TRACE0043,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_open_explain,,BRIDGE002,copy_full,source_label_or_keyword_family,visual_review_required; customer_review_if_used_in_live_script
TRACE0044,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_screen_point_or_highlight,,BRIDGE003,copy_full,source_label_or_keyword_family,visual_review_required; ocr_review_required
TRACE0045,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_screen_point_or_highlight,,BRIDGE003,copy_full,source_label_or_keyword_family,visual_review_required; ocr_review_required
TRACE0046,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_screen_point_or_highlight,,BRIDGE003,copy_full,source_label_or_keyword_family,visual_review_required; ocr_review_required
TRACE0047,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_screen_point_or_highlight,,BRIDGE003,copy_full,source_label_or_keyword_family,visual_review_required; ocr_review_required
TRACE0048,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_step_count_or_page_turn,,BRIDGE004,copy_full,source_label_or_keyword_family,visual_review_required; professional_review_if_exercise_method
TRACE0049,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_step_count_or_page_turn,,BRIDGE004,copy_full,source_label_or_keyword_family,visual_review_required; professional_review_if_exercise_method
TRACE0050,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_emphasis_warning_pause,,BRIDGE005,copy_full,source_label_or_keyword_family,professional_review_required; compliance_review_required
TRACE0051,SRC00342,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/07_动作标签库_action_label_library.md,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00342_c42f0ae10b_07_动作标签库_action_label_library.md,presenter_emphasis_warning_pause,,BRIDGE005,copy_full,source_label_or_keyword_family,professional_review_required; compliance_review_required
TRACE0052,SRC00344,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00344_ba1f9a9034_09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment_extract.csv,presenter_neutral_idle,course_knowledge_explain;presentation_delivery,BRIDGE001,extract_rows,动作标签库与触发规则存在该标签；多处桥接建议仍要求人工复核。,visual_review_required
TRACE0053,SRC00344,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00344_ba1f9a9034_09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment_extract.csv,presenter_screen_point_or_highlight,courseware_attention;visual_focus_bridge,BRIDGE003,extract_rows,动作标签库含 hand_point_screen、highlight_focus、eye_to_slide、mouse_pointer_move。,visual_review_required; ocr_review_required
TRACE0054,SRC00344,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00344_ba1f9a9034_09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment_extract.csv,unknown_or_unusable_visual_action,manual_review_queue;visual_review_blocker,BRIDGE014,extract_rows,动作时间轴、三线对照和逐句 JSONL 中大量 low_confidence、no_face、scene_no_presenter、OCR unavailable 类状态。,visual_review_required
TRACE0055,SRC00344,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/04_大表关键摘录_large_table_extracts/SRC00344_ba1f9a9034_09_逐字稿_课件_动作三线对照表_transcript_courseware_action_alignment_extract.csv,unknown_or_unusable_visual_action,,BRIDGE014,extract_rows,source_label_or_keyword_family,visual_review_required
TRACE0056,SRC00347,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/12_数字人动作触发规则_avatar_action_trigger_rules.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00347_4d8d2e07bd_12_数字人动作触发规则_avatar_action_trigger_rules.csv,presenter_neutral_idle,course_knowledge_explain;presentation_delivery,BRIDGE001,copy_full,动作标签库与触发规则存在该标签；多处桥接建议仍要求人工复核。,visual_review_required
TRACE0057,SRC00347,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/12_数字人动作触发规则_avatar_action_trigger_rules.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00347_4d8d2e07bd_12_数字人动作触发规则_avatar_action_trigger_rules.csv,presenter_open_explain,presentation_delivery;question_answer_bridge,BRIDGE002,copy_full,动作标签库列出 hand_open_explain；触发规则把 question_prompt 映射到该动作但 confidence=low。,visual_review_required; customer_review_if_used_in_live_script
TRACE0058,SRC00347,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/12_数字人动作触发规则_avatar_action_trigger_rules.csv,项目资料源_selected_source_materials/AI解析精选资料包_selected_ai_analysis_extract_pack/03_精选资料副本_selected_source_files/SRC00347_4d8d2e07bd_12_数字人动作触发规则_avatar_action_trigger_rules.csv,presenter_emphasis_warning_pause,objection_response;risk_boundary,BRIDGE005,copy_full,动作标签库含 serious_emphasis、pause_thinking；触发规则把 warning_reminder 映射为 serious_emphasis 但 confidence=low。,professional_review_required; compliance_review_required
