source_id,file_name,file_path,file_type,file_ext,file_size_bytes,detected_topic,pair_id,pair_status,usable_status,blocked_reason,notes
src_scan_0018,亚洲和欧洲女性身体上的区别在哪.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/亚洲和欧洲女性身体上的区别在哪.txt,文本,.txt,60,正样本成片/亚洲和欧洲女性身体上的区别在哪,pair_0008,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0019,动态臀桥 练一次收一次.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/动态臀桥 练一次收一次.mp4,视频,.mp4,6233619,正样本成片/动态臀桥 练一次收一次,pair_0009,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0020,动态臀桥 练一次收一次.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/动态臀桥 练一次收一次.txt,文本,.txt,55,正样本成片/动态臀桥 练一次收一次,pair_0009,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0021,只要你会很玩 男人就会很上头.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/只要你会很玩 男人就会很上头.mp4,视频,.mp4,4491685,正样本成片/只要你会很玩 男人就会很上头,pair_0010,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0022,只要你会很玩 男人就会很上头.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/只要你会很玩 男人就会很上头.txt,文本,.txt,50,正样本成片/只要你会很玩 男人就会很上头,pair_0010,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0023,夫妻感情好不好看床就知道.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/夫妻感情好不好看床就知道.mp4,视频,.mp4,8756799,正样本成片/夫妻感情好不好看床就知道,pair_0011,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0024,夫妻感情好不好看床就知道.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/夫妻感情好不好看床就知道.txt,文本,.txt,57,正样本成片/夫妻感情好不好看床就知道,pair_0011,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0025,女人只会对自己爱的人好色.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女人只会对自己爱的人好色.mp4,视频,.mp4,4155301,正样本成片/女人只会对自己爱的人好色,pair_0012,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0026,女人只会对自己爱的人好色.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女人只会对自己爱的人好色.txt,文本,.txt,60,正样本成片/女人只会对自己爱的人好色,pair_0012,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0027,女性S蜜垂吊球练一次收一次.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女性S蜜垂吊球练一次收一次.mp4,视频,.mp4,5788709,正样本成片/女性S蜜垂吊球练一次收一次,pair_0013,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0028,女性S蜜垂吊球练一次收一次.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女性S蜜垂吊球练一次收一次.txt,文本,.txt,53,正样本成片/女性S蜜垂吊球练一次收一次,pair_0013,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0029,女性如何给男人做S蜜保养.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女性如何给男人做S蜜保养.mp4,视频,.mp4,3266658,正样本成片/女性如何给男人做S蜜保养,pair_0014,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0030,女性如何给男人做S蜜保养.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女性如何给男人做S蜜保养.txt,文本,.txt,53,正样本成片/女性如何给男人做S蜜保养,pair_0014,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0031,女性越胖 越有需求吗.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女性越胖 越有需求吗.mp4,视频,.mp4,1104269,正样本成片/女性越胖 越有需求吗,pair_0015,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0032,女性越胖 越有需求吗.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女性越胖 越有需求吗.txt,文本,.txt,50,正样本成片/女性越胖 越有需求吗,pair_0015,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0033,如何改善X冷淡？.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/如何改善X冷淡？.mp4,视频,.mp4,3723949,正样本成片/如何改善X冷淡？,pair_0016,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0034,如何改善X冷淡？.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/如何改善X冷淡？.txt,文本,.txt,61,正样本成片/如何改善X冷淡？,pair_0016,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0035,对方有了喜欢要为自己鼓掌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/对方有了喜欢要为自己鼓掌.mp4,视频,.mp4,4634845,正样本成片/对方有了喜欢要为自己鼓掌,pair_0017,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0036,对方有了喜欢要为自己鼓掌.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/对方有了喜欢要为自己鼓掌.txt,文本,.txt,61,正样本成片/对方有了喜欢要为自己鼓掌,pair_0017,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0037,更年期女性自救指南告别僵硬疼痛.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/更年期女性自救指南告别僵硬疼痛.mp4,视频,.mp4,2469418,正样本成片/更年期女性自救指南告别僵硬疼痛,pair_0018,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0038,更年期女性自救指南告别僵硬疼痛.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/更年期女性自救指南告别僵硬疼痛.txt,文本,.txt,62,正样本成片/更年期女性自救指南告别僵硬疼痛,pair_0018,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0039,极致的体验会让人念念不忘.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/极致的体验会让人念念不忘.mp4,视频,.mp4,3859323,正样本成片/极致的体验会让人念念不忘,pair_0019,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0040,极致的体验会让人念念不忘.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/极致的体验会让人念念不忘.txt,文本,.txt,61,正样本成片/极致的体验会让人念念不忘,pair_0019,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0041,正确的夫妻生活 是什么样的.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/正确的夫妻生活 是什么样的.mp4,视频,.mp4,3657710,正样本成片/正确的夫妻生活 是什么样的,pair_0020,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0042,正确的夫妻生活 是什么样的.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/正确的夫妻生活 是什么样的.txt,文本,.txt,51,正样本成片/正确的夫妻生活 是什么样的,pair_0020,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0043,生理旺盛的女性 有哪些特征.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/生理旺盛的女性 有哪些特征.mp4,视频,.mp4,5009769,正样本成片/生理旺盛的女性 有哪些特征,pair_0021,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0044,生理旺盛的女性 有哪些特征.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/生理旺盛的女性 有哪些特征.txt,文本,.txt,54,正样本成片/生理旺盛的女性 有哪些特征,pair_0021,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0045,男人的床品就是他的人品.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/男人的床品就是他的人品.mp4,视频,.mp4,7480031,正样本成片/男人的床品就是他的人品,pair_0022,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0046,男人的床品就是他的人品.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/男人的床品就是他的人品.txt,文本,.txt,57,正样本成片/男人的床品就是他的人品,pair_0022,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0047,男性按摩操真的有用吗.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/男性按摩操真的有用吗.mp4,视频,.mp4,9814302,正样本成片/男性按摩操真的有用吗,pair_0023,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0048,男性按摩操真的有用吗.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/男性按摩操真的有用吗.txt,文本,.txt,52,正样本成片/男性按摩操真的有用吗,pair_0023,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0049,细节看男人床品暴露一切.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/细节看男人床品暴露一切.mp4,视频,.mp4,1358860,正样本成片/细节看男人床品暴露一切,pair_0024,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0050,细节看男人床品暴露一切.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/细节看男人床品暴露一切.txt,文本,.txt,62,正样本成片/细节看男人床品暴露一切,pair_0024,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0051,老年人相亲尺度相当的大.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/老年人相亲尺度相当的大.mp4,视频,.mp4,5697702,正样本成片/老年人相亲尺度相当的大,pair_0025,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0052,老年人相亲尺度相当的大.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/老年人相亲尺度相当的大.txt,文本,.txt,0,正样本成片/老年人相亲尺度相当的大,pair_0025,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0053,胖乎乎的女人男人都喜欢.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/胖乎乎的女人男人都喜欢.mp4,视频,.mp4,719823,正样本成片/胖乎乎的女人男人都喜欢,pair_0026,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0054,胖乎乎的女人男人都喜欢.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/胖乎乎的女人男人都喜欢.txt,文本,.txt,62,正样本成片/胖乎乎的女人男人都喜欢,pair_0026,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0055,能让男人舒服 莫过于两个技巧.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/能让男人舒服 莫过于两个技巧.mp4,视频,.mp4,2349629,正样本成片/能让男人舒服 莫过于两个技巧,pair_0027,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0056,能让男人舒服 莫过于两个技巧.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/能让男人舒服 莫过于两个技巧.txt,文本,.txt,53,正样本成片/能让男人舒服 莫过于两个技巧,pair_0027,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0057,身体是拿来用的.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/身体是拿来用的.mp4,视频,.mp4,3871454,正样本成片/身体是拿来用的,pair_0028,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0058,身体是拿来用的.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/身体是拿来用的.txt,文本,.txt,60,正样本成片/身体是拿来用的,pair_0028,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0059,送给男人的礼物丁丁按摩操.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/送给男人的礼物丁丁按摩操.mp4,视频,.mp4,11675599,正样本成片/送给男人的礼物丁丁按摩操,pair_0029,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0060,送给男人的礼物丁丁按摩操.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/送给男人的礼物丁丁按摩操.txt,文本,.txt,0,正样本成片/送给男人的礼物丁丁按摩操,pair_0029,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0061,._附件.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/._附件.txt,其他,.txt,4096,负样本成片/附件,,不适用,不可用,"macOS AppleDouble metadata, 非业务素材",样本成片目录，非完整直播录屏
src_scan_0062,._高段位女性都在练习八爪鱼.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/._高段位女性都在练习八爪鱼.txt,其他,.txt,4096,负样本成片/高段位女性都在练习八爪鱼,,不适用,不可用,"macOS AppleDouble metadata, 非业务素材",样本成片目录，非完整直播录屏
src_scan_0063,会跳舞的臀你想拥有吗？.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/会跳舞的臀你想拥有吗？.mp4,视频,.mp4,13539833,负样本成片/会跳舞的臀你想拥有吗？,pair_0033,缺文本,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0064,跑跳漏水尴尬 一个小球告别尴尬.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/跑跳漏水尴尬 一个小球告别尴尬.mp4,视频,.mp4,2341003,负样本成片/跑跳漏水尴尬 一个小球告别尴尬,pair_0030,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0065,跑跳漏水尴尬 一个小球告别尴尬.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/跑跳漏水尴尬 一个小球告别尴尬.txt,文本,.txt,91,负样本成片/跑跳漏水尴尬 一个小球告别尴尬,pair_0030,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0066,附件.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/附件.txt,文本,.txt,0,负样本成片/附件,pair_0034,缺视频,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
src_scan_0067,高段位女性都在练习八爪鱼.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/高段位女性都在练习八爪鱼.mp4,视频,.mp4,1775075,负样本成片/高段位女性都在练习八爪鱼,pair_0031,已配对,待人工确认,,样本成片目录，非完整直播录屏
src_scan_0068,高段位女性都在练习八爪鱼.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/高段位女性都在练习八爪鱼.txt,文本,.txt,92,负样本成片/高段位女性都在练习八爪鱼,pair_0031,已配对,待人工确认,timecode_status 待验证,样本成片目录，非完整直播录屏；未读取内容，timecode 待验证
