pair_id,source_id,file_name,file_path,file_size_bytes_manifest,read_bytes,timecode_probe_status,matched_pattern,probe_note
pair_0010,src_scan_0022,只要你会很玩 男人就会很上头.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/只要你会很玩 男人就会很上头.txt,50,50,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0011,src_scan_0024,夫妻感情好不好看床就知道.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/夫妻感情好不好看床就知道.txt,57,57,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0012,src_scan_0026,女人只会对自己爱的人好色.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女人只会对自己爱的人好色.txt,60,60,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0013,src_scan_0028,女性S蜜垂吊球练一次收一次.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女性S蜜垂吊球练一次收一次.txt,53,53,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0014,src_scan_0030,女性如何给男人做S蜜保养.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女性如何给男人做S蜜保养.txt,53,53,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0015,src_scan_0032,女性越胖 越有需求吗.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女性越胖 越有需求吗.txt,50,50,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0016,src_scan_0034,如何改善X冷淡？.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/如何改善X冷淡？.txt,61,61,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0017,src_scan_0036,对方有了喜欢要为自己鼓掌.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/对方有了喜欢要为自己鼓掌.txt,61,61,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0018,src_scan_0038,更年期女性自救指南告别僵硬疼痛.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/更年期女性自救指南告别僵硬疼痛.txt,62,62,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0019,src_scan_0040,极致的体验会让人念念不忘.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/极致的体验会让人念念不忘.txt,61,61,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0020,src_scan_0042,正确的夫妻生活 是什么样的.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/正确的夫妻生活 是什么样的.txt,51,51,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0021,src_scan_0044,生理旺盛的女性 有哪些特征.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/生理旺盛的女性 有哪些特征.txt,54,54,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0022,src_scan_0046,男人的床品就是他的人品.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/男人的床品就是他的人品.txt,57,57,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0023,src_scan_0048,男性按摩操真的有用吗.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/男性按摩操真的有用吗.txt,52,52,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0024,src_scan_0050,细节看男人床品暴露一切.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/细节看男人床品暴露一切.txt,62,62,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0025,src_scan_0052,老年人相亲尺度相当的大.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/老年人相亲尺度相当的大.txt,0,0,empty_txt,,file_size_0
pair_0026,src_scan_0054,胖乎乎的女人男人都喜欢.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/胖乎乎的女人男人都喜欢.txt,62,62,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0027,src_scan_0056,能让男人舒服 莫过于两个技巧.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/能让男人舒服 莫过于两个技巧.txt,53,53,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0028,src_scan_0058,身体是拿来用的.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/身体是拿来用的.txt,60,60,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0029,src_scan_0060,送给男人的礼物丁丁按摩操.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/送给男人的礼物丁丁按摩操.txt,0,0,empty_txt,,file_size_0
pair_0030,src_scan_0065,跑跳漏水尴尬 一个小球告别尴尬.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/跑跳漏水尴尬 一个小球告别尴尬.txt,91,91,no_timecode_found,,regex_no_match;encoding=utf-8-sig
pair_0034,src_scan_0066,附件.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/附件.txt,0,0,empty_txt,,file_size_0
pair_0031,src_scan_0068,高段位女性都在练习八爪鱼.txt,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/高段位女性都在练习八爪鱼.txt,92,92,no_timecode_found,,regex_no_match;encoding=utf-8-sig
