contrast_id,sample_type,file_name,positive_reason,negative_reason,matched_existing_rule,missing_new_rule,content_archetype,route_decision,evidence_timecodes,manual_review_items
contrast_011,positive_sample,为什么男人都喜欢丰满的女人.mp4,开头检查；短摘录：大部分的男人都喜歡豐滿的女人因為豐滿的女性她的身體的這種…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：大部分的男人都喜歡豐滿的女人因為豐滿的女性她的身體的這種…；用于判断引流钩子是否完整；结尾检查；短摘录：大部分的男人都喜歡豐滿的女人因為豐滿的女性她的身體的這種…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；引流钩子 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:00.000-00:00:14.512；00:00:02.512-00:00:14.512,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_012,positive_sample,亚洲和欧洲女性身体上的区别在哪.mp4,开头检查；短摘录：欧美的女性跟我们亚洲女性其实是不一样的首先我们从身材比例…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：然后我们亚洲女性就比较偏舞舞身材所以欧美女性你看她的臀会…；用于判断无法映射片段是否完整；结尾检查；短摘录：而且她的深度啊宽度啊都跟我们亚洲女性不一样亚洲女性相对来…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；无法映射片段 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:29.879；00:00:20.879-00:00:32.879,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_013,positive_sample,动态臀桥 练一次收一次.mp4,开头检查；短摘录：用驰骨向上放鬆盆底肌收緊放鬆平躺下來雙腳打開腳耗根著地腳…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：腳耗根著地腳尖回勾把注意力放在盆底肌準備好開始好了收緊上…；用于判断无法映射片段是否完整；结尾检查；短摘录：在家裡就可以進行我們的產後的恢復和彭蒂吉練習202510…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；无法映射片段 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,single_action_tts_teaching,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:57.604；00:00:48.604-00:01:00.604,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_014,positive_sample,只要你会很玩 男人就会很上头.mp4,开头检查；短摘录：姐妹們你知道什麼叫做三菜一湯嗎還有什麼五個看慣又是啥其實…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：其實三菜一湯可不是真的教你們做飯它是指一個技能就是你們在…；用于判断引流钩子是否完整；结尾检查；短摘录：这才是女人的底气和筹码眼睛左下角有全套的漂泊技巧这套课程…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；引流钩子 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:40.189；00:00:31.189-00:00:43.189,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_015,positive_sample,夫妻感情好不好看床就知道.mp4,开头检查；短摘录：夫妻生活好不好看床就知道了我曾经有一次去到一个夫妻的家里…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：她的老婆就跟我说我不想跟她在一起跟她在一起我就觉得很不舒…；用于判断案例信任是否完整；结尾检查；短摘录：不能够调动人的整个感官的过程所以我们经常说你到一个家里去…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；案例信任 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:49.779；00:00:40.779-00:00:52.779,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_016,positive_sample,女人只会对自己爱的人好色.mp4,开头检查；短摘录：女人只会对自己感兴趣的人好色你的女人对你好色吗你会发现一…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：就是个大流氓就很多人可能不太理解这句话的意思跟女人只有对…；用于判断引流钩子是否完整；结尾检查；短摘录：如果你对她对你的好色的感觉不舒服那就证明什么这里你不爱她…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；引流钩子 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:32.503；00:00:23.503-00:00:35.503,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_017,positive_sample,女性S蜜垂吊球练一次收一次.mp4,开头检查；短摘录：球里面有接近2斤重我给你们看一下里面是有这个砝码的一个砝…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：然后我可以把这个一掉起来我可以用我的盆底机掉5斤重的东西…；用于判断课程讲解是否完整；结尾检查；短摘录：就是靠我这套训练方法来的只要你们练习吸力動力滋潤度滋潤度…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；课程讲解 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,single_action_tts_teaching,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:33.688；00:00:24.688-00:00:36.688,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_018,positive_sample,女性如何给男人做S蜜保养.mp4,开头检查；短摘录：女人是男人的私密保養店所以一個女性當我們學會了如何給男性…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：你就可以成為她最好的大保健師她永遠都會離不開你所以你看我…；用于判断引流钩子是否完整；结尾检查；短摘录：如何給男人清潔如何給她按摩怎麼樣子去增強她的能力當一個女…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；引流钩子 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:21.636；00:00:12.636-00:00:24.636,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_019,positive_sample,女性越胖 越有需求吗.mp4,开头检查；短摘录：女人是越胖越有需求太瘦了會對任何事情都失去欲望特別是對男…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：女人是越胖越有需求太瘦了會對任何事情都失去欲望特別是對男…；用于判断引流钩子是否完整；结尾检查；短摘录：女人是越胖越有需求太瘦了會對任何事情都失去欲望特別是對男…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；引流钩子 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:00.000-00:00:10.820；00:00:00.000-00:00:10.820,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_020,positive_sample,如何改善X冷淡？.mp4,开头检查；短摘录：想要真正的去改善我们的性能弹第一件事情我们要去了解自己的…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：就是让你吃东西一样也没有吃过各种吃的也不知道自己喜欢吃什…；用于判断课程讲解是否完整；结尾检查；短摘录：最後你的身體就會變得越來越敏感越来越敏感所以这个世界上没…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；课程讲解 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:01:00.000；00:00:56.933-00:01:08.933,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_021,positive_sample,对方有了喜欢要为自己鼓掌.mp4,开头检查；短摘录：如果对方有新花这个时候你一定要为他鼓掌庆祝你要庆幸自己逃…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：就是这个人不管他换到谁其实都是那一套不能忽热冷暴力逃避不…；用于判断引流钩子是否完整；结尾检查；短摘录：就算是他换一万个人他也一样谈不好你在他身上所遭受的那些痛…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；引流钩子 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:28.486；00:00:19.486-00:00:31.486,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_022,positive_sample,更年期女性自救指南告别僵硬疼痛.mp4,开头检查；短摘录：女性更年期其实必须要去运动你会随着激素的一个下降你的股密…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：肌肉这个时候也在开始衰退所以这个时候我们身体就开始出现一…；用于判断异议回应是否完整；结尾检查；短摘录：一周我们可以做三次有氧的训练那比较适合的话那就是瑜伽的联…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；异议回应 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:41.100；00:00:32.100-00:00:44.100,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_023,positive_sample,极致的体验会让人念念不忘.mp4,开头检查；短摘录：恋爱老不止是女人有男人也有但是大部分的男人是不会升隔夜请…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：一般的人遇到恋过私女一家的女人多多少少都有点走不出来这女…；用于判断引流钩子是否完整；结尾检查；短摘录：最美好的体验都会进入到我们的深刻的记忆里面这个记忆是永远…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；引流钩子 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:56.133；00:00:47.133-00:00:59.133,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_024,positive_sample,正确的夫妻生活 是什么样的.mp4,开头检查；短摘录：正確的夫妻生活其實你就常開的去享受它兩口子過日嘛放得開一…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：撒花鬧疼那個才叫真自在但凡出了家門外面咱可以多安裝得體優…；用于判断无法映射片段是否完整；结尾检查；短摘录：過得熱熱呼呼的回歸生活而晚上呢讓自己的身心都能夠舒舒彈彈…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；无法映射片段 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:27.488；00:00:18.488-00:00:30.488,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_025,positive_sample,生理旺盛的女性 有哪些特征.mp4,开头检查；短摘录：整体需求旺盛的女性你看有几个特征第一个她的体型是那种微胖…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：尤其是捆腿比较微胖的女性她们的欲望需求动力活力都会更强第…；用于判断课程讲解是否完整；结尾检查；短摘录：我们的这个过程第三个脸红的女生脸红的女生代表她的整个循环…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；课程讲解 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:33.571；00:00:24.571-00:00:36.571,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_026,positive_sample,男人的床品就是他的人品.mp4,前文完成三点判断后，用留言和课堂做自然收束；开头检查；短摘录：男人的床品就是他的人品你看一个男人怎么样其实你要看他床上…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：你可以对照一下看看你们家里那位有没有纵造首先要第一点你要…；用于判断异议回应是否完整,pending_negative_structure_review,促单 3-8 秒可以做行动提醒；开头 8 秒内是否建立观看理由；异议回应 主体结构块证据,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:46.920-00:00:55.240；00:00:00.000-00:00:08.000；00:00:08.000-00:00:52.240,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_027,positive_sample,男性按摩操真的有用吗.mp4,先问按摩是否有用，再解释压力、循环和能力改善逻辑；开头检查；短摘录：老公按摩真的有用吗男性老师要在这里告诉你姐妹们当然有用而…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：首先你要知道男性他们也会面临着他的功能性的问题比如说泄了…；用于判断异议回应是否完整,pending_negative_structure_review,异议回应至少要有疑问和解释；开头 8 秒内是否建立观看理由；异议回应 主体结构块证据,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:29.600；00:00:00.000-00:00:08.000；00:00:08.000-00:01:00.000,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_028,positive_sample,细节看男人床品暴露一切.mp4,开头检查；短摘录：找男人而床品比人品更重要男人的床品就是他的人品这句话一定…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：找男人而床品比人品更重要男人的床品就是他的人品这句话一定…；用于判断无法映射片段是否完整；结尾检查；短摘录：男人的床品就是他的人品这句话一定是对的就你看一个男人怎么…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；无法映射片段 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:00.000-00:00:15.833；00:00:03.833-00:00:15.833,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_029,positive_sample,老年人相亲尺度相当的大.mp4,开头检查；短摘录：老年人相亲哪尺多大都你想象不到我们年轻人像个亲谈恋爱可能…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：可能还要先看看对方什么反应但你发现老年人相亲根本不会装他…；用于判断案例信任是否完整；结尾检查；短摘录：男方要的是什么你看一目了然他们一点都不会觉得害羞一点不会…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；案例信任 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:01:00.000；00:01:00.934-00:01:12.934,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_030,positive_sample,胖乎乎的女人男人都喜欢.mp4,单句观点很短，只能做钩子或观点点，不宜当完整讲解；开头检查；短摘录：男人都喜欢胖乎乎的女人，第一，抱着很舒服，第二，瘦的女人…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：男人都喜欢胖乎乎的女人，第一，抱着很舒服，第二，瘦的女人…；用于判断引流钩子是否完整,pending_negative_structure_review,课程讲解少于 8 秒通常不完整；开头 8 秒内是否建立观看理由；引流钩子 主体结构块证据,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:07.000；00:00:00.000-00:00:07.129；00:00:00.000-00:00:07.129,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_031,positive_sample,能让男人舒服 莫过于两个技巧.mp4,开头检查；短摘录：能让男人舒服莫过于两个聚巧第一个不要一次次的拒绝对方你的…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：你的拒绝会严重的伤好男人的自尊心第二个就是在男女相处的时…；用于判断引流钩子是否完整；结尾检查；短摘录：第一个不要一次次的拒绝对方你的拒绝会严重的伤好男人的自尊…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；引流钩子 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:15.437；00:00:06.437-00:00:18.437,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_032,positive_sample,身体是拿来用的.mp4,开头检查；短摘录：如果说真的是我们像有一些异地链出差长期不在身边我们可以D…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：我们可以玩具让玩具保持你自己在一个比较好的状态因为大家明…；用于判断无法映射片段是否完整；结尾检查；短摘录：每個女生都應該給自己準備一個小玩具準備一個小幫手它是可以…；用于判断是否自然收住、是否突兀促单,pending_negative_structure_review,开头 8 秒内是否建立观看理由；无法映射片段 主体结构块证据；结尾是否自然收束或需要补桥接,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:00.000-00:00:08.000；00:00:08.000-00:00:50.100；00:00:41.100-00:00:53.100,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
contrast_033,positive_sample,送给男人的礼物丁丁按摩操.mp4,会员群反馈后转向可学习技巧和底层逻辑，便于承接行动；开头检查；短摘录：想征服男人真的很简单一个小技巧就够了前两天我把我们的那个…；用于判断是否有观看理由和后文兑现；主体检查；短摘录：瞬间就炸了他就觉得原来还可以这样然后我们很多学员学完过后…；用于判断案例信任是否完整,pending_negative_structure_review,案例信任要在促单前归纳意义；开头 8 秒内是否建立观看理由；案例信任 主体结构块证据,needs_content_archetype_route_bridge_tts_alignment_fields,unclear,positive_reference_only,00:00:03.600-00:00:47.960；00:00:00.000-00:00:08.000；00:00:08.000-00:01:00.000,动作专业性、健康表达、业务事实、字幕节奏仍需用户/专业人审
