alias_id,source_alias,normalized_action_id,normalized_action_name_cn,alias_type,source_basis,source_file_ids,normalization_status,review_gate,notes
ALIAS034,防势养生,course_body_position_technique_reference,亲密姿势/体位技巧关键词族,推测_asr_alias_pending_review,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,保留 confidence/review_flag 闸门。
ALIAS035,亲密姿势词族,course_body_position_technique_reference,亲密姿势/体位技巧关键词族,sensitive_keyword_family,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,敏感词族不展开源内操作细节。
ALIAS036,按摩/触碰方法词族,course_touch_or_tool_method_reference,触碰/工具方法关键词族,sensitive_keyword_family,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,敏感词族不展开源内操作细节。
ALIAS037,工具/产品辅助词族,course_touch_or_tool_method_reference,触碰/工具方法关键词族,sensitive_keyword_family,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required; professional_review_required,敏感词族不展开源内操作细节。
ALIAS038,准备动作/场地准备/着装准备,course_preparation_context_reference,准备动作/辅助道具词族,sensitive_context_keyword_family,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required,敏感词族不展开源内操作细节。
ALIAS039,辅助道具/枕头,course_preparation_context_reference,准备动作/辅助道具词族,sensitive_context_keyword_family,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,compliance_review_required; customer_review_required,敏感词族不展开源内操作细节。
ALIAS040,亲密关系,course_relationship_problem_reference,亲密关系/伴侣沟通问题,course_term,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,customer_review_if_business_claim; compliance_review_if_sensitive,保留 confidence/review_flag 闸门。
ALIAS041,伴侣沟通,course_relationship_problem_reference,亲密关系/伴侣沟通问题,course_term_family,source_label_or_keyword_family,SRC13404,ready_for_screening_with_review_gate,customer_review_if_business_claim; compliance_review_if_sensitive,保留 confidence/review_flag 闸门。
ALIAS042,课程,course_product_offer_reference,课程/助理/报名业务词,business_term,source_label_or_keyword_family,SRC13403,ready_for_screening_with_review_gate,customer_review_required; business_fact_review_required,保留 confidence/review_flag 闸门。
ALIAS043,课程助理/专场,course_product_offer_reference,课程/助理/报名业务词,business_term_family,source_label_or_keyword_family,SRC13454,ready_for_screening_with_review_gate,customer_review_required; business_fact_review_required,保留 confidence/review_flag 闸门。
ALIAS044,low_confidence_action_pending_review,unknown_or_unusable_visual_action,低置信/不可用视觉动作,source_label,source_label_or_keyword_family,SRC00057;SRC00341,ready_for_screening_with_review_gate,visual_review_required,保留 confidence/review_flag 闸门。
ALIAS045,slide_or_scene_no_presenter_detected,unknown_or_unusable_visual_action,低置信/不可用视觉动作,source_label,source_label_or_keyword_family,SRC06162;SRC06163;SRC06164;SRC06165;SRC06166;SRC06167;SRC06168;SRC06169;SRC06170;SRC06171;SRC06172;SRC06173;SRC06174;SRC06175;SRC06176;SRC06177;SRC06178,ready_for_screening_with_review_gate,visual_review_required,保留 confidence/review_flag 闸门。
ALIAS046,no_face_detected,unknown_or_unusable_visual_action,低置信/不可用视觉动作,source_status,source_label_or_keyword_family,SRC06162;SRC06163;SRC06164;SRC06165;SRC06166;SRC06167;SRC06168;SRC06169;SRC06170;SRC06171;SRC06172;SRC06173;SRC06174;SRC06175;SRC06176;SRC06177;SRC06178,ready_for_screening_with_review_gate,visual_review_required,保留 confidence/review_flag 闸门。
ALIAS047,ocr_unavailable_need_manual_review,unknown_or_unusable_visual_action,低置信/不可用视觉动作,source_status,source_label_or_keyword_family,SRC00060;SRC00344,ready_for_screening_with_review_gate,visual_review_required,保留 confidence/review_flag 闸门。
