sample_id,source_scope,relative_path,file_name,top_level_group,excluded_by_user_rule,hidden_resource_fork_skipped,parse_basis,matched_existing_video_id,matched_existing_analysis_status,duration_seconds,width,height,fps,audio_present,file_size_mb,metadata_probe_status,title_hook_type,viewer_problem_tags,core_asset_type,inferred_content_archetype,inferred_route_decision,selection_reason_tags,needs_audio_or_multimodal_review,boundary_status
ai_needed_011,AI需要的成片_non_finished,产后漏尿能自己好吗.mp4,产后漏尿能自己好吗.mp4,root,no,no,existing_multimodal_structure_reused,fv_0011,reused_existing_ali_recheck_success_no_new_api_call,117.725,1080,1920,60.000,yes,155.475,metadata_only_probe_passed,question_or_misconception_hook,leakage_embarrassment；postpartum_or_age_group,semantic_explainer_or_misconception,knowledge_explainer,positive_reference_only,ending_naturally_closes；high_pattern_reusability；hook_fulfilled_by_body；leakage_embarrassment；postpartum_or_age_group；risk_pending_not_publish_ready；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_012,AI需要的成片_non_finished,你的小肚子凸可能不是胖.mp4,你的小肚子凸可能不是胖.mp4,root,no,no,existing_multimodal_structure_reused,fv_0012,reused_existing_ali_recheck_success_no_new_api_call,55.519,1080,1920,30.000,yes,49.364,metadata_only_probe_passed,pain_point_hook,belly_core_pressure,result_or_problem_statement,movement_correction,positive_reference_only,belly_core_pressure；ending_naturally_closes；high_pattern_reusability；pain_point_visualized；risk_pending_not_publish_ready；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_013,AI需要的成片_non_finished,先减肥还是先改善漏尿.mp4,先减肥还是先改善漏尿.mp4,root,no,no,existing_multimodal_structure_reused,fv_0013,reused_existing_ali_recheck_success_no_new_api_call,60.534,1080,1920,60.000,yes,80.732,metadata_only_probe_passed,question_or_misconception_hook,leakage_embarrassment,semantic_explainer_or_misconception,problem_solution,positive_reference_only,ending_naturally_closes；high_pattern_reusability；hook_fulfilled_by_body；leakage_embarrassment；risk_pending_not_publish_ready；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_014,AI需要的成片_non_finished,别再疯狂练收紧可能越练越漏尿.mp4,别再疯狂练收紧可能越练越漏尿.mp4,root,no,no,existing_multimodal_structure_reused,fv_0014,reused_existing_ali_recheck_success_no_new_api_call,43.769,1080,1920,60.000,yes,58.422,metadata_only_probe_passed,pain_point_hook,leakage_embarrassment,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；leakage_embarrassment；pain_point_visualized；problem_to_action_bridge_short；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_015,AI需要的成片_non_finished,单纯练凯格尔能改善漏尿吗.mp4,单纯练凯格尔能改善漏尿吗.mp4,root,no,no,existing_multimodal_structure_reused,fv_0015,reused_existing_ali_recheck_success_no_new_api_call,184.134,1080,1920,60.000,yes,241.990,metadata_only_probe_passed,question_or_misconception_hook,leakage_embarrassment,visible_action_or_prop_demo,problem_solution,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hook_fulfilled_by_body；leakage_embarrassment；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_016,AI需要的成片_non_finished,妈妈臀 臀凹陷一个动作饱满臀部.mp4,妈妈臀 臀凹陷一个动作饱满臀部.mp4,root,no,no,existing_multimodal_structure_reused,fv_0016,reused_existing_ali_recheck_success_no_new_api_call,13.305,1080,1920,60.000,yes,18.700,metadata_only_probe_passed,population_callout_hook,hip_glute_shape；postpartum_or_age_group,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；postpartum_or_age_group；problem_to_action_bridge_short；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned；target_audience_called_out,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_017,AI需要的成片_non_finished,已发/30岁的女性练八爪鱼要多久6.2（4）.mp4,30岁的女性练八爪鱼要多久6.2（4）.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0017,reused_existing_ali_recheck_success_no_new_api_call,17.554,1080,1920,30.000,yes,21.865,metadata_only_probe_passed,population_callout_hook,hip_glute_shape；postpartum_or_age_group,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；postpartum_or_age_group；problem_to_action_bridge_short；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned；target_audience_called_out,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_018,AI需要的成片_non_finished,已发/40岁女性练八爪鱼需要多久呢.mp4,40岁女性练八爪鱼需要多久呢.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0018,reused_existing_ali_recheck_success_no_new_api_call,16.881,1080,1920,30.000,yes,21.219,metadata_only_probe_passed,population_callout_hook,hip_glute_shape；postpartum_or_age_group,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；postpartum_or_age_group；problem_to_action_bridge_short；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned；target_audience_called_out,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_019,AI需要的成片_non_finished,已发/40岁女性练出J致的盆底肌需要多久？6.1.mp4,40岁女性练出J致的盆底肌需要多久？6.1.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0019,reused_existing_ali_recheck_success_no_new_api_call,18.506,1080,1920,30.000,yes,22.579,metadata_only_probe_passed,question_or_misconception_hook,pelvic_floor；postpartum_or_age_group,visible_action_or_prop_demo,knowledge_explainer,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hook_fulfilled_by_body；pelvic_floor；postpartum_or_age_group；problem_to_action_bridge_short；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_020,AI需要的成片_non_finished,已发/40岁女性都想拥有灵动蜜桃臀6.15.mp4,40岁女性都想拥有灵动蜜桃臀6.15.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0020,reused_existing_ali_recheck_success_no_new_api_call,18.181,1080,1920,30.000,yes,22.421,metadata_only_probe_passed,population_callout_hook,hip_glute_shape；postpartum_or_age_group,result_or_problem_statement,single_action_tts_teaching,positive_reference_only,ending_naturally_closes；high_pattern_reusability；hip_glute_shape；postpartum_or_age_group；problem_to_action_bridge_short；risk_pending_not_publish_ready；subtitle_and_action_aligned；target_audience_called_out,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_021,AI需要的成片_non_finished,已发/40岁的女性修复盆底肌要多久.mp4,40岁的女性修复盆底肌要多久.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0021,reused_existing_ali_recheck_success_no_new_api_call,18.483,1080,1920,30.000,yes,22.322,metadata_only_probe_passed,population_callout_hook,pelvic_floor；postpartum_or_age_group,result_or_problem_statement,single_action_tts_teaching,positive_reference_only,ending_naturally_closes；high_pattern_reusability；pelvic_floor；postpartum_or_age_group；problem_to_action_bridge_short；risk_pending_not_publish_ready；subtitle_and_action_aligned；target_audience_called_out,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_022,AI需要的成片_non_finished,已发/40岁的女性修复盆底肌要多久？.mp4,40岁的女性修复盆底肌要多久？.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0022,reused_existing_ali_recheck_success_no_new_api_call,18.506,1080,1920,30.000,yes,22.800,metadata_only_probe_passed,question_or_misconception_hook,pelvic_floor；postpartum_or_age_group,result_or_problem_statement,knowledge_explainer,positive_reference_only,ending_naturally_closes；high_pattern_reusability；hook_fulfilled_by_body；pelvic_floor；postpartum_or_age_group；problem_to_action_bridge_short；risk_pending_not_publish_ready；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_023,AI需要的成片_non_finished,已发/40岁的女性练出八爪鱼要多久.mp4,40岁的女性练出八爪鱼要多久.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0023,reused_existing_ali_recheck_success_no_new_api_call,16.811,1080,1920,30.000,yes,20.589,metadata_only_probe_passed,promise_action_hook,hip_glute_shape；postpartum_or_age_group,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；postpartum_or_age_group；problem_to_action_bridge_short；result_promise_front_loaded；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_024,AI需要的成片_non_finished,已发/40岁的女性练出八爪鱼需要多久？.mp4,40岁的女性练出八爪鱼需要多久？.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0024,reused_existing_ali_recheck_success_no_new_api_call,16.811,1080,1920,30.000,yes,20.508,metadata_only_probe_passed,question_or_misconception_hook,hip_glute_shape；postpartum_or_age_group,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；hook_fulfilled_by_body；postpartum_or_age_group；problem_to_action_bridge_short；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_025,AI需要的成片_non_finished,已发/40＋的女性修复盆底肌要多久6.15.mp4,40＋的女性修复盆底肌要多久6.15.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0025,reused_existing_ali_recheck_success_no_new_api_call,18.785,1080,1920,30.000,yes,23.135,metadata_only_probe_passed,population_callout_hook,pelvic_floor；postpartum_or_age_group,result_or_problem_statement,single_action_tts_teaching,positive_reference_only,ending_naturally_closes；high_pattern_reusability；pelvic_floor；postpartum_or_age_group；problem_to_action_bridge_short；risk_pending_not_publish_ready；subtitle_and_action_aligned；target_audience_called_out,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_026,AI需要的成片_non_finished,已发/40＋的姐妹练出紧致的盆底肌.mp4,40＋的姐妹练出紧致的盆底肌.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0026,reused_existing_ali_recheck_success_no_new_api_call,27.051,1080,1920,30.000,yes,32.899,metadata_only_probe_passed,promise_action_hook,pelvic_floor；postpartum_or_age_group,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；pelvic_floor；postpartum_or_age_group；problem_to_action_bridge_short；result_promise_front_loaded；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_027,AI需要的成片_non_finished,已发/5月15日.mp4,5月15日.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0027,reused_existing_ali_recheck_success_no_new_api_call,20.039,1080,1920,30.000,yes,24.542,metadata_only_probe_passed,topic_title_hook,general_body_management,result_or_problem_statement,movement_correction,positive_reference_only,ending_naturally_closes；general_body_management；high_pattern_reusability；problem_to_action_bridge_short；risk_pending_not_publish_ready；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_028,AI需要的成片_non_finished,已发/5月16日.mp4,5月16日.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0028,reused_existing_ali_recheck_success_no_new_api_call,26.145,1080,1920,30.000,yes,32.381,metadata_only_probe_passed,topic_title_hook,general_body_management,result_or_problem_statement,movement_correction,positive_reference_only,ending_naturally_closes；general_body_management；high_pattern_reusability；problem_to_action_bridge_short；risk_pending_not_publish_ready；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_029,AI需要的成片_non_finished,已发/一个动作让你练出紧致的盆底肌.mp4,一个动作让你练出紧致的盆底肌.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0029,reused_existing_ali_recheck_success_no_new_api_call,29.837,1080,1920,30.000,yes,36.385,metadata_only_probe_passed,promise_action_hook,pelvic_floor,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；pelvic_floor；problem_to_action_bridge_short；result_promise_front_loaded；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_030,AI需要的成片_non_finished,已发/一个小球四个动作轻松瘦腰翘臀6.2（2）.mp4,一个小球四个动作轻松瘦腰翘臀6.2（2）.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0030,reused_existing_ali_recheck_success_no_new_api_call,20.619,1080,1920,30.000,yes,25.430,metadata_only_probe_passed,topic_title_hook,pelvic_floor；hip_glute_shape；posture_back_waist,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；pelvic_floor；posture_back_waist；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_031,AI需要的成片_non_finished,已发/一个小球帮你练出少女腹.mp4,一个小球帮你练出少女腹.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0031,reused_existing_ali_recheck_success_no_new_api_call,10.077,1080,1920,30.000,yes,12.669,metadata_only_probe_passed,promise_action_hook,belly_core_pressure,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；belly_core_pressure；ending_naturally_closes；high_pattern_reusability；problem_to_action_bridge_short；result_promise_front_loaded；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_032,AI需要的成片_non_finished,已发/一个瑜伽小球告别小肚腩妈妈臀.mp4,一个瑜伽小球告别小肚腩妈妈臀.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0032,reused_existing_ali_recheck_success_no_new_api_call,15.209,1080,1920,30.000,yes,19.135,metadata_only_probe_passed,promise_action_hook,hip_glute_shape；postpartum_or_age_group,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；postpartum_or_age_group；problem_to_action_bridge_short；result_promise_front_loaded；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_033,AI需要的成片_non_finished,已发/一个瑜伽小球告别臀凹陷6.4.mp4,一个瑜伽小球告别臀凹陷6.4.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0033,reused_existing_ali_recheck_success_no_new_api_call,11.122,1080,1920,30.000,yes,14.065,metadata_only_probe_passed,promise_action_hook,hip_glute_shape,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；problem_to_action_bridge_short；result_promise_front_loaded；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_034,AI需要的成片_non_finished,已发/一个瑜伽小球告别跑跳漏氵尴尬6.3（2）.mp4,一个瑜伽小球告别跑跳漏氵尴尬6.3（2）.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0034,reused_existing_ali_recheck_success_no_new_api_call,20.875,1080,1920,30.000,yes,26.116,metadata_only_probe_passed,pain_point_hook,leakage_embarrassment,visible_action_or_prop_demo,movement_correction,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；leakage_embarrassment；pain_point_visualized；problem_to_action_bridge_short；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_035,AI需要的成片_non_finished,已发/一个瑜伽小球练出灵动的八爪鱼6.1（3）.mp4,一个瑜伽小球练出灵动的八爪鱼6.1（3）.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0035,reused_existing_ali_recheck_success_no_new_api_call,16.974,1080,1920,30.000,yes,20.818,metadata_only_probe_passed,promise_action_hook,hip_glute_shape,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；problem_to_action_bridge_short；result_promise_front_loaded；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_036,AI需要的成片_non_finished,已发/一个瑜伽小球练出灵动的八爪鱼6.8（（3）.mp4,一个瑜伽小球练出灵动的八爪鱼6.8（（3）.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0036,reused_existing_ali_recheck_success_no_new_api_call,31.904,1080,1920,30.000,yes,38.532,metadata_only_probe_passed,promise_action_hook,hip_glute_shape,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；problem_to_action_bridge_short；result_promise_front_loaded；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_037,AI需要的成片_non_finished,已发/一个瑜伽小球练出紧致八爪鱼.mp4,一个瑜伽小球练出紧致八爪鱼.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0037,reused_existing_ali_recheck_success_no_new_api_call,23.173,1080,1920,30.000,yes,28.266,metadata_only_probe_passed,promise_action_hook,hip_glute_shape,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；problem_to_action_bridge_short；result_promise_front_loaded；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_038,AI需要的成片_non_finished,已发/一个瑜伽小球练出美丽的八爪鱼.mp4,一个瑜伽小球练出美丽的八爪鱼.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0038,reused_existing_ali_recheck_success_no_new_api_call,15.069,1080,1920,30.000,yes,18.716,metadata_only_probe_passed,promise_action_hook,hip_glute_shape,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；problem_to_action_bridge_short；result_promise_front_loaded；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_039,AI需要的成片_non_finished,已发/一个瑜伽小球练出美丽的盆底肌6.1（4）.mp4,一个瑜伽小球练出美丽的盆底肌6.1（4）.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0039,reused_existing_ali_recheck_success_no_new_api_call,17.670,1080,1920,30.000,yes,21.855,metadata_only_probe_passed,promise_action_hook,pelvic_floor,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；pelvic_floor；problem_to_action_bridge_short；result_promise_front_loaded；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_040,AI需要的成片_non_finished,已发/一个瑜伽小球练出美丽的马甲线6.2.mp4,一个瑜伽小球练出美丽的马甲线6.2.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0040,reused_existing_ali_recheck_success_no_new_api_call,11.285,1080,1920,30.000,yes,13.769,metadata_only_probe_passed,promise_action_hook,belly_core_pressure,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；belly_core_pressure；ending_naturally_closes；high_pattern_reusability；problem_to_action_bridge_short；result_promise_front_loaded；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_041,AI需要的成片_non_finished,已发/一个瑜伽小球肚子平了臀饱满6.10.mp4,一个瑜伽小球肚子平了臀饱满6.10.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0041,reused_existing_ali_recheck_success_no_new_api_call,15.580,1080,1920,30.000,yes,19.201,metadata_only_probe_passed,topic_title_hook,hip_glute_shape,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；problem_to_action_bridge_short；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
ai_needed_042,AI需要的成片_non_finished,已发/一个瑜伽小球肚子平了臀饱满了6.17.mp4,一个瑜伽小球肚子平了臀饱满了6.17.mp4,已发,no,no,existing_multimodal_structure_reused,fv_0042,reused_existing_ali_recheck_success_no_new_api_call,16.904,1080,1920,30.000,yes,20.934,metadata_only_probe_passed,topic_title_hook,hip_glute_shape,visible_action_or_prop_demo,single_action_tts_teaching,positive_reference_only,action_demo_clearly_visible；ending_naturally_closes；high_pattern_reusability；hip_glute_shape；problem_to_action_bridge_short；risk_pending_not_publish_ready；single_method_easy_to_repackage；subtitle_and_action_aligned,no_existing_analysis_reused,positive_reference_not_publish_validation
