reason_id,sample_id,file_name,parse_basis,why_someone_might_select,first_glance_value,viewer_problem_value,retention_mechanism,visual_value,core_value_carrier,codex_should_learn,content_archetype,route_decision,candidate_status,problem_action_bridge_seconds,native_completeness_score,repackaging_value_score,teachability_score,risk_boundary,confidence
positive_reason_011,ai_needed_011,产后漏尿能自己好吗.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（蜷坐女性+大字标题‘产后漏尿能否自愈’）,leakage_embarrassment；postpartum_or_age_group,口述认知纠偏；体态调整引导,首帧为蜷坐女性+标题‘产后漏尿能否自愈’；后续多帧为红衣女性坐书架前口播，字幕含‘如果说你想’‘你就可以不用管它’‘它突然哪一天它就不漏了’‘但是你没有调整你的体态’‘我想跟所有的姐妹们’‘更有安全感的身体’；画面右上角固定标注‘十五年女性健康行业经验’；底部统一小字‘本内容仅为科普分享，请结合自身情况理性参考’,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,knowledge_explainer,positive_reference_only,pending_user_review,21.19,5,5,3,health_action_risk_pending_professional_review,high
positive_reason_012,ai_needed_012,你的小肚子凸可能不是胖.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000：主讲人单膝跪姿，字幕‘你的小肚子凸可能不是胖’+‘小腹下坠 骨盆前倾 不见啦！’，明确痛点可视化,belly_core_pressure,动作演示；口令；数字计数,画面始终为同一女性在室内垫上示范跪姿侧弓步类动作；字幕反复强调‘左右交替进行 10次一组做3组’及数字计数；首帧突出‘小肚子凸可能不是胖’痛点；中段无明显错误动作单独演示帧，但‘采用跪姿’字样出现在00:00:01.000帧，暗示对常规站姿的修正；结尾无额外讲解或总结性字幕,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,movement_correction,positive_reference_only,pending_user_review,9.993,5,5,5,health_action_risk_pending_professional_review,medium
positive_reason_013,ai_needed_013,先减肥还是先改善漏尿.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（蜷坐女性+标题‘先减肥？还是先改善漏尿？90%的人都选错了’）→00:00:01.000（主讲人出场+字幕‘你是先减肥’）,leakage_embarrassment,原因解释；口令式引导；选择建议,首帧为蜷坐女性+大字标题‘先减肥？还是先改善漏尿？90%的人都选错了’；后续7帧均为同一主讲人坐书架前讲解，字幕依次出现‘你是先减肥’‘但是很多人呢’‘其实是要先进行评估’‘达不到很好的效果的时候’‘减少腹部压力’‘来去选择’‘我也可以给你分析分析’；每帧右上角有竖排小字‘十五年女性健康行业经验’；底部统一标注‘本内容仅为科普分享，请结合自身情况理性参考’,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,problem_solution,positive_reference_only,pending_user_review,10.896,5,4,5,health_action_risk_pending_professional_review,high
positive_reason_014,ai_needed_014,别再疯狂练收紧可能越练越漏尿.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（左侧图：蜷缩抱膝女性+大字幕‘别再疯狂练收紧 可能越练越漏尿’）,leakage_embarrassment,口令强调；动作示意（手势指向）；对比陈述（收紧vs放松）,首帧为蹲坐抱膝女性+红黑警示字幕；后续7帧均为同一女性在书架前讲解，穿红色上衣，配合手势与字幕推进观点；字幕含‘十五年女性健康行业经验’水印；无实际动作演示，仅有手部示意；结尾帧为微笑+‘来找我’字幕,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,1,5,5,5,health_action_risk_pending_professional_review,high
positive_reason_015,ai_needed_015,单纯练凯格尔能改善漏尿吗.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（蹲坐抱膝女性+大字标题‘单纯练凯格尔能改善漏尿吗’）→ 00:00:01.000（主讲人问‘姐妹们你有没有这种情况’）,leakage_embarrassment,口令引导；动作示意；原因解释,首帧为蹲坐抱膝女性+标题提问；后续多帧为主讲人坐书架前讲解，配合手势（握拳、张开、收拢）演示‘收紧’动作；字幕含‘憋不住尿’‘收紧收紧收紧’‘盲目跟练’‘可以参考’等短句；每帧右上角有‘十五年女性健康行业经验’竖排文字；底部统一小字‘本内容仅为科普分享，请结合自身情况理性参考’,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,problem_solution,positive_reference_only,pending_user_review,33.144,5,5,4,health_action_risk_pending_professional_review,high
positive_reason_016,ai_needed_016,妈妈臀 臀凹陷一个动作饱满臀部.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000：主画面背坐椅+粉色球，左下角大字‘妈妈臀 臀凹陷’+‘一个动作饱满臀部’；00:00:01.000：叠加‘每天坚持这个动作 臀饱满了’字幕，右侧出现臀部前后对比图,hip_glute_shape；postpartum_or_age_group,单动作循环演示；图解对比；字幕强化,全程单一坐姿夹球动作循环；画面左下角始终显示‘妈妈臀 臀凹陷 一个动作饱满臀部’；中后段每帧顶部固定字幕‘每天坚持这个动作 臀饱满了’；右侧持续叠加臀部凹陷vs饱满的对比示意图（粉色紧身裤+虚线标注）；无口播文字外的其他字幕；人物始终背对镜头，未转面或说话,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,2.395,3,5,5,health_action_risk_pending_professional_review,high
positive_reason_017,ai_needed_017,30岁的女性练八爪鱼要多久6.2（4）.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（正面坐姿+标题字幕‘30岁的女性 练八爪鱼要多久’）,hip_glute_shape；postpartum_or_age_group,动作演示、口令提示、道具使用说明,画面中女性在不同时间点演示同一动作变体：坐于瑜伽球上做开胯/骨盆调整类姿势；字幕反复出现‘30岁的女性 练八爪鱼要多久’，穿插‘快的一周？’‘现在很多高段位的女性’‘现在练习不需要大几万’‘只需要一个同款瑜伽小球’‘就可以’‘或者评论区留言哦’；背景为居家客厅，无他人出镜；动作幅度小，以静态保持为主,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,1,5,5,4,pending_user_review,high
positive_reason_018,ai_needed_018,40岁女性练八爪鱼需要多久呢.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000：正面坐姿+大字幕‘40岁女性练八爪鱼需要多久呢’；00:00:01.000：背对镜头跪坐，字幕‘40岁女性’强化人群定位,hip_glute_shape；postpartum_or_age_group,动作演示；图解（八爪鱼/盆底肌解剖图）；字幕因果解释,画面共8帧：前2帧为设问+人群定位；第3-4帧展示动作变体与时间承诺；第5-6帧引入盆底肌解剖图与‘偷偷练习’话术；后2帧聚焦收益分层（紧致+抓握力）。字幕持续出现‘传播女性正能量 拒绝焦虑’水印。无口播文字可见，仅字幕与图像信息。动作连续性良好，从坐姿到跪坐、仰卧、侧卧再到开胯，呈现完整动作流程。,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,3.039,5,5,3,health_action_risk_pending_professional_review,high
positive_reason_019,ai_needed_019,40岁女性练出J致的盆底肌需要多久？6.1.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（正面坐姿+大字标题）、00:00:01.000（侧身+‘40岁女人’字幕）,pelvic_floor；postpartum_or_age_group,图解（产后盆底肌vs修复后）、类比图（章鱼触手）、口令式字幕说明,画面始终为同一女性坐于粉色球上，穿运动服；字幕反复出现标题‘40岁女性练出J致的盆底肌需要多久？’；中段插入章鱼图、盆底肌解剖对比图；动作无明显变化，以坐姿配合手势/转体为主；无口播文字转录证据，仅依赖字幕传递信息,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,knowledge_explainer,positive_reference_only,pending_user_review,3.331,5,5,4,health_action_risk_pending_professional_review,high
positive_reason_020,ai_needed_020,40岁女性都想拥有灵动蜜桃臀6.15.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（正面坐姿+主标题）、00:00:01.000（侧坐+‘40岁女性’字幕）,hip_glute_shape；postpartum_or_age_group,单动作演示；口令式字幕引导；前后体态对比；多角度展示,画面始终为同一女性在室内用椅子+瑜伽球做坐姿骨盆激活类动作；字幕重复‘40岁女性都想拥有灵动蜜桃臀’；出现‘快一周’‘其实塑形紧致’‘谁练谁受益’‘因为坚持养护’‘都悄悄逆袭’等结果导向短句；无器械切换、无多人对比、无解剖图示；动作幅度小，以微调骨盆位置为主，包含正面、侧面、背面多个视角展示同一动作,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,3.273,5,5,5,pending_user_review,high
positive_reason_021,ai_needed_021,40岁的女性修复盆底肌要多久.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000：主画面+大字幕‘40岁的女性 修复盆底肌要多久？’，人物坐瑜伽球呈准备态；00:00:01.000：切坐椅姿态，同步口型启动讲解,pelvic_floor；postpartum_or_age_group,动作演示；原因解释；图解（解剖图）；口令式强调,画面始终为同一女性在室内场景中演示坐姿盆底肌训练；字幕依次呈现问题→时间范围→否定误区→年龄无关→坚持必要→解剖示意→动作要点→收益描述；00:00:08.872与00:00:11.829出现小图解剖插图；00:00:14.786起转背对视角演示；无明显剪辑跳帧，但结尾突兀无收尾动作,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,3.327,5,5,4,pending_user_review,high
positive_reason_022,ai_needed_022,40岁的女性修复盆底肌要多久？.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（标题字幕‘40岁的女性修复盆底肌要多久？’+人物正面坐姿，面向镜头）,pelvic_floor；postpartum_or_age_group,图解（盆底肌前后对比）、类比图（章鱼触手）、字幕递进解释,画面中女性始终坐于粉色球上，姿势从正坐→侧坐→背对→跪坐循环；字幕依次呈现问题、时间范围、解剖图对比、章鱼类比、收益描述；无实际动作演示，仅有姿态微调与图示叠加；图示包括‘产后益底肌’与‘修复后益底肌’对比图、章鱼触手类比图；‘益底肌’疑似为‘盆底肌’笔误；章鱼图解未显示具体肌肉运动机制,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,knowledge_explainer,positive_reference_only,pending_user_review,5.922,5,5,3,health_action_risk_pending_professional_review,high
positive_reason_023,ai_needed_023,40岁的女性练出八爪鱼要多久.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000：女主坐姿+大字幕‘40岁的女性 练出八爪鱼要多久’；00:00:01.000：延续标题+左侧竖排‘传播女性正能量 拒绝焦虑’,hip_glute_shape；postpartum_or_age_group,动作演示；图解（盆底肌结构图）；字幕口令（‘抓握力’）,画面主体为40岁左右女性在室内地毯上进行盆底肌相关动作练习；字幕反复出现‘40岁的女性 练出八爪鱼要多久’‘快一周慢两周’‘其实八爪鱼特别好练’‘都在偷偷练习盆底肌’‘抓握力’‘还会有八爪鱼肌’；右上角固定显示章鱼/八爪鱼图像；中段插入两组盆底肌解剖示意图（标注‘正常状态’‘松弛状态’）；左侧竖排文字始终为‘传播女性正能量 拒绝焦虑’,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,3.026,5,5,4,health_action_risk_pending_professional_review,high
positive_reason_024,ai_needed_024,40岁的女性练出八爪鱼需要多久？.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（标题设问+盘坐姿态）→00:00:01.000（同标题+侧坐转体起始）,hip_glute_shape；postpartum_or_age_group,图解（八爪鱼/解剖图对比）；文字归因（都在偷偷练习盆底肌）；动作示意（坐姿骨盆微调）,画面始终为同一女性在室内坐姿演示；字幕反复出现‘40岁的女性练出八爪鱼需要多久？’；中段插入八爪鱼图像与盆底肌解剖图对比；动作从盘坐→椅坐→微调骨盆→背对镜头；无口播文字仅靠字幕传递信息,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,3.026,5,5,3,health_action_risk_pending_professional_review,high
positive_reason_025,ai_needed_025,40＋的女性修复盆底肌要多久6.15.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（正面坐姿+标题字幕‘40+的女性 修复盆底肌要多久’）,pelvic_floor；postpartum_or_age_group,单动作多角度演示；字幕强化时间与收益；体态变化对比暗示,画面中女性在不同体位（坐、跪、侧坐）使用粉色瑜伽球进行盆底肌相关练习；字幕反复出现‘40+的女性’‘修复盆底肌要多久’‘快7天慢半个月’‘真的不用瞎折腾’‘跟年龄大小根本没关系’‘不光能收紧紧致’‘还能找回少女股的包裹感’；无口播文字可见，仅字幕信息；动作连贯但无明显分步拆解,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,3.381,5,5,5,health_action_risk_pending_professional_review,high
positive_reason_026,ai_needed_026,40＋的姐妹练出紧致的盆底肌.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（坐姿+标题字幕‘40+的姐妹 练出紧致的盆底肌’）,pelvic_floor；postpartum_or_age_group,动作演示；文字口令；前后对比图；解剖示意图；行为归因解释,画面含多帧同一女性在不同姿势下使用瑜伽球/椅子做盆底肌训练；字幕含‘40+的姐妹’‘练出紧致的盆底肌’‘左右提臀100次’‘魔力转圈圈100次’‘妈妈臀不见了’‘再也没有了’；插入两组对比图（正常vs松弛盆底肌）与臀部前后对比图；无口播文字仅字幕可见；中段出现‘因为你每天坐在瑜伽球上’作为行为归因，配合解剖图说明机制,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,4.869,5,5,4,health_action_risk_pending_professional_review,high
positive_reason_027,ai_needed_027,5月15日.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（坐姿讲解+大字幕痛点+‘每天练习三组’承诺）,general_body_management,动作演示、对比图解、呼吸口令,画面主体为女性示范者，穿黄绿运动服，在地毯上依次演示四种臀桥变式；每帧含主画面+四小图对比；字幕反复出现‘肚子小了 臀部翘了 胳膊瘦了’‘骨盆核心收紧 呼气向上 吸气向下’；右上角标注‘非医疗保健科普 仅供参考’；无口播文字可见，仅画面与字幕信息,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,movement_correction,positive_reference_only,pending_user_review,1,5,5,5,health_action_risk_pending_professional_review,high
positive_reason_028,ai_needed_028,5月16日.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,"00:00:00.000：坐姿持球+字幕‘只需一个小球 让你告别""小腹婆""’，明确痛点与工具",general_body_management,动作演示；字幕口令；步骤引导,画面中女性依次展示：坐姿引出问题→俯卧持球→耻骨区施压→身体前后滚动→最终俯卧放松；字幕同步提示动作指令与生理效果；全程无口播可见，仅依赖画面与字幕推进；左侧竖排文字‘传播女性正能量 拒绝焦虑’为固定水印,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,movement_correction,positive_reference_only,pending_user_review,1,5,5,5,health_action_risk_pending_professional_review,high
positive_reason_029,ai_needed_029,一个动作让你练出紧致的盆底肌.mp4,existing_multimodal_structure_reused,前序解析显示开头/动作/收束或再包装价值可复用；本轮只反推选片原因，不确认发布。,00:00:00.000（坐姿持球+主标题字幕）与00:00:01.000（躺姿起始准备）构成开头引导段,pelvic_floor,动作演示；呼吸口令；图解对比；步骤分解,画面含主讲人坐姿引入、躺姿分步演示臀桥式（脚跟点地→抬臀→耻骨上提→呼气收紧），叠加字幕提示动作要点；第5帧出现盆底肌‘修复前/后’图示对比；末帧为完成姿态+行动号召字幕；全程顶部固定标题‘一个动作让你练出紧致的盆底肌’，左下角标注‘非医疗保健科普 仅供参考’,visual_action_plus_subtitle_or_tts,学习问题钩子、动作证据、桥接秒数、再包装价值和风险边界如何共同决定是否进池。,single_action_tts_teaching,positive_reference_only,pending_user_review,5.371,5,5,4,pending_user_review,high
