standard_id,standard_name,standard_type,sample_type,pair_id,source_id,video_file_name,start_time,end_time,evidence_summary,evidence_role,confidence,status,notes
OB-02,objection_response 可以用认知误区转讲解,入选标准,正样片,pair_0016,src_scan_0033,如何改善X冷淡？.mp4,00:00:00.000,00:00:18.800,把冷淡问题转为了解和探索身体的路径,支持,中,部分成立,
OB-03,没有解释依据的强结果不算异议回应,排除标准,负样片,pair_0030,src_scan_0064,跑跳漏水尴尬 一个小球告别尴尬.mp4,00:00:01.840,00:00:17.000,只用动作次数推导结果，缺少回应质疑的证据链,反例,高,部分成立,
CA-01,case_trust 需要背景、过程、变化和意义,入选标准,正样片,pair_0004,src_scan_0009,60岁还有夫妻生活是种什么体验.mp4,00:00:05.600,00:01:35.200,学员年龄、关系背景、学习动机、练习后反馈形成案例链,支持,高,已确认,
CA-02,case_trust 可来自群体实践反馈,入选标准,正样片,pair_0029,src_scan_0059,送给男人的礼物丁丁按摩操.mp4,00:00:03.600,00:00:30.640,会员群实践和学员反馈支撑方法兴趣,支持,中,部分成立,
CA-03,case_trust 可用生活场景案例引出判断,入选标准,正样片,pair_0011,src_scan_0023,夫妻感情好不好看床就知道.mp4,00:00:02.040,00:00:28.680,上门观察卧室场景，引出关系判断,支持,中,部分成立,
CV-01,conversion_push 要承接前文再行动提醒,入选标准,正样片,pair_0022,src_scan_0045,男人的床品就是他的人品.mp4,00:00:46.920,00:00:55.240,先完成三点判断，再邀请留言和进入课堂,支持,高,已确认,
CV-02,conversion_push 可以以学习资源收束,入选标准,正样片,pair_0023,src_scan_0047,男性按摩操真的有用吗.mp4,00:00:55.360,00:01:11.400,前文解释后，转到完整视频、学习和实践反馈,支持,高,已确认,
CV-03,conversion_push 不能过早压过解释,排除标准,负样片,pair_0033,src_scan_0063,会跳舞的臀你想拥有吗？.mp4,00:00:00.000,00:00:10.600,全片更像结果口号和动作片段，没有足够铺垫进入转化,反例,中,部分成立,
BR-01,traffic_hook 到 course_teaching 要兑现钩子,桥接规则,正样片,pair_0001,src_scan_0001,10分钟练出紧致 盆底肌.mp4,00:00:00.240,00:00:24.240,开头提出痛点和十分钟承诺，随后立刻进入站位动作,支持,高,已确认,
BR-02,case_trust 到 conversion_push 要用学习承接,桥接规则,正样片,pair_0029,src_scan_0059,送给男人的礼物丁丁按摩操.mp4,00:00:18.760,00:00:47.960,学员实践反馈转到掌握技巧和底层逻辑,支持,中,部分成立,
BR-03,course_teaching 到 conversion_push 要先给价值,桥接规则,正样片,pair_0023,src_scan_0047,男性按摩操真的有用吗.mp4,00:00:53.520,00:01:11.400,讲完价值后再说完整课程和实践,支持,高,已确认,
BR-04,硬切会造成上下文缺失,桥接规则,负样片,pair_0033,src_scan_0063,会跳舞的臀你想拥有吗？.mp4,00:00:00.000,00:00:10.600,动作和结果之间缺少人群、原因、风险边界,反例,中,部分成立,
MCU-01,minimum_complete_unit 要保留问题到解决链,最小完整单元,正样片,pair_0016,src_scan_0033,如何改善X冷淡？.mp4,00:00:00.000,00:00:31.000,改善类内容至少保留问题、原因路径和方法层级,支持,高,已确认,
MCU-02,动作类最小单元不能只剩一句口令,最小完整单元,正样片,pair_0001,src_scan_0001,10分钟练出紧致 盆底肌.mp4,00:00:19.360,00:01:10.000,站位、动作方向、感受提示、呼吸提示要连在一起,支持,高,已确认,
MCU-03,单点清单需要标记 single_point_only 风险,最小完整单元,正样片,pair_0026,src_scan_0053,胖乎乎的女人男人都喜欢.mp4,00:00:00.000,00:00:07.129,一个句群只给偏好和理由，缺少完整解释链,对照,中,待人工复核,
NEG-01,hook_unfulfilled,失败类型,负样片,pair_0033,src_scan_0063,会跳舞的臀你想拥有吗？.mp4,00:00:00.000,00:00:10.600,钩子指向结果，但后续没有足够解释和边界,反例,中,部分成立,
NEG-02,structure_incomplete,失败类型,负样片,pair_0030,src_scan_0064,跑跳漏水尴尬 一个小球告别尴尬.mp4,00:00:00.000,00:00:24.280,动作、次数、结果重复出现，但结构停在单点动作,反例,高,部分成立,
NEG-03,transition_break,失败类型,负样片,pair_0030,src_scan_0064,跑跳漏水尴尬 一个小球告别尴尬.mp4,00:00:03.840,00:00:18.880,多次“又一个”并列，缺少递进和承接解释,反例,高,部分成立,
NEG-04,context_missing,失败类型,负样片,pair_0033,src_scan_0063,会跳舞的臀你想拥有吗？.mp4,00:00:01.640,00:00:08.320,不知道适合谁、怎么做、注意什么,反例,中,部分成立,
NEG-05,hard_sell_too_early,失败类型,正样片,pair_0032,src_scan_0004,30岁的女性练八爪鱼要多久.mp4,00:00:08.200,00:00:12.100,工具出现较早，需依赖前后解释避免像硬推,待复核,中,待人工复核,
NEG-06,proof_missing,失败类型,负样片,pair_0033,src_scan_0063,会跳舞的臀你想拥有吗？.mp4,00:00:05.600,00:00:10.600,结果表达缺少案例、机制或过程支撑,反例,中,部分成立,
NEG-07,risk_overclaim,失败类型,负样片,pair_0030,src_scan_0064,跑跳漏水尴尬 一个小球告别尴尬.mp4,00:00:01.840,00:00:24.280,多处确定性结果表达需业务和合规复核,反例,高,待人工复核,
NEG-08,single_point_only,失败类型,正样片,pair_0026,src_scan_0053,胖乎乎的女人男人都喜欢.mp4,00:00:00.000,00:00:07.129,一个观点短句可做钩子，但不能直接当完整标准,对照,中,待人工复核,
NEG-09,visual_or_text_mismatch_pending,失败类型,负样片,pair_0033,src_scan_0063,会跳舞的臀你想拥有吗？.mp4,00:00:00.000,00:00:10.600,动作类文本必须回看画面验证动作匹配,待复核,高,待人工复核,
UNM-01,unmapped_clip 防止强行映射,排除标准,负样片,pair_0031,src_scan_0067,高段位女性都在练习八爪鱼.mp4,00:00:09.180,00:00:15.680,英文音乐歌词与五结构文本目标不匹配,反例,高,已确认,
RISK-01,高转化表达必须人工复核,风险规则,正样片,pair_0004,src_scan_0009,60岁还有夫妻生活是种什么体验.mp4,00:02:20.680,00:02:31.440,规模和效果类表达需要客户或业务事实确认,待复核,高,待人工复核,
