rule_id,trigger_type,trigger_detail,sample_count,required_middle_delivery,allowed_ending_styles,start_boundary_advice,end_boundary_advice,must_have_evidence,discard_if,example_video_ids,manual_review_note
ali_fgr_011,人群点名,再懒也要练,1,动作演示,动作完成定格,从00:00:00.000（坐姿标题帧）开始，保留前2秒完整引入,截至于00:00:15.602（最终定格微笑帧），不延伸黑场,00:00:02.871（动作一演示）、00:00:05.105（动作二）、00:00:07.657（动作三）、00:00:10.209（动作四起始）、00:00:12.762（动作四中段）：每帧对应明确动作编号+计数说明,若字幕中‘越练越致’被认定为医疗效果暗示且无法加免责声明，则应放弃,fv_0097,健康/动作/业务承诺仍需人工复核
ali_fgr_012,人群点名,妈妈臀不见了,1,动作演示,动作完成态展示,从00:00:00.000开始，保留首帧标题字幕与人物坐姿定格,截至于00:00:26.701（最后一帧‘再也没有了’画面），避免后续黑场或冗余帧,00:00:04.869（坐椅提臀动作+字幕‘左右提臀100次’）、00:00:08.656（侧坐转圈+字幕‘魔力转圈圈100次’）、00:00:12.984（臀部对比图+‘所以你的妈妈臀不见了’）、00:00:17.313（解剖图+‘正常的盆底肌’与‘松弛的盆底肌’）,若字幕中‘妈妈臀不见了’‘再也没有了’等绝对化效果承诺无法加医学免责声明，则应放弃用于公开传播,fv_0026,健康/动作/业务承诺仍需人工复核
ali_fgr_013,人群点名,小肚子,1,动作演示,动作完成,从00:00:00.000开始，保留首帧完整字幕+背对起始姿态,截至00:00:11.399，避免拖尾静帧；若需强化收束可微加0.3s淡出,00:00:03.760–00:00:09.399：连续四帧展示同一动作循环（坐姿骨盆卷动/凯格尔类动作），髋部抬升-回落-再抬升，手扶椅背稳定，腰腹收紧可见；第00:00:07.519帧转为正面半身，双手置于骨盆前侧示意发力点,当出现医疗术语误用（如将凯格尔动作等同于‘练臀’）、或字幕承诺与动作明显不符时应放弃,fv_0002,健康/动作/业务承诺仍需人工复核
ali_fgr_014,人群点名,小肚腩,1,动作演示,结果重申,从00:00:00.000开始，保留首帧主讲人正面坐姿+标题字幕，确保痛点词‘小肚腩妈妈臀’完整呈现,截至00:00:14.859前0.5s（即约00:00:14.3），避免结尾空镜感过强；若音频有收尾语句，需对齐最后一句落音,00:00:02.738–00:00:12.167：连续多帧同一坐姿动作（坐椅+手扶膝/握杆），字幕重复‘核心肌群越来越有力量 腹平了 腰细了 臀翘了 40+女性都去练’，辅以臀部/腹部局部图与图标,若字幕中‘腹平了/腰细了/臀翘了’无任何限定条件（如‘配合饮食’‘持续4周以上’），且无免责声明，则因健康承诺越界应放弃,fv_0032,健康/动作/业务承诺仍需人工复核
ali_fgr_015,人群点名,小腹慢慢变平坦,1,动作演示,结果重申,从00:00:00.000开始，保留‘千万别划走’+‘宝妈必看’双标题帧,截至00:00:37.870（‘通通消失’对比图帧），避免后续可能黑屏或冗余,00:00:06.880（侧坐持球）、00:00:12.230（跪坐）、00:00:18.346（背对坐球）、00:00:24.461（插入前后臀部对比图）,若无真实对比数据支撑‘通通消失’类绝对化表述，或动作与骨盆/腹直肌分离无明确医学关联时应放弃,fv_0098,健康/动作/业务承诺仍需人工复核
ali_fgr_016,人群点名,漏尿松弛,1,动作演示,动作完成,从00:00:00.000开始，保留主讲人正面镜头及首行大字幕,截至00:00:10.261动作定格帧，避免后续黑场或静帧,00:00:00.849–00:00:08.489（连续展示两组动作：提臀×2对应‘漏尿松弛’，震颤×2对应‘高张疼痛’与‘盆底Jz’；每组动作均配黄色大字幕标注问题+动作+次数；右侧小字竖排‘本方法为辅助改善方式’）,若字幕‘100次’未加‘建议循序渐进’等缓冲提示，或无禁忌说明，则存在健康风险应弃用,fv_0001,健康/动作/业务承诺仍需人工复核
ali_fgr_017,人群点名,盆底肌误区,1,口述归因,互动引导,从00:00:00.000标题帧开始，保留00:00:01.000主讲人第一句口播作为声音锚点,截至于00:01:05.432‘评论区留言’帧，避免后续黑场或冗余静帧,00:00:11.841（训练的过程当中）→ 00:00:21.050（当你肩颈劳损的时候）→ 00:00:31.575（你会感觉很堵塞）→ 00:00:42.100（你会发现你的盆底肌）→ 00:00:52.626（松在我这里真的是）,若字幕中‘松’‘堵’等词未加医学限定说明，或无专业资质背书画面支撑，应放弃用于医疗类平台分发,fv_0009,健康/动作/业务承诺仍需人工复核
ali_fgr_018,人群点名,练八爪鱼要多久,1,动作演示、口令提示、道具使用说明,轻行动（评论区留言）、道具复用提示,从00:00:00.000开始，保留首帧完整标题字幕与人物正面入镜,截至于00:00:17.204，确保‘或者评论区留言哦’字幕完整可见,00:00:01.000至00:00:14.043（连续多角度演示坐姿+瑜伽球使用，含‘30加的女性’‘快的一周？’‘只需要一个同款瑜伽小球’等字幕）,若实际口播存在明确医学效果承诺（如‘矫正骨盆前倾’‘治疗假胯宽’）或未标注‘效果因人而异’等免责声明,fv_0017,健康/动作/业务承诺仍需人工复核
ali_fgr_019,人群点名,练出J致的盆底肌需要多久？,1,图解（产后盆底肌vs修复后）、类比图（章鱼触手）、口令式字幕说明,结果重申+价值收束,从00:00:00.000开始，保留标题帧与首句人群点名帧,截至于00:00:18.156（最后一句收益字幕完整呈现时）,00:00:03.331（‘快7天慢半个月’）、00:00:05.922（‘真的不用瞎折腾’）、00:00:08.883（章鱼图+‘根本没关系’）、00:00:11.844（对比图+‘都在悄悄坚持练盆底肌’）、00:00:14.805（章鱼图+‘不光能收紧紧致’）,若无真实动作演示支撑‘练出’过程，或医学图解来源不明、章鱼类比引发歧义时应放弃,fv_0019,健康/动作/业务承诺仍需人工复核
ali_fgr_020,人群点名,练出八爪鱼要多久,1,动作演示,结果重申,从00:00:00.000（坐姿标题帧）开始，保留完整标题字幕与人物正面亮相,截至于00:00:16.461（侧卧+‘抓握力’字幕帧），避免后续可能存在的黑场或冗余收尾,00:00:03.026至00:00:13.449：连续四帧展示跪姿→猫牛式→侧卧位动作变化，叠加盆底肌图解与‘偷偷练习盆底肌’‘抓握力’等字幕,若实际口播含‘治疗’‘治愈’‘医疗效果’等词，或动作涉及骨盆过度内旋/膝超伸风险未提示时应放弃,fv_0023,健康/动作/业务承诺仍需人工复核
ali_fgr_021,人群点名,蜜桃臀不灵动,1,单动作演示,价值收束,从00:00:00.000开始，保留首帧完整构图与主标题字幕,截至00:00:17.831，确保‘都悄悄逆袭’字幕完整显示且人物姿态稳定,00:00:03.273（后视坐姿+‘快一周’）、00:00:05.818（后视抬臀+‘其实塑形紧致’）、00:00:08.727（侧视+‘根本不分年龄’）、00:00:11.636（侧视+‘中年女性为什么通透又高级的’）,若字幕存在‘治疗’‘矫正’‘治愈’等医疗宣称，或动作涉及脊柱大幅扭转/负重，应放弃,fv_0020,健康/动作/业务承诺仍需人工复核
ali_fgr_022,人群点名,越练越紧,1,动作演示、口令节奏暗示（通过重复帧位变化）,动作完成+视觉定格,从00:00:00.000开始，保留首帧完整字幕+背影构图,截至00:00:11.863动作定格帧，避免后续黑场或冗余静止,00:00:03.908–00:00:09.770：多组重复动作序列（坐姿扭转→回正→侧展→跪坐调整），帧间动作幅度递进但无新步骤，属循环式演示,若字幕‘越练越紧’无配套医学依据说明或动作目标部位标注，存在误导风险时应放弃,fv_0004,健康/动作/业务承诺仍需人工复核
ali_fgr_023,痛点可视化,P底松垮,1,动作演示,结果重申,从00:00:00.000开始，保留主讲人坐姿+核心标题字幕帧,截至00:00:15.788动作定格帧，避免后续黑场或冗余静帧,00:00:02.905–00:00:12.910：连续四帧展示不同体位动作（仰卧夹球、侧卧抬腿、跪姿后抬、四足支撑），每帧含相同字幕与八爪鱼图解,若无法提供动作安全性说明或医学背书，且字幕持续使用‘Q弹’‘八爪鱼’等拟物化效果承诺时应放弃,fv_0091,健康/动作/业务承诺仍需人工复核
ali_fgr_024,痛点可视化,Z宫下垂,1,动作演示,数字计数强化,从00:00:00.000开始，保留首帧痛点字幕+人物准备位，不裁前导黑场,截至于00:01:19.225倒计时最后一帧，确保‘一’字完整显示且动作未松懈,00:00:14.323：右侧出现子宫解剖对比图（正常结构/子宫脱垂）+字幕‘可以很好的帮我们’；00:00:25.464：同图示持续+字幕‘配合我们的呼吸’；00:00:38.196：字幕‘吸气放松’+动作保持；00:00:50.928：字幕‘呼气’+动作维持；00:01:03.660：字幕‘卷尾骨收会阴’+动作顶峰,若解剖图示被证实存在医学误导（如将‘子宫脱垂’简化为仅靠臀桥可逆），或无医疗免责声明,fv_0010,健康/动作/业务承诺仍需人工复核
ali_fgr_025,痛点可视化,一分钟握力测试多少次才算及格呢,1,动作演示、口令引导、手机计时展示、阈值数字提示,轻行动、风险提醒,从00:00:00.000字幕完整出现起始（含前0.5s黑场可裁）,止于00:02:01.394‘赶紧练起来’字幕完全呈现后1秒内（避免拖尾空镜）,00:00:27.314（坐球讲解）、00:00:48.557（持手机计时）、00:01:12.836（口述‘如果你低于了80次’）,若实际测试未真实计时、或80次标准无权威依据且字幕未标注‘参考值’等限定词,fv_0044,健康/动作/业务承诺仍需人工复核
ali_fgr_026,痛点可视化,一咳嗽就失控,1,动作演示,轻行动,从00:00:00.000开始，保留前2秒完整痛点字幕画面,截至于00:00:47.785‘你们就练它’帧后0.5秒内，避免拖尾空镜,00:00:08.664（骨盆前倾标注）、00:00:15.403（耻骨下压箭头）、00:00:23.105（盆底肌上收箭头）、00:00:30.806（呼气收紧上提）、00:00:38.508（前后摆动+收放口令）形成分步动作链,若后续帧显示未标注医学禁忌人群（如产后6周内、盆腔器官脱垂患者），或字幕出现‘治愈’‘根除’等绝对化承诺词，则应放弃,fv_0045,健康/动作/业务承诺仍需人工复核
ali_fgr_027,痛点可视化,一定很紧致 那么你的盆底肌,1,动作演示,趣味强化,从00:00:00.000开始，保留首帧坐球正面镜头+主标题字幕,截至于00:00:17.994卡通图帧，确保‘尴尬问题也没有了’字幕完整呈现,00:00:03.302（提臀100次）、00:00:05.870（前后移动）、00:00:08.805（盆底肌对比图+‘一定很紧致’）、00:00:11.740（上下拍打100次）构成分步动作+图解核心段,若解剖图无来源标注或口播未声明‘非医疗建议’，则因健康边界风险应放弃,fv_0087,健康/动作/业务承诺仍需人工复核
ali_fgr_028,痛点可视化,不小心坐小球上,1,动作演示,结果重申,从00:00:00.000开始，保留标题帧与首动作帧（00:00:01.000），避免跳过痛点建立,截止于00:00:20.269卡通帧，确保‘尴尬没有了’字幕完整呈现，不可截断在00:00:16.495,00:00:06.598（椅坐小球）、00:00:09.897（侧坐+盆底肌对比图）、00:00:13.196（后视+骨盆带图示）为分步动作与图解核心段,若解剖图被误标为医疗建议、或无‘仅供参考’水印，则应放弃,fv_0030,健康/动作/业务承诺仍需人工复核
ali_fgr_029,痛点可视化,产后假跨宽,1,动作演示,结果重申,从00:00:00.000开始，保留首帧完整字幕与坐姿定格，确保痛点呈现清晰,截至00:00:26.283微笑帧，避免后续可能的黑屏或冗余内容,00:00:04.794（脚心相对）、00:00:08.523（拉向你的会Y处）、00:00:12.784（吸气向下打开呼气收）、00:00:17.045（感受髋部向内挤压）,若无明确禁忌说明或医学背书，且‘越练越紧’被用于暗示骨性改变而非肌肉激活时应放弃；‘会Y处’若为‘会阴’笔误且未修正则存在误导风险,fv_0049,健康/动作/业务承诺仍需人工复核
ali_fgr_030,痛点可视化,产后小腹下垂,1,动作演示,动作完成,从00:00:00.000开始，保留首帧完整坐姿+标题，不裁前0.5秒黑场,截止于00:01:13.118‘放松’帧，确保该帧完整呈现2秒以上,00:00:13.224（小腹下垂图解+持球准备）、00:00:23.510（双脚打开与肩部同宽）、00:00:35.265（呼气收紧上提）、00:00:47.020（把臀部向两边打开）、00:00:58.774（收放-收放口令）、00:01:13.118（放松）,若实际视频中存在医疗效果承诺语句（如‘治愈’‘恢复如初’）或未标注‘仅供参考’的健康断言，则应放弃,fv_0050,健康/动作/业务承诺仍需人工复核
ali_fgr_031,痛点可视化,产后尴尬漏尿,1,动作演示,结果重申,从00:00:00.000开始，保留首帧完整字幕与人物正面入镜,截至于00:00:22.498，确保‘再也没有了’字幕完整显示且人物保持最终姿势,00:00:04.113（侧背视角+‘你的小肚腩’字幕+腹部特写插图）、00:00:10.967（盆底肌对比图+‘产后盆底肌/修复后盆底肌’标签）、00:00:14.623（‘上下拍击100次’口令）,若插图无医学出处标注或动作无实际生理依据支撑，应放弃,fv_0054,健康/动作/业务承诺仍需人工复核
ali_fgr_032,痛点可视化,产后尴尬漏气,1,动作演示,结果重申,从00:00:00.000开始，保留主讲人正面坐球+大标题字幕帧作为起始,截至于00:00:18.017（‘也没有了’帧），避免后续可能存在的黑场或冗余尾帧,00:00:01.000（侧坐椅+球，字幕‘因为你每天坐到这个球上’）、00:00:03.306（前后移动，字幕‘然后前后前后移动100次’）、00:00:05.877（左右移动，字幕‘因为你每天这样左右’）、00:00:08.816（腹部对比图+字幕‘所以你的小腹一定很平坦’）、00:00:11.755（盆底肌解剖图+字幕‘盆底肌一定很健康’）、00:00:14.694（上下拍打动作+字幕‘上下拍打100次’）,若字幕中‘一定很平坦’‘一定很健康’等绝对化表述无法修改，或解剖图无来源标注，则应放弃用于医疗相关平台发布,fv_0052,健康/动作/业务承诺仍需人工复核
ali_fgr_033,痛点可视化,产后尴尬漏氵,1,动作演示,结果重申,从00:00:00.000开始，保留坐姿引题帧，避免跳过首帧痛点字幕,截至00:01:01.972‘练好盆底肌’帧，后续若无新信息可不延伸,00:00:11.218（脚后跟着地）、00:00:19.943（收盆底收会Y）、00:00:29.915（注意：都是大腿在用力）、00:00:39.886（盆底收紧）、00:00:49.858（一定要把它关上）,若视频中出现未经医学背书的疗效断言（如‘治愈漏尿’）、或动作与字幕严重不符（如演示屈膝抬臀却标‘收会Y’但骨盆未稳定）,fv_0051,健康/动作/业务承诺仍需人工复核
ali_fgr_034,痛点可视化,产后扁平臀,1,动作演示,结果重申,从00:00:00.000开始，保留坐姿开场+字幕完整帧,截至00:00:19.735，确保‘也能练出圆润蜜桃臀’字幕完整显示,00:00:01.000（跪姿夹球）、00:00:03.615（四足位夹球+侧面臀线字幕）、00:00:06.427（跪姿臀部夹球100次）、00:00:09.641（前后对比图+‘全都消下去’）、00:00:12.854（仰卧夹球）、00:00:16.068（侧身夹球100次）,若无真实对比图证据或动作执行变形严重（如骨盆代偿明显），应放弃,fv_0053,健康/动作/业务承诺仍需人工复核
ali_fgr_035,痛点可视化,产后漏尿,1,口述认知纠偏,价值收束,从00:00:00.000开始，保留蜷坐画面+标题3秒以上,截止于00:01:57.375微笑帧，确保‘更有安全感的身体’字幕完整呈现2秒+,00:00:21.190至00:01:34.180（连续口播帧：‘如果说你想’‘你就可以不用管它’‘它突然哪一天它就不漏了’‘但是你没有调整你的体态’‘我想跟所有的姐妹们’）,若口播中出现‘肯定能好’‘100%恢复’等绝对化承诺，或无‘请结合自身情况理性参考’免责声明,fv_0011,健康/动作/业务承诺仍需人工复核
ali_fgr_036,痛点可视化,产后漏水,1,动作演示,结果重申,从00:00:00.000开始，保留首帧完整字幕与人物正面入镜,截至00:00:25.122卡通图定格帧，确保‘漏尿尴尬也没有啦’字幕完整显示,00:00:04.585：前后移动100次动作；00:00:08.151：坐球特写+字幕‘又不小心坐到这个球上’；00:00:12.227：小腹对比图（平坦 vs 松弛）；00:00:16.302：盆底肌解剖示意图；00:00:20.378：上下拍击100次动作,若无‘非医疗保健科普 仅供参考’水印或字幕缺失，或动作演示中出现明确医疗术语/疗效断言（如‘治愈’‘根治’），应放弃,fv_0055,健康/动作/业务承诺仍需人工复核
ali_fgr_037,痛点可视化,产后盆底高张,1,动作演示,结果重申,从00:00:00.000开始，保留标题字幕与初始坐姿，剔除前0.5秒黑场（若存在）,截至于00:00:21.198帧后0.5秒内，确保‘有没有变得更加轻松’字幕完整显示且人物表情自然结束,00:00:03.879（双脚脚心相对准备）、00:00:06.895（拉向会Y动作）、00:00:10.343（维持姿势）、00:00:13.791（持续保持）、00:00:17.238（连续做2分钟提示）,若动作演示中出现骨盆明显代偿、腰椎过度前凸或呼吸紊乱等风险体态，或字幕含‘治愈’‘根治’等绝对化表述,fv_0056,健康/动作/业务承诺仍需人工复核
ali_fgr_038,痛点可视化,产后膨出脱垂,1,动作演示,动作完成,从00:00:00.000开始，保留主标题字幕完整呈现（至少1.5秒）,截至于00:01:13.698帧后0.5秒内，确保‘都做这个动作’字幕完整可见且人物表情自然收束,00:00:13.329（‘坐久了’字幕+抱球坐姿）；00:00:23.695（‘放松我们的腹部’+侧身跪姿）；00:00:35.543（‘呼气收紧’+前倾收腹动作）；00:00:47.391（‘收盆底提耻骨’+侧视讲解）；00:00:59.238（‘放松’+回正姿态）；00:01:13.698（‘都做这个动作’+正面微笑收尾）,若实际成片中缺失‘仅供参考’免责声明字幕，或出现‘治愈’‘根治’等绝对化疗效表述，则应放弃,fv_0057,健康/动作/业务承诺仍需人工复核
ali_fgr_039,痛点可视化,会跳舞的臀你想拥有吗？,1,动作演示、字幕功效说明、道具辅助（瑜伽球/砖）,价值收束+轻行动暗示,从00:00:00.000字幕完整出现起切（避免前0.2s黑场）,截至00:00:10.284字幕‘由内而外改善身材比例’完全呈现后0.3s（确保结尾句完整）,00:00:00.851–00:00:06.806（椅式→跪姿→四足位动作序列，配功效字幕）,若字幕出现‘治疗’‘矫正’‘治愈’等越界词，或动作含高风险脊柱扭转/负重，应放弃,fv_0061,健康/动作/业务承诺仍需人工复核
ali_fgr_040,痛点可视化,你以为你在练盆底肌,1,动作演示,行动号召,从00:00:00.000开始，保留坐姿引题帧，确保字幕完整露出,截至于00:00:31.902‘赶紧动起来吧’字幕完全呈现后0.5秒内，避免留黑,00:00:05.805（手按腹部+红圈标注）、00:00:10.321（脚尖点地）、00:00:15.481（带箭头‘带动’示意）、00:00:20.641（骨盆上抬动作）呈现连续动作流，无分步编号但有视觉引导序列,若实际口播内容与字幕逻辑矛盾（如强调需多动作组合），或出现医疗效果承诺（如‘治愈漏尿’），应放弃,fv_0068,健康/动作/业务承诺仍需人工复核
ali_fgr_041,痛点可视化,修复盆底肌要多久？,1,动作演示,结果重申,从00:00:00.000开始保留完整标题帧，确保问题字幕清晰可见,建议截至00:00:18.133前0.5秒，或补0.5秒静止收尾帧避免突兀结束,00:00:03.327：字幕‘快7天慢半个月’+手势强调；00:00:05.915：字幕‘真的不用瞎折腾’；00:00:08.872：左下角出现解剖图+字幕‘跟年龄大小根本没关系’；00:00:11.829：双图并列（肌肉收缩示意图+文字‘都在悄悄坚持练盆底肌’）；00:00:14.786：背对镜头演示坐姿收紧动作,若解剖图无医学审核依据，或‘少女般包裹感’等表述无法提供临床支持证据时应放弃,fv_0021,健康/动作/业务承诺仍需人工复核
ali_fgr_042,痛点可视化,停水停电,1,动作演示,结果重申,从00:00:00.000开始，保留前2秒完整痛点字幕+坐姿画面,截至00:01:02.948微笑定格帧，避免后续黑场或无关内容,00:00:11.394（持球指腹示意）→ 00:00:20.255（‘大家跟我一起做起来’口令+起始动作）→ 00:00:30.383（‘找到盆底肌握球的感觉’）→ 00:00:40.511（‘收放-收放’节奏口令）→ 00:00:50.638（‘不是用屁股去做’纠正提示）,若实际口播含‘治疗尿失禁’‘治愈盆腔器官脱垂’等医疗宣称，应放弃,fv_0063,健康/动作/业务承诺仍需人工复核
ali_fgr_043,痛点可视化,先减肥还是先改善漏尿？,1,原因解释,轻行动,从00:00:00.000开始，保留蜷坐画面+标题字幕至少1.2秒，确保痛点视觉冲击成立,截止于00:01:00.184微笑帧，避免拖尾静帧；若音频延续，需补空镜或淡出,00:00:10.896（‘但是很多人呢’）→00:00:19.371（‘其实是要先进行评估’）→00:00:29.056（‘达不到很好的效果的时候’）→00:00:38.742（‘减少腹部压力’）→00:00:48.427（‘来去选择’）,若无‘请结合自身情况理性参考’免责声明，或字幕出现‘治愈’‘根治’等医疗承诺词,fv_0013,健康/动作/业务承诺仍需人工复核
ali_fgr_044,痛点可视化,八爪鱼越练越紧,1,呼吸口令、坐姿动作演示、图解对比,动作完成+呼吸收束,从00:00:00.000开始，保留首帧‘八爪鱼越练越紧’强视觉钩子,截至00:00:13.791（最后一帧手放膝、口令完整呈现），避免后续可能的静止黑场,00:00:01.000–00:00:09.050（连续4帧展示吸气/呼气口令+手部动作变化+图解同步）,若图解医学准确性存疑（如盆底肌形态示意错误）或无明确禁忌提示时应放弃,fv_0006,健康/动作/业务承诺仍需人工复核
ali_fgr_045,痛点可视化,内脏下垂不见了,1,动作演示,轻行动,从00:00:00.000开始，保留坐姿持球+主标题帧作为起始,截至于00:00:42.584‘赶紧做起来吧’帧后0.5秒内，避免拖尾空镜,00:00:07.728（躺姿举球）、00:00:13.739（屈膝抬臀+字幕‘吸气骨盆放松’）、00:00:20.608（臀桥位+红色箭头标注）、00:00:27.478（维持臀桥）、00:00:34.347（微调姿势）,若无‘非医疗保健科普 仅供参考’免责声明，或字幕出现‘治愈’‘根治’等词，应放弃,fv_0079,健康/动作/业务承诺仍需人工复核
ali_fgr_046,痛点可视化,前壁膨出,1,动作演示,状态确认+价值收束,从00:00:00.000开始，保留‘前壁膨出 一个小球帮你改变’字幕帧作为起始锚点,截至于00:00:44.255‘盆底肌的状态’帧，避免后续可能存在的冗余收尾,00:00:01.000（手部动作示范）、00:00:08.029（双脚下开）、00:00:14.274（前后活动）、00:00:21.410（耻骨上提箭头）、00:00:28.547（找感觉口令）、00:00:35.684（耻骨上提动作）,若视频中无明确医学免责声明，或小球使用方式存在骨盆过度代偿风险（如腰椎代偿屈伸），应放弃,fv_0064,健康/动作/业务承诺仍需人工复核
ali_fgr_047,痛点可视化,口子闭合不上,1,动作演示,轻行动,从00:00:00.000开始，保留‘口子闭合不上’字幕完整呈现,截至00:00:47.831动作收势帧，避免黑场或冗余静帧,00:00:08.673（双手合十示意）、00:00:15.418（手放盆底区）、00:00:23.127（左右-左右口令）、00:00:30.836（按摩盆底肌动作）,若无明确禁忌提示（如经期、术后禁练）且字幕出现‘治愈’‘根治’等词应放弃,fv_0065,健康/动作/业务承诺仍需人工复核
