source_file_id,source_path,usefulness_grade,source_role,file_size_mb,row_count_if_table,has_sensitive_sample,copy_decision,decision_reason
SRC06164,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0200_0299_action_alignment.jsonl,A,动作核心表,51.867,>10000,no,extract_rows,行数超过 10000；体积超过 10MB
SRC06165,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0300_0399_action_alignment.jsonl,A,动作核心表,140.653,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06166,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0400_0499_action_alignment.jsonl,A,动作核心表,36.845,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06167,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0500_0599_action_alignment.jsonl,A,动作核心表,242.325,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06168,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0600_0699_action_alignment.jsonl,A,动作核心表,355.209,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06169,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0700_0799_action_alignment.jsonl,A,动作核心表,423.929,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06170,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0800_0899_action_alignment.jsonl,A,动作核心表,254.817,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06171,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_0900_0999_action_alignment.jsonl,A,动作核心表,283.761,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06172,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_1000_1099_action_alignment.jsonl,A,动作核心表,81.261,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06173,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_1100_1199_action_alignment.jsonl,A,动作核心表,433.293,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06174,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_1200_1299_action_alignment.jsonl,A,动作核心表,456.414,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06175,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_1300_1399_action_alignment.jsonl,A,动作核心表,436.414,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06176,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_1400_1499_action_alignment.jsonl,A,动作核心表,585.328,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06177,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_1500_1599_action_alignment.jsonl,A,动作核心表,581.488,>10000,no,extract_rows,行数超过 10000；体积超过 10MB
SRC06178,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/sentence_action_shards/lessons_1600_1699_action_alignment.jsonl,A,动作核心表,46.560,>10000,no,extract_rows,行数超过 10000；体积超过 10MB
SRC06198,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/transcript_timeline.jsonl,A,动作核心 JSONL,1319.879,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC06199,神经数字人逐句动作解析工作区_neural_avatar_sentence_action_workspace_20260703_181956/data/tri_alignment.jsonl,A,动作核心 JSONL,1491.521,>10000,yes,extract_rows,行数超过 10000；体积超过 10MB
SRC13403,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/08_关键词术语表_terms_glossary.csv,B,课程文本上下文,0.470,3373,yes,extract_rows,课程文本命中敏感词，仅保留高层摘录
SRC13404,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/09_问题_答案_异议_回应_QA_objection_response_bank.csv,B,课程文本上下文,9.212,>10000,yes,extract_rows,行数超过 10000；课程文本命中敏感词，仅保留高层摘录
SRC13405,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/10_适合迁入直播项目的桥接字段_live_project_bridge_fields.md,B,课程文本上下文,0.096,,yes,extract_summary,Markdown 命中敏感成人亲密关系内容，只生成高层摘要摘录。
SRC13454,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/knowledge_points.csv,B,课程文本上下文,9.608,>10000,yes,extract_rows,行数超过 10000；课程文本命中敏感词，仅保留高层摘录
SRC13455,课程逐字稿解析工作区_所有课程_20260630_170152/课程逐字稿解析交付包_course_transcript_analysis_pack/data/live_bridge_fields.csv,B,课程文本上下文,2.728,>10000,yes,extract_rows,行数超过 10000；课程文本命中敏感词，仅保留高层摘录
