pair_id,source_id,video_file_name,video_path,transcript_json_path,transcript_txt_path,status,segment_count,duration_seconds,language,model_used,compute_type,error_message,needs_manual_review
pair_0012,src_scan_0025,女人只会对自己爱的人好色.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女人只会对自己爱的人好色.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0025_pair_0012_女人只会对自己爱的人好色_2cdd6cca.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0025_pair_0012_女人只会对自己爱的人好色_2cdd6cca.txt,success,19,35.503,zh,small,int8,,yes
pair_0013,src_scan_0027,女性S蜜垂吊球练一次收一次.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女性S蜜垂吊球练一次收一次.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0027_pair_0013_女性S蜜垂吊球练一次收一次_b47e7c08.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0027_pair_0013_女性S蜜垂吊球练一次收一次_b47e7c08.txt,success,23,36.688,zh,small,int8,,yes
pair_0014,src_scan_0029,女性如何给男人做S蜜保养.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女性如何给男人做S蜜保养.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0029_pair_0014_女性如何给男人做S蜜保养_87e6f1c7.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0029_pair_0014_女性如何给男人做S蜜保养_87e6f1c7.txt,success,12,24.636,zh,small,int8,,yes
pair_0015,src_scan_0031,女性越胖 越有需求吗.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/女性越胖 越有需求吗.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0031_pair_0015_女性越胖_越有需求吗_fce13c6e.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0031_pair_0015_女性越胖_越有需求吗_fce13c6e.txt,success,5,10.820,zh,small,int8,,yes
pair_0016,src_scan_0033,如何改善X冷淡？.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/如何改善X冷淡？.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0033_pair_0016_如何改善X冷淡？_79249a87.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0033_pair_0016_如何改善X冷淡？_79249a87.txt,success,32,68.933,zh,small,int8,,yes
pair_0017,src_scan_0035,对方有了喜欢要为自己鼓掌.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/对方有了喜欢要为自己鼓掌.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0035_pair_0017_对方有了喜欢要为自己鼓掌_d6eec40a.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0035_pair_0017_对方有了喜欢要为自己鼓掌_d6eec40a.txt,success,19,31.486,zh,small,int8,,yes
pair_0018,src_scan_0037,更年期女性自救指南告别僵硬疼痛.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/更年期女性自救指南告别僵硬疼痛.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0037_pair_0018_更年期女性自救指南告别僵硬疼痛_80a44042.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0037_pair_0018_更年期女性自救指南告别僵硬疼痛_80a44042.txt,success,23,44.100,zh,small,int8,,yes
pair_0019,src_scan_0039,极致的体验会让人念念不忘.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/极致的体验会让人念念不忘.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0039_pair_0019_极致的体验会让人念念不忘_c69f1e05.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0039_pair_0019_极致的体验会让人念念不忘_c69f1e05.txt,success,36,59.133,zh,small,int8,,yes
pair_0020,src_scan_0041,正确的夫妻生活 是什么样的.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/正确的夫妻生活 是什么样的.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0041_pair_0020_正确的夫妻生活_是什么样的_a8ce652f.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0041_pair_0020_正确的夫妻生活_是什么样的_a8ce652f.txt,success,20,30.488,zh,small,int8,,yes
pair_0021,src_scan_0043,生理旺盛的女性 有哪些特征.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/生理旺盛的女性 有哪些特征.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0043_pair_0021_生理旺盛的女性_有哪些特征_25f132bd.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0043_pair_0021_生理旺盛的女性_有哪些特征_25f132bd.txt,success,24,36.571,zh,small,int8,,yes
pair_0022,src_scan_0045,男人的床品就是他的人品.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/男人的床品就是他的人品.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0045_pair_0022_男人的床品就是他的人品_fc5414d4.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0045_pair_0022_男人的床品就是他的人品_fc5414d4.txt,success,38,55.240,zh,small,int8,,yes
pair_0023,src_scan_0047,男性按摩操真的有用吗.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/男性按摩操真的有用吗.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0047_pair_0023_男性按摩操真的有用吗_ca4ee1ed.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0047_pair_0023_男性按摩操真的有用吗_ca4ee1ed.txt,success,32,71.587,zh,small,int8,,yes
pair_0024,src_scan_0049,细节看男人床品暴露一切.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/细节看男人床品暴露一切.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0049_pair_0024_细节看男人床品暴露一切_da95f352.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0049_pair_0024_细节看男人床品暴露一切_da95f352.txt,success,9,15.833,zh,small,int8,,yes
pair_0025,src_scan_0051,老年人相亲尺度相当的大.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/老年人相亲尺度相当的大.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0051_pair_0025_老年人相亲尺度相当的大_2a877778.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0051_pair_0025_老年人相亲尺度相当的大_2a877778.txt,success,52,72.934,zh,small,int8,,yes
pair_0026,src_scan_0053,胖乎乎的女人男人都喜欢.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/胖乎乎的女人男人都喜欢.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0053_pair_0026_胖乎乎的女人男人都喜欢_537c8690.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0053_pair_0026_胖乎乎的女人男人都喜欢_537c8690.txt,success,1,7.129,zh,small,int8,,yes
pair_0027,src_scan_0055,能让男人舒服 莫过于两个技巧.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/能让男人舒服 莫过于两个技巧.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0055_pair_0027_能让男人舒服_莫过于两个技巧_0b66c507.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0055_pair_0027_能让男人舒服_莫过于两个技巧_0b66c507.txt,success,9,18.437,zh,small,int8,,yes
pair_0028,src_scan_0057,身体是拿来用的.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/身体是拿来用的.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0057_pair_0028_身体是拿来用的_168dd7b9.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0057_pair_0028_身体是拿来用的_168dd7b9.txt,success,30,53.100,zh,small,int8,,yes
pair_0029,src_scan_0059,送给男人的礼物丁丁按摩操.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/正样本成片/送给男人的礼物丁丁按摩操.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0059_pair_0029_送给男人的礼物丁丁按摩操_452a8dec.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0059_pair_0029_送给男人的礼物丁丁按摩操_452a8dec.txt,success,51,85.775,zh,small,int8,,yes
pair_0033,src_scan_0063,会跳舞的臀你想拥有吗？.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/会跳舞的臀你想拥有吗？.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0063_pair_0033_会跳舞的臀你想拥有吗？_146468f3.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0063_pair_0033_会跳舞的臀你想拥有吗？_146468f3.txt,success,5,10.634,zh,small,int8,,yes
pair_0030,src_scan_0064,跑跳漏水尴尬 一个小球告别尴尬.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/跑跳漏水尴尬 一个小球告别尴尬.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0064_pair_0030_跑跳漏水尴尬_一个小球告别尴尬_6a8a40ce.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0064_pair_0030_跑跳漏水尴尬_一个小球告别尴尬_6a8a40ce.txt,success,13,24.543,zh,small,int8,,yes
pair_0031,src_scan_0067,高段位女性都在练习八爪鱼.mp4,/Volumes/WD_BLACK/澜心社剪辑/剪辑解析数据/负样本成片/高段位女性都在练习八爪鱼.mp4,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0067_pair_0031_高段位女性都在练习八爪鱼_11dfdb38.json,素材整理_asset_management/04_时间码_timecode/本地转写输出_local_transcripts/src_scan_0067_pair_0031_高段位女性都在练习八爪鱼_11dfdb38.txt,success,3,15.720,zh,small,int8,,yes
