speech_unit_id,source_file,speech_start_time,speech_end_time,duration_seconds,speech_type,speech_claimed_action,speech_claimed_problem,speech_claimed_function,action_keywords,problem_keywords,asr_text_excerpt,notes
SU011,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:26:51.600,00:29:01.740,130.14,action_instruction,双手抬至肩高的呼吸动作,胸部/乳房状态,放松和降低紧张,呼吸；吸气；练习；放松；肩；胸,胸,吸气 呼气 吸气 呼气 吸气 最后一次吸气 呼气 好 手滑往地落下 放松 看眼睛 好 我们来感受一下 这个叫胸的 心的扩展 注意 你想象你的心中间 就像一个能量球 当你在吸气的时候 感觉这个球是从你的心轮中间 像四面八方 扩张 扩张 扩张的 做完过后你会感觉到整个胸扩 好像空间就会变大了 这是第一个我们要做的 关于胸式的呼吸的这样的一个方法 好 那接下来我们有一个关于 我们夜下零八的激活的一个练习方法 怎么做我们夜下零八的这样的一个激活,from_asr_cache_resegmented; not_old_102_window
SU012,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:28:19.740,00:30:17.380,117.64,action_instruction,双手抬至肩高的呼吸动作,胸部/乳房状态,放松和降低紧张,呼吸；吸气；练习；放松；肩；胸；乳房,胸,做完过后你会感觉到整个胸扩 好像空间就会变大了 这是第一个我们要做的 关于胸式的呼吸的这样的一个方法 好 那接下来我们有一个关于 我们夜下零八的激活的一个练习方法 怎么做我们夜下零八的这样的一个激活呢 就是我们平时做作丽 或者是说金刚柜的柜枝 然后让我们的手就自然的 放于我们的身体的两侧曲肘 让我们的肩在我们的肩窝窝里 这样让我们的夜下淋巴 它是一个有弹性的那身的状态 我们现在想象在夜下淋巴 这里有两个球 这里有两个球 当我们吸气的时候,from_asr_cache_resegmented; not_old_102_window
SU013,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:29:49.780,00:31:59.930,130.15,action_instruction,双手抬至肩高的呼吸动作,肩部紧张或发力,放松和降低紧张,呼吸；吸气；放松；肩；肩膀,肩膀,有些人有很多的气泡 有些人的节节就刚好长在这个地方 好 那我们就通过这样的方式去释放它 好 来 手 好 自然的 让我们的尖头在尖窝窝里面 手肘是放松的 手臂自然的垂下想象 好 然后想象我们的夜下有两个球 不管它是什么颜色 软软的两个气团 配合我们的呼吸吸气 感受这个球在扩张 呼气 缓缓的落下 吸气 打开一下 呼气 吸气 不要耸尖 微微的抬起来 呼气 吸气 呼气 鼻子吸气 嘴巴呼气 鼻子吸气 嘴巴呼气 呼氣 鼻子吸氣 嘴巴呼氣 也許你會感,from_asr_cache_resegmented; not_old_102_window
SU014,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:32:11.320,00:34:01.940,110.62,action_instruction,吸管式呼吸连接,呼吸短浅,建立身体连接,呼吸；吸气；吸管；胸；胸腔；阴道；按摩,胸；呼吸短；酸,有没有感觉到一个热量 也许你做的时候 做得做得手就好像发麻了 然后尖头这地方会很酸 这就特别好 好 接下来我们要将我们的手的劳工穴 就是我们的中指 这样中指能够握住的位置 就是我们的劳工穴 将你的劳工穴对准你的乳头 将你的老公穴对着你的乳头 好 呼吸特别短的人 就是因为我们的 要么胸腔是被受挤压的 要么就是隔击的活动受限 导致我们隔击没有办法很好的运动 所以呼吸就会比较浅 其实我们的呼吸是靠隔击和膀立肌来去活动的 并不是靠心肺 是隔击活,from_asr_cache_resegmented; not_old_102_window
SU015,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:33:43.960,00:35:26.960,103.0,sales_or_course,吸管式呼吸连接,胸部/乳房状态,建立身体连接,呼吸；吸气；吸管；胸；乳房；阴道,胸,去感受我们手心的 就像有一个磁铁一样的 跟你的乳头 心心相应的感觉 吸在这里的感觉 好 然后呢 我们要让它跟我们的阴道去做连接 所以当我们在吸气的时候呢 我们要想像从我们的阴道 像吸管一样把气抽上来 抽到我们的乳头 要再从我们的乳头下去 再从阴道向上吸 向下呼 向上吸 向下呼 留意一下 当你在从阴道吸到乳房的时候 你的乳房会有什么感觉 你会感觉到乳头会发痒 你会感觉到胸开始脏 你会感觉到好像酥酥麻麻的 等等的这样的感觉都是正常的 好 来,from_asr_cache_resegmented; not_old_102_window
SU016,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:37:33.160,00:39:27.840,114.68,action_instruction,盆底/会阴收紧放松,胸部/乳房状态,建立身体连接,呼吸；吸气；吸管；收缩；收紧；胸；乳房；阴道,胸,再來放鬆 好 做完過後 來 大家感覺一下 有沒有感覺到乳頭周圍有一些發熱 有些舒舒麻麻的癢癢的感覺 或者你會感覺好像胸上是 是在二次发育一样的 就一种咕噜咕噜好像冒泡泡的感觉 会好像它被梳醒了一样的 这是我们的阴道和胸的连接 因为我们的性现轴 它就从我们的阴道到我们的乳房的 乳房它是连接我们的阴体 连接我们的阴道的 所以说我们在做呼吸的时候 把这个神经给它打通 当然如果 也许我们也没有这样的感觉 那就是可能我们 证明我们的性现轴它已经不,from_asr_cache_resegmented; not_old_102_window
SU017,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:39:04.640,00:41:09.030,124.39,action_instruction,吸管式呼吸连接,胸部/乳房状态,配合呼吸完成练习,呼吸；吸气；胸；乳房；阴道,胸,到头顶一样的 好 每个人的身体 就是会有不同的体感 因为每个人都不一样 接下来我们要做单侧的 一手放在我们的乳房上方 一手轻轻地拖住我们的乳房 一手轻轻地拖住我们的乳房 当我们在吸气的时候 依然从我们的阴道吸到乳房 然后我们这样上下 上下轻轻地 就像捧住一个水袋一样的 把它轻轻地拖起 然后我们上下这样轻轻地揉 这样轻轻地揉 好 然後再讓它呼吸慢慢落下 就把呼吸帶到這個過程當中 吸氣從下面吸到這兒來 想像胸 好像是一個氣球充滿了 然後讓這,from_asr_cache_resegmented; not_old_102_window
SU018,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:40:32.510,00:42:24.740,112.23,action_instruction,动作/练习口播,胸部/乳房状态,动作教学,吸气；乳房,私密,好 經濟可以往上吸嗎 我們只是做乳房療癒 並沒有那種大量的這種要把它往上提 吸的是可以的 只是你那个膝饰带着那个气感向上倾 好 来 准备手拖住它拖住乳房来吸气 然后慢慢的揉 感觉好像是在揉一个面团 把里面的委屈 把里面的不干 把里面的那些评判指折完美 都好像把它揉散 在你的手里让它溶解让它消失 好 呼氣慢慢想想 吸氣到左邊入房 慢慢的揉 呼氣 我們在家裡做最好是不穿衣服 來 吸氣 慢慢的揉 揉的時候並不需要很大的力度 主要是感受你的手心,from_asr_cache_resegmented; not_old_102_window
SU019,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:42:01.660,00:44:04.430,122.77,action_instruction,胸部呼吸/胸腔扩张,胸部/乳房状态,配合呼吸完成练习,呼吸；吸气；胸,胸,感受这个球在你的两个手心里 呼气 吸气 轻轻荣 呼气 再一次吸气 最后一次吸气 呼气 落下 好 我们揉完左边过后 我们可以感受一下 左右有什么不一样 感受一下 有没有感觉到左边是发热的 左邊的胸是仗著 左邊的胸好像是更堅挺一些的 還有左邊你會感覺胸一下子好像是放鬆的 乃留一下左右兩側 甚至左邊的胸好像都上體了 我們換到右側 就是近期我們不要點穴 前面也有講過 輕輕的做做呼吸 做做冥想 做做鏈接是可以的 好來 換到右邊做同樣的動作 左右两,from_asr_cache_resegmented; not_old_102_window
SU020,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:46:02.470,00:48:05.950,123.48,action_instruction,云门/中府区域点按,胸部/乳房状态,配合呼吸完成练习,呼吸；吸管；乳房；云门,,吸氣 放鬆 好 摔摔摔 也許手臂會有一點痠 對 都是用吸管式呼吸 當我們要從音道向上吸的時候 都是用吸管式呼吸 想像它是有個碗管子 從下面往上吸上來 再從上面呼 想像 用吸管式呼吸 你也可以想像 當你在呼氣的時候 就把乳房這裡儲存的這些 負面的情緒 那些愤怒 那些压抑 那些悲伤 然后呢 都顺着这个气 从下面排出去的感觉 好 这样子呢 就能够达到更好的 疗愈的一个结果 所以我们不是只是这样 这样乱揉啊 不是揉奶哦 是带着你的呼吸 带着你的,from_asr_cache_resegmented; not_old_102_window
SU021,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:47:41.750,00:49:50.410,128.66,action_instruction,云门/中府区域点按,胸部/乳房状态,点按激活,呼吸；吸气；吸管；乳房；阴道；点按；云门,,还记不住穴尾的 赶紧来奇迹一下 其实很简单 你不用去记每个穴尾的名字 你只要知道它在哪里就可以了 首先我们是弹中穴 对不对 云门中腹穴 还有什么呢 还有我们的乳头旁开的这个叫大包穴 然后就是我们的乳房的鱼乳头尾中心上下左右盘开一寸 它都是血位 然后再到我们的乳房下面的乳棍血 对吧 然后和气门血这几个地方 我们去终点去点按它 好 那么点按的时候呢 我们也是伴水的呼吸 然后将我们的手放在我们的 首先我们的单中血配合在这里 可以用大拇指 如果,from_asr_cache_resegmented; not_old_102_window
SU022,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:49:41.470,00:51:47.200,125.73,action_instruction,云门/中府区域点按,肩部紧张或发力,点按激活,吸气；肩；点按；云门,,最好一次吸起 呼起 接下来我们点按我们的云门血和中腹血 在我们的肺筋 腺胞肌上的血位 刚好在我们的锁骨窝窝的下方 你看摸到你的锁骨和我们的肩头交界的地方 你的手可以向前扣一点点 你就能摸到这里一个窝窝 然后我们再往下一个指关节的位置 就这两个血位找到它 越门血和中腹血 来 吸气 呼气 吸气 呼气 吸气 吸气 呼气 最后一次吸气 呼气 换到另一侧 血位的位置 好 吸气 呼气 呼气,from_asr_cache_resegmented; not_old_102_window
SU023,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:51:12.710,00:52:38.490,85.78,action_instruction,动作/练习口播,动作相关问题,放松和降低紧张,吸气；放松,,呼气 换到另一侧 血位的位置 好 吸气 呼气 呼气 吸气 呼气 放松 好 接下来 到我們的大寶穴如頭旁開和夜窩正中線的位置 好 找到它 好 電安 好 吸氣是吸到我們的大寶穴的位置吸氣 呼氣 吸氣 呼氣 吸氣 呼氣 呼氣,from_asr_cache_resegmented; not_old_102_window
SU024,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:56:10.590,00:58:03.360,112.77,action_instruction,胸部呼吸/胸腔扩张,胸部/乳房状态,点按激活,呼吸；胸；乳房；按摩,胸；乳腺,呼氣 最後一次吸氣 呼吸 我們乳腺周圍的呼吸 接下來我們要給它打圈去按摩 好的 晚上回來我們可以再繼續做 如果早上沒有時間的晚上睡前 我們做也是可以的 接下來將我們的手放在我們的整後方 把我們的手抬開 然後我們要從我們的整個的夜下 在我們的乳房區劃圈 以螺旋式的方式劃小圈 这个叫螺旋是从外螺旋到里面 这是它的一个顺序 那花圈的方式呢 是以这个我们的三个手指的指腹 然后轻轻的花圈的方式 我们从我们避开夜下淋巴直接的位置 避开夜下淋巴 从夜,from_asr_cache_resegmented; not_old_102_window
SU025,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:57:57.840,00:58:55.040,57.2,action_instruction,动作/练习口播,胸部/乳房状态,动作教学,乳房；画,,"就比较好就是操作啊 因为这样干的呢 就是 它不是很顺畅 就是抹一点椰子油 哎对,那我来去给他 用我们的四个手指画小圈 对,不需要太用力 慢慢的让这个螺旋来到第二圈 就靠近乳房中间一点的位置 在打圈的时候也许有些地方会有粘脸 也许有些地方会有疼痛 再来到第三圈 就是靠近我们的乳韵的位置 我們的乳液更多是跟親密的鏈接 跟性的鏈接 然後慢慢的 拿到我們的乳液的正中間 靠近我們的乳頭了",from_asr_cache_resegmented; not_old_102_window
SU026,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,00:59:48.790,01:00:48.990,60.2,action_instruction,动作/练习口播,胸部/乳房状态,放松和降低紧张,动作；放松；胸,胸,抓体 抓体 抓体 抓体 抓体 是好放松 手滑滑的落下 啊 四蛋白也可以 四蛋白也是很好的啊 来 换到另一只手 做同样的动作 好 滑小圈 从我们的这个胸搭机的起点 避開我們的直接的 我們的這個淋巴管 淋巴管的地方是不要壓它的 畫小圈 對 讓它有一點滋潤 有一點滑滑的 這樣我們打圈的時候更容易 來到第二圈 到第三圈靠近我們乳暈的位置,from_asr_cache_resegmented; not_old_102_window
SU027,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:02:53.340,01:03:43.180,49.84,problem_explain,动作/练习口播,胸部/乳房状态,动作教学,,乳腺,所以我们就在肌肉上面去 避免直接按压到夜窝的那个位置 但是你就是按一下也没有它的关系 尽量的避免 所以你知道乳腺癌最怕的是什么吗 乳腺癌最怕的就是扩散到淋巴 因为淋巴癌就没有办法治了 全身都瞬间就到全身去了 相对爱奇巴顺着淋巴管就到全身去了 所以说这个地方也是非常重要的 好 那说到这里 接下来我们就来说通我们的夜下淋巴的位置 我们的叶下淋巴其实我们是可以从耳后淋巴 然后再到颈淋巴 然后再到我们的锁骨淋巴 然后一直从锁骨 然后舒通到我们的,from_asr_cache_resegmented; not_old_102_window
SU028,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:05:28.220,01:06:21.610,53.39,action_related,动作/练习口播,动作相关问题,动作教学,动作,,最后一次 从我们的警后 锁鼓 排到夜下 排完了 排另一侧 做同样的动作 可以从下河开始 面部也有淋巴 面部如果说循环 但是不好面 就面部会发黄 所以你们看 脸上发黄的地方 都是淋巴的地方 比如说法令文 口周 眼周这些地方 所以你看我们排淋巴的时候 我们就是眼睛排着 从这儿到这儿 再到下河都可以 就是可以从下河 然后眼着紧不侧,from_asr_cache_resegmented; not_old_102_window
SU029,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:07:35.810,01:09:45.960,130.15,action_instruction,胸前画八字/胸前交叉动作,胸部/乳房状态,点按激活,胸；按摩；画；八字；交叉,胸,叶下08过后 接下来我们要在胸前画一个八字 画八字就是横向的画八字 就像我们的这个太极一样的 就像打太极一样的 也是一样的 我们抹一点点的油 避开乳头的位置 抹一点油抹一点油 然后我们用手来去画八折 画八折首先从左边开始 左手再上右手再下 然后我们右手你看 向上拉抹左手跟着就过来 从胸前交叉 再换到右边 右手再下左手再上 然后再上来 从这里上来过后来讲很像的 画一个八字 就两个手是交替的 这样拉抹的 到下方交换 对 这样很像的话一个八字,from_asr_cache_resegmented; not_old_102_window
SU030,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:09:25.630,01:10:50.370,84.74,action_instruction,胸前画八字/胸前交叉动作,胸部/乳房状态,动作教学,乳房；画；八字,,我有交替 然后画八字 最后一遍 画完八字过后呢 最後一次就是我們要抓握 抓握就是要用我們的手 一個指的指度的位置 然後抓住我們的乳房的底盤的位置 然後向上這樣 OK 這樣可以激活我們的線體 激活它的敏感度 好 來 一 二 三 走 一 抓二十下 二 三 六 七 九 十 十一 十二 十三 十四 十五 十六 十七 十八 十九 二十,from_asr_cache_resegmented; not_old_102_window
SU031,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:10:52.170,01:13:06.170,134.0,action_instruction,胸部呼吸/胸腔扩张,胸部/乳房状态,打开/扩张目标部位,呼吸；吸管；练习；胸；乳房；按摩,胸,十一 十二 十三 十四 十五 十六 十七 十八 十九 二十 好 这是我们乳房的疗愈的按摩 然后做完过后你会感受一下 感受一下你的胸就会感觉热热的 脏脏的 然后我们的线体就有一种畅通的感觉 就像给它装的腥风系统一样的 忽然之间它就会变得通畅起来 OK 怎么样 大家喜欢吗 这样子的乳房按摩 我们可以一个星期给自己做一次 然后我们可以在晚上洗完澡过后 站在镜子面前 首先我们去看着自己的乳房 然后去炼解它 然后大家也可以做一个小小的练习 这个练,from_asr_cache_resegmented; not_old_102_window
SU032,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:12:21.170,01:14:26.890,125.72,action_instruction,胸前画八字/胸前交叉动作,胸部/乳房状态,打开/扩张目标部位,呼吸；吸管；练习；胸；按摩；画；八字,胸,你这说的时候可能你就会有情绪 你会流眼泪 你会有悲伤 你会出来 都可以 都没有关系 首先去跟她练节 练结完了过后我们就可以做刚刚我们的呼吸 呼吸的练习 秋星的扩张 然后完了过后夜下淋巴的打开 然后我们的整个吸管是向上的呼吸 呼吸的连接 好 做完呼吸连接过后我们就点血 晚上我们就不点血了 早上点血 晚上就不点血了 然后就直接开始做我们刚刚的一排淋巴 和我们的入房的按摩滑圈就可以了 其实整个做下来也就完整的做下来 如果没有讲解什么的 其实最,from_asr_cache_resegmented; not_old_102_window
SU033,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:14:15.490,01:15:32.090,76.6,action_instruction,双手抬至肩高的呼吸动作,肩部紧张或发力,放松和降低紧张,放松；肩；肩膀；画,肩膀,疏通氣節 然後讓我們的任脈氣血暢通 還有我們的08循環比較好的方式 分享给大家 大家也可以跟我一起做一下 怎么做呢 首先我们双脚打开 然后微微的躯宽躯息 身体像扎马子不一样的 像马子不一样的 然后手就放于我们身体两侧 然后一看 先看左右交替这样做 左右交替这样做 让我们的手是放松的 你看左边一下 右边一下 左边一下 右边一下 做的时候呢是用我们的肩膀带动 它画一个半圈 画一个半圈 画一个半圈 画一个半圈 画一个半圈 画一个半圈 然后呢 ,from_asr_cache_resegmented; not_old_102_window
SU034,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:16:54.190,01:18:34.390,100.2,action_instruction,胸前画八字/胸前交叉动作,胸部/乳房状态,打开/扩张目标部位,呼吸；练习；胸；画,胸,往上 再伸前 画一个把子 就是要越来越快 画到最后 画到最后你会进入到一种 好像身体不在了的 浓量世界 你会感觉在你的面前有光 你会有光 你会感觉到 那个光过来 然后我们的手 你看其实这就是一个无限的循环 无限的循环 无限的循环 无限的循环 就这样 这是一个帮我们开启 敏捷宇宙能量的一个很好的练习 然后对 非常好 然后做完过后 因为这个练习它是我们打开 打开我们的星空间 然后让我们能够跟能量练习 同时也是一个释放 因为当你在这样做的时候,from_asr_cache_resegmented; not_old_102_window
SU035,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:18:42.080,01:20:54.100,132.02,action_instruction,盆底/会阴收紧放松,胸部/乳房状态,打开/扩张目标部位,动作；呼吸；练习；收紧；胸；盆底；核心,胸；盆底,这样可以很好的帮我们梳解心轮 这个地方的繁闷 然后就这样 然后刚开始手可以慢一点 一定下半身要稳身体 不要跟着晃动 下半身把马步扎稳 盆底就收紧 会音收紧 然后你看这边的手提起来 落下去 这边的手提起来落下去 就好像瓦一碗水 像水中捞月一样的 你看像水中捞月 水中捞月 水中捞月 就好像你伸到一缸水里 把那个水捞起来 伸到一缸水里 把这个水捞起来 捞起来 然后慢慢的 慢慢的 然后逐渐加快 逐渐加快 逐渐加快 就这样做 整个过程当我们下半身,from_asr_cache_resegmented; not_old_102_window
SU036,/Volumes/WD_BLACK/完整直播录屏/今年直播素材/5月13日直播素材.MP4,01:20:10.100,01:22:01.830,111.73,action_instruction,胸部呼吸/胸腔扩张,胸部/乳房状态,打开/扩张目标部位,动作；呼吸；练习；肩；胸,胸,要腹横肌稳住 上半身动 做完过后 做一个收拐练习 吸吸向上 呼吸向下 吸吸向上 呼吸向下 吸吸向上 后气向上 OK 怎么样 做完有没有感觉 整个我们的胸变热了 都被打开了 这个动作呢 我们可以在早上的时候 每天早上的时候 面对着太阳东方的方向 然后呢 凝神俱气 然后闭上眼睛 然后完全的就是 专注在我们的这个练习里面 刚开始的时候 肯定会有点痠 痛啊 因为我们这一帮粘脸嘛 这一帮粘脸的 然后呢 脑损的 但是你这样做 既可以帮你改善你的肩部,from_asr_cache_resegmented; not_old_102_window
