candidate_id,recording_id,start_time,end_time,reject_reason,missing_part,could_be_fixed_by_manual_edit,notes
rej_022,rec_001,00:56:40.000,00:59:40.000,缺乏明确开头（无痛点引入/观看理由）、中段交付不完整（动作孤立，无步骤逻辑）、结尾无收束；全程无字幕支撑，关键信息缺失,opening/middle/ending/evidence,unclear,若前段含问题陈述、后段含总结，则可拼接成完整片段；当前窗口仅为中间演示片段
rej_023,rec_001,00:59:30.000,01:02:30.000,无明确开头观看理由（仅坐姿持物，无语言/字幕支撑）、中段仅为动作序列无方法讲解、结尾无收束；不满足完整候选三要素,opening/middle/ending/evidence,unclear,若前段含问题引入+后段含总结，则可拼接成完整片段；当前独立窗口不完整
rej_024,rec_001,01:02:20.000,01:05:20.000,缺乏完整结构：无明确开头理由、中段无可验证交付内容、结尾无收束；动作重复但无教学逻辑显性呈现,opening/middle/ending/evidence,unclear,若前序片段含引入语+本段动作+后续总结，可能拼成完整单元；当前独立窗口不满足初剪完整性
rej_025,rec_001,01:05:10.000,01:08:10.000,缺乏开头观看理由、中段方法交付与结尾收束；仅为静态姿势重复帧，无信息增量,"opening,middle,ending,evidence",unclear,若前序帧含讲解引入、后续帧含动作演示+总结，则可合并为完整片段；当前窗口孤立
rej_026,rec_001,01:08:00.000,01:11:00.000,无明确开头（无观看理由/问题引入）、无中段讲解/原理/目标说明、无结尾收束；仅为动作序列片段,"opening,middle,ending,evidence",unclear,若前序帧含口播引入（如‘今天教大家缓解假胯宽的3个动作’），本段可作中段；但当前窗口内无任何语言/字幕支撑结构完整性
rej_027,rec_001,01:10:50.000,01:13:50.000,仅有静态画面，无开头理由、中段交付、结尾收束；缺乏动作流程与信息传递,"opening,middle,ending,evidence",unclear,若前后帧含讲解/口播/动作启动/收尾，则可能构成片段；当前窗口孤立
rej_028,rec_001,01:13:40.000,01:16:40.000,无明确开头理由陈述、无中段动作交付过程、无结尾收束；画面静态重复，缺乏信息增量,"opening,middle,ending,evidence",unclear,若前序帧含问题引入（如‘很多人腰酸是因为…’）且后续帧含动作分解与总结，可合并为完整片段；当前窗口独立不成立
rej_029,rec_001,01:16:30.000,01:19:30.000,无开头观看理由、无中段真实交付、无结尾收束；仅重复动作片段，无教学结构；强光过曝导致关键帧信息缺失,opening/middle/ending/evidence/continuity,unclear,需结合前后音频与完整画面判断是否属教学片段；当前纯视觉无法确认动作目的与讲解逻辑
rej_030,rec_001,01:19:20.000,01:22:20.000,缺乏开头观看理由（无问题引入/目标声明）、无中段方法交付（仅动作无讲解）、无结尾收束（未停止动作/总结/过渡）,opening/middle/ending/evidence,unclear,纯动作演示片段，无上下文支撑，不符合完整候选标准
rej_031,rec_001,01:22:10.000,01:25:10.000,开头缺失观看理由（无痛点引入/目标声明），中段动作无方法拆解证据，结尾无收束；仅靠动作无法构成完整教学单元,opening/middle/ending/evidence,unclear,若前段含痛点陈述+本段动作+后段总结，可拼合为完整片段；当前孤立窗口不满足初剪完整性标准
rej_032,rec_001,01:25:00.000,01:28:00.000,无完整起承转合结构：缺失观看理由（开头）、无方法逻辑闭环（中段仅为动作堆叠）、无自然收束（结尾仅姿态变化）,opening/middle/ending/evidence,unclear,若前序片段含问题引入、后续含总结，则本段或可作‘操作演示’子模块，但单独不成立
rej_033,rec_001,01:27:50.000,01:30:50.000,缺乏开头观看理由（无问题陈述/目标声明）、中段无方法逻辑链（仅动作无解释）、结尾无自然收束（无总结/过渡语）；所有关键要素均依赖口播推断，画面证据不足,opening/middle/ending/evidence,unclear,若前段有痛点引入（如‘很多妈妈产后漏尿’），本段可作方法演示；若后段有总结（如‘每天3组，坚持2周见效’），可补足结尾。当前孤立窗口不构成完整单元
rej_034,rec_001,01:30:40.000,01:33:40.000,无明确开头观看理由、无中段可验证交付、无结尾收束；仅呈现片段化动作，缺乏结构完整性,opening/middle/ending/evidence,unclear,需结合前后帧判断是否为某教学环节中间部分；当前窗口独立不成立
rej_035,rec_001,01:33:30.000,01:36:30.000,无明确开头观看理由（未说明‘为什么看这个’）、中段无结构化交付（仅持物+手势，无方法/步骤/原理）、结尾突兀躺倒无收束；缺乏连续叙事逻辑,opening/middle/ending/evidence,unclear,若前段有引入问题、后段有总结转化，可拼接成完整片段；当前独立窗口不满足初剪完整性标准
rej_036,rec_001,01:36:20.000,01:39:20.000,无明确开头引入、无中段方法交付（仅静态姿势）、无结尾收束；缺乏语言/字幕/动作逻辑链,"opening,middle,ending,evidence",unclear,该片段仅为单一动作维持，无法独立构成教学/演示单元；需前后内容补充上下文
rej_037,rec_001,01:39:10.000,01:42:10.000,无明确开头引入（观看理由）、无结尾收束；中段仅为重复动作演示，缺乏方法讲解、原理说明或目标锚定；道具用途未说明；无法独立成段,opening/ending/evidence/continuity,unclear,若前段有痛点引入、后段有总结转化，可拼接为完整单元；当前孤立窗口不满足初剪完整性标准
rej_038,rec_001,01:42:00.000,01:45:00.000,无明确开头理由、中段交付缺失、结尾无收束；仅呈现静态坐姿与手机操作，缺乏信息密度与结构完整性,"opening,middle,ending,evidence",unclear,若前段有痛点引入、后段有产品演示，则此段可能为过渡帧；当前独立窗口不构成有效片段
rej_039,rec_001,01:44:50.000,01:47:50.000,缺乏开头观看理由、中段无真实方法交付、结尾无自然收束；仅靠表情与手势无法构成完整信息单元,"opening,middle,ending,evidence",unclear,若前序片段含痛点引入、后续含操作演示，可拼接成完整段；当前独立窗口不满足初剪完整性标准
rej_040,rec_001,01:47:40.000,01:49:20.554,缺乏明确开头（无问题引入/观看理由）、中段交付内容不完整（仅动作无逻辑链）、结尾虽有收束动作但整体结构不完整；道具用途与方法未通过画面/字幕证实,"opening,middle,evidence",unclear,需结合前后音频或字幕判断是否为某教学片段中间部分；结尾人物离场可能为自然过渡，但无法独立成段
rej_041,rec_002,00:00:00.000,00:01:30.000,开头缺失观看理由，中段仅为重复动作无交付实质，结尾无收束；无法独立成段,opening/middle/ending/evidence,unclear,若前后段含口播解释，则本段可作演示插帧；单独存在时结构断裂
rej_042,rec_002,00:02:50.000,00:05:50.000,无明确开头（无问题引入/观看理由）、无中段实质性交付（仅重复持物动作）、无结尾收束（未停顿、致谢、引导）；无法独立成段,"opening,middle,ending,evidence",unclear,需结合前后帧确认是否为某教学环节的中间片段；当前窗口仅为静态演示片段
rej_043,rec_002,00:05:40.000,00:07:10.000,无明确开头引入（如问题陈述/观看理由）、无结尾收束（如总结/引导），仅呈现片段化动作演示；无法独立构成完整教学单元,opening/ending/evidence,unclear,若前段有痛点引入、后段有总结话术，可合并成完整段；当前窗口孤立
rej_044,rec_002,00:07:10.000,00:08:40.000,同上；后半段动作重复前半段模式，无新信息或收尾信号,opening/ending/evidence,unclear,00:08:17.500–00:08:39.500 帧中人物手势略有变化（右手轻触喉部），但不足以构成收束动作
rej_045,rec_002,00:08:30.000,00:10:00.000,缺乏开头观看理由与中段实质交付；仅呈现仪式化动作片段，无法独立成段,"opening,middle,ending,evidence",unclear,若前段有痛点引入、后段有方法总结，可拼接为完整单元；当前窗口仅为中间静默操作段
rej_046,rec_002,00:10:00.000,00:11:30.000,结尾无收束动作或语言提示；仅维持坐姿微笑，不符合自然收束标准,"ending,evidence",yes,需衔接后续口播总结或手势结束信号才可构成结尾
rej_047,rec_002,00:11:20.000,00:14:20.000,缺乏开头观看理由（无痛点引入/价值声明）、无中段有效交付证据（仅动作无讲解支撑）、无结尾收束（未致谢/总结/引导）,opening/middle/ending/evidence,unclear,若前段有痛点陈述、后段有总结话术，可拼接成完整片段；当前独立窗口不满足初剪完整性标准
rej_048,rec_002,00:14:10.000,00:17:10.000,缺乏开头观看理由与结尾收束；中段动作无明确交付证据（无字幕/口播支撑），仅肢体序列无法独立构成完整教学单元,opening/ending/evidence/continuity,unclear,若前段含问题引入、后段含总结，则本段可能作为中间演示环节；当前孤立窗口不满足完整性标准
rej_049,rec_002,00:17:00.000,00:18:30.000,开头缺失观看理由（无问题陈述/痛点引入），中段仅有动作无方法说明，结尾未收束；动作演示孤立，缺乏上下文支撑,opening/middle/ending/evidence,unclear,若前段含痛点引入、后段含总结话术，可拼接成完整片段；当前窗口独立不成立
rej_050,rec_002,00:18:30.000,00:20:00.000,延续前段动作，但仍未出现语言/字幕交付核心方法；结尾动作模糊，无明确终止信号,middle/ending/evidence,unclear,00:19:37.500 合十动作疑似收尾，但后续仍有持道具静坐帧，节奏断裂
rej_051,rec_002,00:19:50.000,00:21:20.000,开头缺失观看理由，中段仅为零散手势无方法交付，结尾无收束；无法独立成段,opening/middle/ending/evidence,unclear,若前段含问题引入（如‘你是否总感觉胸闷？’），本段或可作为方法演示部分；但当前孤立窗口不满足完整性
rej_052,rec_002,00:21:20.000,00:22:50.000,后半段动作仍为孤立手势，无递进逻辑；结尾帧00:22:49.500非自然收束,ending/evidence,unclear,需结合后续是否有‘今天就到这里’类口播或起身动作才能判断收尾
rej_053,rec_002,00:22:40.000,00:25:40.000,无明确开头观看理由（未展示问题/痛点/价值承诺），中段动作零散无步骤闭环，结尾无收束动作或总结语；全程为单一坐姿片段，缺乏结构完整性,opening/middle/ending/evidence,unclear,若前序窗口含问题引入、后续含总结，则可拼接成完整段；当前独立窗口不满足初剪候选标准
rej_054,rec_002,00:25:30.000,00:28:30.000,无明确开头观看理由（未介绍主题/痛点/身份），中段仅有零散手势无实质交付证据，结尾无收束动作或语言提示；画面静态重复，缺乏结构完整性,opening/middle/ending/evidence,unclear,若前序窗口含开场介绍、后续窗口含总结，则此段可作中间承接；当前独立窗口不满足初剪候选标准
rej_055,rec_002,00:28:20.000,00:31:20.000,无明确开头理由、中段交付内容或结尾收束；仅静态坐姿+零星手势，缺乏信息密度与结构完整性,"opening,middle,ending,evidence",unclear,需结合前后窗口判断是否为某动作的起始/收尾帧；当前窗口内无独立叙事单元
rej_056,rec_002,00:31:10.000,00:32:40.000,开头缺失观看理由，结尾无收束，中段动作虽连贯但缺乏语义锚点（如步骤编号、问题-方案对应）；无法独立成片,opening/ending/evidence,yes,若前一窗口含痛点引入（如‘久坐族手腕疼？’），本段可作为方法演示部分；需补入结尾致谢或效果提示
rej_057,rec_002,00:32:40.000,00:34:10.000,后半段动作重复前半结构，无新信息增量；结尾帧仍为静态持球坐姿,ending/continuity,unclear,可能为同一教学模块的延续，但当前窗口内无闭环
rej_058,rec_002,00:34:00.000,00:37:00.000,缺乏明确开头观看理由、中段方法交付完整性及结尾自然收束的视觉证据；所有关键环节依赖口播推断，不符合仅凭画面/字幕/动作判断标准,opening/middle/ending/evidence,unclear,若前段有痛点引入、后段有总结话术，则本段可作中段嵌入；当前孤立窗口不构成独立完整片段
rej_059,rec_002,00:36:50.000,00:39:50.000,无完整开头（缺观看理由/问题引入）、无明确中段交付（动作无讲解/目标说明）、无结尾收束；动作序列存在但缺乏上下文完整性,opening/middle/ending/evidence,unclear,若前一窗口含问题引入+本窗口动作+下一窗口总结，可拼接成完整片段；当前独立窗口不满足初剪完整性标准
rej_060,rec_002,00:39:40.000,00:42:40.000,缺乏开头观看理由与结尾收束；中段动作虽多但无逻辑串联证据；无法独立成完整教学单元,"opening, ending, evidence, continuity",unclear,若前段含问题引入（如‘久坐腰酸？3个动作缓解’），本段可作中段交付；但当前孤立窗口不满足完整性规则
rej_061,rec_002,00:42:30.000,00:45:30.000,缺乏完整结构：无明确开头（观看理由/问题引入）、中段交付无方法说明或步骤分解、结尾仅坐起无收束信号；动作连续但语义不完整,opening/middle/ending/evidence,unclear,若前序窗口含问题陈述+本段动作+后续窗口含总结，则可拼接为完整片段；单独不可用
rej_062,rec_002,00:45:20.000,00:48:20.000,缺乏开头观看理由与中段方法交付证据；仅动作流，无内容结构,"opening,middle,evidence",unclear,若前段含问题引入、后段含总结/呼吁，则本段可作中段嵌入；单独不可用
rej_063,rec_002,00:48:10.000,00:51:10.000,缺乏开头观看理由、中段真实交付证据、结尾自然收束；仅呈现连续坐姿讲解片段，无结构完整性,"opening,middle,ending,evidence",unclear,需结合前后音频/字幕判断是否为某教学环节中间段；当前纯视觉无法认定为独立有效片段
rej_064,rec_002,00:51:00.000,00:52:30.000,开头无观看理由建立，中段动作无方法拆解证据，结尾未收束；仅呈现动作片段，缺乏教学闭环,opening/middle/ending/evidence,unclear,若前序窗口含问题引入+本段动作+后续窗口含总结，则可拼接为完整段；当前独立窗口不满足初剪候选标准
rej_065,rec_002,00:52:30.000,00:54:00.000,纯动作演示段，无讲解锚点、无起止信号，无法独立成段；动作重复但无进阶/变式说明,opening/middle/ending,no,需依赖口播判断是否为‘跟练段’；当前仅画面无法确认其教学意图
rej_066,rec_002,00:53:50.000,00:56:50.000,无完整结构：开头缺失问题引入与观看理由，中段仅为重复动作无教学交付，结尾无收束；不符合‘完整候选’定义,opening/middle/ending/evidence,unclear,若前序窗口含讲解/准备动作、后续含放松/总结，可合并成完整片段；当前独立窗口不成立
rej_067,rec_002,00:56:40.000,00:59:40.000,无开头观看理由（未说明问题/目标）、无中段有效交付（动作无讲解/上下文）、无结尾收束（结束于动作中途）,opening/middle/ending/evidence,unclear,仅动作片段，缺乏叙事结构；白板用途不明，需口播确认是否为教学辅助
rej_068,rec_002,00:59:30.000,01:02:30.000,无明确开头（观看理由缺失）、中段交付依赖动作但无方法说明、结尾无收束；整体为动作片段堆叠，非完整教学单元,opening/middle/ending/evidence,unclear,若前序窗口含问题引入+本段动作+后续窗口含总结，则可拼接；单独不可用
rej_069,rec_002,01:02:20.000,01:05:20.000,缺乏完整结构：无明确开头（观看理由/问题引入）、中段交付内容模糊（动作存在但无步骤/原理说明）、结尾无收束；全程无字幕支撑，依赖口播判断的部分均标待复核,opening/middle/ending/evidence,unclear,若前序窗口含问题引入（如‘久坐腰酸？’），本段或可作方法演示；但当前独立窗口不满足初剪完整性标准
rej_070,rec_002,01:05:10.000,01:08:10.000,无明确开头理由、无中段知识/方法交付、结尾非自然收束；仅含连续动作片段，缺乏语义完整性,"opening,middle,ending,evidence",unclear,若前段有口播引入‘今日放松练习’，本段或可作演示部分；但当前独立窗口不成立
rej_071,rec_002,01:08:00.000,01:11:00.000,无开头观看理由、无中段方法交付、无结尾收束；仅为单一静态体式保持画面，缺乏信息密度与结构完整性,"opening,middle,ending,evidence",unclear,若前后帧含口播讲解或过渡动作，可能构成片段一部分；当前窗口独立无法成立
rej_072,rec_002,01:10:50.000,01:13:50.000,无开头观看理由、无中段真实交付、无结尾收束；仅静态躺姿重复帧，缺乏信息增量与结构完整性,opening/middle/ending/evidence/continuity,unclear,若前后窗口含讲解/起身/动作转换，可能构成片段，但本窗口独立无效
rej_073,rec_002,01:13:40.000,01:16:40.000,无明确开头（无观看理由/问题引入）、无中段讲解或知识交付、无结尾收束；仅为动作片段堆叠,opening/middle/ending/evidence,unclear,若前序窗口含口播引入（如‘今天教缓解腰痛的3个仰卧动作’），本段可作中段；但当前独立窗口不完整
rej_074,rec_002,01:16:30.000,01:18:00.000,仅呈现单一静态姿势，无开头引入、无方法讲解、无收束动作；缺乏观看理由与交付内容,"opening,middle,ending,evidence",unclear,若前后帧含口播引导或动作起始/结束过渡，可能构成片段，但本窗口内无任何结构证据
rej_075,rec_002,01:19:20.000,01:22:20.000,无明确开头（无问题引入/观看理由）、无中段方法交付（仅动作无讲解）、无结尾收束；画面单调重复，缺乏结构要素,opening/middle/ending/evidence,unclear,若前后窗口含讲解语句或问题陈述，可合并成完整片段；当前独立窗口不满足初剪完整性标准
rej_076,rec_002,01:22:10.000,01:25:10.000,无开头理由、无中段交付、无结尾收束；纯静态画面，无动作/讲解/字幕支撑内容完整性,"opening,middle,ending,evidence",unclear,可能为休息间隙、镜头空镜或录制中断；需结合前后帧判断是否属教学环节中的停顿
rej_077,rec_002,01:25:00.000,01:28:00.000,无明确开头理由、中段交付不完整、结尾缺失；动作孤立，缺乏语言/字幕支撑构成完整教学或说服闭环,"opening,middle,ending,evidence",unclear,仅靠视觉无法确认是否为课程片段；需结合音频判断动作意图与内容逻辑
rej_078,rec_002,01:27:50.000,01:30:50.000,无开头理由、无中段交付、无结尾收束；仅为静态姿势维持，缺乏教学/演示逻辑链,opening/middle/ending/evidence,unclear,若前后帧含讲解/进入/退出动作，可能构成片段，但本窗口独立不成立
rej_079,rec_002,01:30:40.000,01:33:40.000,缺少完整结构：无明确开头（观看理由）、中段交付依赖口播不可见、结尾无收束；动作连续但语义断裂,opening/middle/ending/evidence,unclear,若前一窗口含问题引入、后一窗口含总结，则可拼接成完整片段；当前独立窗口不满足初剪完整性
rej_080,rec_002,01:33:30.000,01:36:30.000,缺乏开头观看理由与结尾收束；中段动作无明确方法论或交付证据；无字幕/文本支撑内容完整性,opening/middle/ending/evidence,unclear,仅靠视觉无法判断是否为教学片段；道具用途、目标人群、解决什么问题均缺失
rej_081,rec_002,01:36:20.000,01:39:20.000,开头缺失观看理由，中段无可靠交付证据（仅持瓶+手势），结尾无收束；整体为片段式讲解，不构成独立完整单元,opening/middle/ending/evidence,unclear,若前序窗口含问题引入（如观众提问截图/症状描述画面），且后续窗口含总结与CTA，则本段或可作为中段嵌入；但当前孤立窗口不满足初剪完整性标准
rej_082,rec_002,01:39:10.000,01:42:10.000,无明确开头观看理由（未说明问题/痛点）、无完整方法交付（仅零散动作）、无结尾收束（未总结/致谢/引导）；所有关键要素缺失,"opening,middle,ending,evidence",unclear,需结合前后窗口确认是否为某教学环节的中间片段
rej_083,rec_002,01:42:00.000,01:43:03.677,缺乏开头观看理由、中段无实质交付、结尾无收束；仅呈现静态坐姿与零散手势，无法独立成段,"opening,middle,ending,evidence",unclear,需结合前后片段判断是否为某教学环节的中间帧；当前窗口内无连续动作或信息流
