rejected_id,recording_id,start_time,end_time,original_reject_reason,missing_part,could_be_fixed_by_manual_edit,recheck_category,rescue_level,needs_transcript_or_audio,needs_manual_start_end_extension,risk_review_required,next_action,reason_for_next_action
rej_037,rec_001,01:39:10.000,01:42:10.000,无明确开头引入（观看理由）、无结尾收束；中段仅为重复动作演示，缺乏方法讲解、原理说明或目标锚定；道具用途未说明；无法独立成段,opening/ending/evidence/continuity,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;continuity_risk;medical_or_business_risk;possible_manual_extension;unlikely_rescue,medium,yes,yes,yes,transcript_audio_recheck_then_manual_boundary_extension,主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。
rej_038,rec_001,01:42:00.000,01:45:00.000,无明确开头理由、中段交付缺失、结尾无收束；仅呈现静态坐姿与手机操作，缺乏信息密度与结构完整性,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,pending,yes,yes,no,context_window_recheck_before_any_export,存在前后文救回线索，但当前窗口仍缺完整开中结证据。
rej_039,rec_001,01:44:50.000,01:47:50.000,缺乏开头观看理由、中段无真实方法交付、结尾无自然收束；仅靠表情与手势无法构成完整信息单元,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,pending,yes,yes,no,context_window_recheck_before_any_export,存在前后文救回线索，但当前窗口仍缺完整开中结证据。
rej_040,rec_001,01:47:40.000,01:49:20.554,缺乏明确开头（无问题引入/观看理由）、中段交付内容不完整（仅动作无逻辑链）、结尾虽有收束动作但整体结构不完整；道具用途与方法未通过画面/字幕证实,"opening,middle,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension;unlikely_rescue,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_041,rec_002,00:00:00.000,00:01:30.000,开头缺失观看理由，中段仅为重复动作无交付实质，结尾无收束；无法独立成段,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;continuity_risk;possible_manual_extension;unlikely_rescue,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_042,rec_002,00:02:50.000,00:05:50.000,无明确开头（无问题引入/观看理由）、无中段实质性交付（仅重复持物动作）、无结尾收束（未停顿、致谢、引导）；无法独立成段,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension;unlikely_rescue,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_043,rec_002,00:05:40.000,00:07:10.000,无明确开头引入（如问题陈述/观看理由）、无结尾收束（如总结/引导），仅呈现片段化动作演示；无法独立构成完整教学单元,opening/ending/evidence,unclear,opening_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。
rej_044,rec_002,00:07:10.000,00:08:40.000,同上；后半段动作重复前半段模式，无新信息或收尾信号,opening/ending/evidence,unclear,opening_missing;ending_missing;evidence_missing,medium,yes,no,no,transcript_audio_recheck_then_manual_boundary_extension,主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。
rej_045,rec_002,00:08:30.000,00:10:00.000,缺乏开头观看理由与中段实质交付；仅呈现仪式化动作片段，无法独立成段,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension;unlikely_rescue,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_046,rec_002,00:10:00.000,00:11:30.000,结尾无收束动作或语言提示；仅维持坐姿微笑，不符合自然收束标准,"ending,evidence",yes,ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。
rej_047,rec_002,00:11:20.000,00:14:20.000,缺乏开头观看理由（无痛点引入/价值声明）、无中段有效交付证据（仅动作无讲解支撑）、无结尾收束（未致谢/总结/引导）,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_048,rec_002,00:14:10.000,00:17:10.000,缺乏开头观看理由与结尾收束；中段动作无明确交付证据（无字幕/口播支撑），仅肢体序列无法独立构成完整教学单元,opening/ending/evidence/continuity,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;continuity_risk;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。
rej_049,rec_002,00:17:00.000,00:18:30.000,开头缺失观看理由（无问题陈述/痛点引入），中段仅有动作无方法说明，结尾未收束；动作演示孤立，缺乏上下文支撑,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_050,rec_002,00:18:30.000,00:20:00.000,延续前段动作，但仍未出现语言/字幕交付核心方法；结尾动作模糊，无明确终止信号,middle/ending/evidence,unclear,middle_missing;ending_missing;evidence_missing;continuity_risk;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_051,rec_002,00:19:50.000,00:21:20.000,开头缺失观看理由，中段仅为零散手势无方法交付，结尾无收束；无法独立成段,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension;unlikely_rescue,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_052,rec_002,00:21:20.000,00:22:50.000,后半段动作仍为孤立手势，无递进逻辑；结尾帧00:22:49.500非自然收束,ending/evidence,unclear,ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。
rej_053,rec_002,00:22:40.000,00:25:40.000,无明确开头观看理由（未展示问题/痛点/价值承诺），中段动作零散无步骤闭环，结尾无收束动作或总结语；全程为单一坐姿片段，缺乏结构完整性,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_054,rec_002,00:25:30.000,00:28:30.000,无明确开头观看理由（未介绍主题/痛点/身份），中段仅有零散手势无实质交付证据，结尾无收束动作或语言提示；画面静态重复，缺乏结构完整性,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension;unlikely_rescue,pending,yes,yes,no,context_window_recheck_before_any_export,存在前后文救回线索，但当前窗口仍缺完整开中结证据。
rej_055,rec_002,00:28:20.000,00:31:20.000,无明确开头理由、中段交付内容或结尾收束；仅静态坐姿+零星手势，缺乏信息密度与结构完整性,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension;unlikely_rescue,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_056,rec_002,00:31:10.000,00:32:40.000,开头缺失观看理由，结尾无收束，中段动作虽连贯但缺乏语义锚点（如步骤编号、问题-方案对应）；无法独立成片,opening/ending/evidence,yes,opening_missing;middle_missing;ending_missing;evidence_missing;medical_or_business_risk;possible_manual_extension,medium,yes,yes,yes,transcript_audio_recheck_then_manual_boundary_extension,主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。
rej_057,rec_002,00:32:40.000,00:34:10.000,后半段动作重复前半结构，无新信息增量；结尾帧仍为静态持球坐姿,ending/continuity,unclear,ending_missing;continuity_risk,low,no,no,no,manual_spot_check_only_do_not_auto_export,当前证据不足，最多进入人工抽查，不应自动导出。
rej_058,rec_002,00:34:00.000,00:37:00.000,缺乏明确开头观看理由、中段方法交付完整性及结尾自然收束的视觉证据；所有关键环节依赖口播推断，不符合仅凭画面/字幕/动作判断标准,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_059,rec_002,00:36:50.000,00:39:50.000,无完整开头（缺观看理由/问题引入）、无明确中段交付（动作无讲解/目标说明）、无结尾收束；动作序列存在但缺乏上下文完整性,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_060,rec_002,00:39:40.000,00:42:40.000,缺乏开头观看理由与结尾收束；中段动作虽多但无逻辑串联证据；无法独立成完整教学单元,"opening, ending, evidence, continuity",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;continuity_risk;medical_or_business_risk;possible_manual_extension,medium,yes,yes,yes,transcript_audio_recheck_then_manual_boundary_extension,主要缺开头/结尾/证据，可能需要先听口播再人工扩展起止点；未确认可直接成片。
rej_061,rec_002,00:42:30.000,00:45:30.000,缺乏完整结构：无明确开头（观看理由/问题引入）、中段交付无方法说明或步骤分解、结尾仅坐起无收束信号；动作连续但语义不完整,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;continuity_risk;possible_manual_extension;unlikely_rescue,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_062,rec_002,00:45:20.000,00:48:20.000,缺乏开头观看理由与中段方法交付证据；仅动作流，无内容结构,"opening,middle,evidence",unclear,opening_missing;middle_missing;evidence_missing;possible_manual_extension;unlikely_rescue,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_063,rec_002,00:48:10.000,00:51:10.000,缺乏开头观看理由、中段真实交付证据、结尾自然收束；仅呈现连续坐姿讲解片段，无结构完整性,"opening,middle,ending,evidence",unclear,opening_missing;middle_missing;ending_missing;evidence_missing;continuity_risk;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_064,rec_002,00:51:00.000,00:52:30.000,开头无观看理由建立，中段动作无方法拆解证据，结尾未收束；仅呈现动作片段，缺乏教学闭环,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_065,rec_002,00:52:30.000,00:54:00.000,纯动作演示段，无讲解锚点、无起止信号，无法独立成段；动作重复但无进阶/变式说明,opening/middle/ending,no,opening_missing;middle_missing;ending_missing;unlikely_rescue,no,yes,no,no,keep_rejected,原弃用理由指向低信息增量或无法独立成段，当前视觉证据不支持救回。
rej_066,rec_002,00:53:50.000,00:56:50.000,无完整结构：开头缺失问题引入与观看理由，中段仅为重复动作无教学交付，结尾无收束；不符合‘完整候选’定义,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing;possible_manual_extension;unlikely_rescue,medium,yes,yes,no,transcript_audio_recheck_then_manual_boundary_extension,备注显示可能作为中段或可拼接，但必须补前后文和音频语义后再判断。
rej_067,rec_002,00:56:40.000,00:59:40.000,无开头观看理由（未说明问题/目标）、无中段有效交付（动作无讲解/上下文）、无结尾收束（结束于动作中途）,opening/middle/ending/evidence,unclear,opening_missing;middle_missing;ending_missing;evidence_missing,pending,yes,no,no,transcript_audio_recheck_before_rule_change,当前主要缺语义证据；需要音频/字幕转写确认是否有开头理由、中段交付和结尾收束。
